#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Etzella Ettelbruck,22,40.9,90.4,33.2,74.5,0.446,11.3,28.8,0.393,12.6,17.6,0.716,9.5,29.4,38.9,15.3,7.5,1.7,12.2,17.3,2023,Luxembourg-Total-League
2,Residence Walferdange,23,40.3,89.0,34.1,74.5,0.458,10.4,30.0,0.347,10.3,15.4,0.67,10.8,28.2,39.0,15.4,8.0,2.0,14.1,15.1,2023,Luxembourg-Total-League
3,Amicale Steinsel,28,40.2,87.9,32.0,68.0,0.471,9.0,23.5,0.384,14.8,19.8,0.748,8.3,32.4,40.7,15.8,5.1,2.9,14.5,15.1,2023,Luxembourg-Total-League
4,BBC Sparta Bertrange,25,40.4,84.8,32.3,72.1,0.448,7.8,24.4,0.319,12.4,19.5,0.637,11.0,26.1,37.1,14.1,7.3,2.4,15.7,18.4,2023,Luxembourg-Total-League
5,AB Contern,23,39.7,83.3,31.9,70.8,0.45,7.2,21.2,0.338,12.4,17.4,0.713,8.7,27.3,36.0,12.9,7.4,1.9,12.2,16.7,2023,Luxembourg-Total-League
6,Arantia Larochette,26,39.9,82.0,29.5,70.2,0.42,9.1,29.7,0.306,14.0,21.4,0.655,10.8,25.7,36.6,13.2,8.0,2.7,13.0,18.8,2023,Luxembourg-Total-League
7,Basket Esch,30,40.2,80.1,28.8,66.1,0.436,6.7,21.0,0.319,15.7,19.9,0.791,8.3,29.2,37.5,13.2,7.4,1.9,12.8,18.0,2023,Luxembourg-Total-League
8,T71 Dudelange,27,40.3,78.8,28.4,66.4,0.428,8.1,25.4,0.321,13.9,19.2,0.722,10.5,27.0,37.5,11.6,4.6,1.8,11.7,17.0,2023,Luxembourg-Total-League
9,AS Soleuvre,28,40.2,77.4,29.8,68.1,0.438,7.6,25.6,0.299,10.1,15.3,0.66,7.8,25.6,33.4,12.8,5.0,3.2,15.1,15.9,2023,Luxembourg-Total-League
10,Grengewald Hostert,25,40.6,75.0,27.2,66.5,0.409,8.2,28.0,0.295,12.5,18.7,0.668,8.6,28.6,37.2,12.8,5.4,2.1,14.9,18.7,2023,Luxembourg-Total-League
11,Musel Pikes,25,40.2,74.6,29.4,66.0,0.445,5.4,20.0,0.271,10.5,16.2,0.645,8.5,27.0,35.6,13.6,7.8,2.2,16.4,17.4,2023,Luxembourg-Total-League
12,US Heffingen,26,40.0,73.8,28.0,68.0,0.412,6.7,22.7,0.295,11.1,17.3,0.641,9.3,25.5,34.8,9.7,7.2,1.8,14.7,17.6,2023,Luxembourg-Total-League
