#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,MZT Skopje Aerodrom,15,40.0,90.9,33.0,64.7,0.51,8.6,22.3,0.385,16.3,21.5,0.755,9.7,23.4,33.1,16.9,7.0,1.9,8.8,22.3,2014,Macedonian-Superleague,1
2,KK Lirija,29,40.6,84.5,31.0,64.5,0.481,7.3,22.6,0.323,15.1,20.3,0.745,7.8,26.9,34.7,17.1,6.9,3.1,12.3,21.2,2014,Macedonian-Superleague,0
3,KK Rabotnicki AD Skipje,34,40.1,82.9,29.8,61.4,0.485,9.5,26.0,0.366,13.9,19.5,0.712,8.1,25.3,33.4,16.3,6.4,2.6,12.1,21.0,2014,Macedonian-Superleague,0
4,Kozuv Gevgelija,31,40.2,82.9,29.8,61.9,0.481,10.5,26.2,0.4,12.9,17.1,0.755,7.0,23.3,30.3,15.5,7.4,1.5,12.7,22.8,2014,Macedonian-Superleague,0
5,KK Kumanovo,28,39.9,80.1,29.2,64.7,0.452,7.6,24.2,0.316,14.0,21.3,0.659,11.4,23.2,34.6,13.3,7.4,3.0,11.4,21.6,2014,Macedonian-Superleague,0
6,KK Feni Industries,24,40.4,75.8,29.1,58.5,0.498,6.7,19.1,0.349,10.9,16.5,0.663,6.7,23.8,30.5,15.1,5.8,2.0,13.1,19.6,2014,Macedonian-Superleague,0
7,Karpos Sokoli,24,40.0,75.0,27.2,62.7,0.434,5.9,19.5,0.301,14.8,21.8,0.676,10.3,25.0,35.3,13.9,6.6,2.1,13.3,20.7,2014,Macedonian-Superleague,0
8,KK Vardar,24,40.2,74.9,27.9,65.5,0.425,5.9,19.9,0.295,13.3,20.5,0.65,9.3,22.7,32.0,13.0,7.0,2.4,10.7,22.5,2014,Macedonian-Superleague,0
9,ABA Strumica,28,39.9,73.8,28.2,60.1,0.469,4.1,13.7,0.303,13.2,19.6,0.675,8.5,25.5,34.0,13.1,5.1,2.5,12.6,20.5,2014,Macedonian-Superleague,0
10,Macedonia Young,17,40.0,72.5,26.9,62.4,0.431,5.1,17.0,0.298,13.6,21.3,0.641,8.6,19.3,27.9,12.0,8.8,1.3,17.7,22.6,2014,Macedonian-Superleague,0
11,KK Pelister Sport Bitola,24,40.0,71.6,26.0,58.8,0.442,6.5,20.3,0.321,13.1,19.2,0.685,6.6,20.2,26.8,14.2,4.7,0.8,10.9,19.6,2014,Macedonian-Superleague,0
