#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,KK Rabotnicki AD Skipje,17,40.6,86.4,32.1,64.2,0.499,10.8,28.5,0.378,11.5,15.8,0.731,8.4,25.2,33.5,18.3,7.8,3.2,14.0,20.9,2020,Macedonian-Superleague
2,Kozuv Gevgelija,17,40.0,84.5,31.6,64.5,0.49,8.1,24.5,0.332,13.2,17.2,0.767,9.0,24.2,33.2,19.4,9.8,2.6,13.9,21.2,2020,Macedonian-Superleague
3,Gostivar 2015,17,40.0,84.1,31.1,62.4,0.498,9.8,27.9,0.35,12.2,17.1,0.711,8.4,24.6,32.9,17.6,6.7,1.9,13.4,18.3,2020,Macedonian-Superleague
4,MZT Skopje Aerodrom,17,40.0,83.9,30.2,64.6,0.468,9.1,25.5,0.357,14.4,18.9,0.76,9.1,25.1,34.2,17.4,8.2,3.8,12.9,17.1,2020,Macedonian-Superleague
5,KK Pelister Sport Bitola,17,41.9,81.8,29.5,58.2,0.506,7.5,20.4,0.369,15.4,19.6,0.784,7.1,24.0,31.1,17.1,8.4,1.8,18.5,20.2,2020,Macedonian-Superleague
6,Euro Nickel,17,41.6,80.6,29.9,63.8,0.468,7.9,23.0,0.343,12.9,19.1,0.677,9.6,24.0,33.6,17.8,7.5,1.6,13.2,18.8,2020,Macedonian-Superleague
7,KK Kumanovo,17,40.3,78.8,28.9,62.0,0.466,9.8,28.1,0.348,11.3,16.2,0.698,7.4,24.5,31.9,19.1,6.9,1.2,15.9,20.9,2020,Macedonian-Superleague
8,KK Vardar,17,40.0,72.9,26.6,64.0,0.416,7.6,23.4,0.327,12.0,16.3,0.736,9.5,22.1,31.6,14.1,8.3,1.3,17.9,19.8,2020,Macedonian-Superleague
9,Akademija FMP Skopje,17,40.0,72.9,26.0,58.8,0.442,6.5,18.7,0.349,14.4,19.9,0.72,6.3,23.0,29.3,15.2,8.3,1.8,14.8,19.5,2020,Macedonian-Superleague
10,MZT Skopje Aerodrom U19,17,40.0,71.5,26.9,66.3,0.406,7.1,24.2,0.294,10.5,18.1,0.583,9.4,21.7,31.1,13.3,8.2,1.6,16.4,21.1,2020,Macedonian-Superleague
