#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Mineros de Caborca,41,40.8,92.6,34.3,66.0,0.521,7.8,20.5,0.381,16.3,22.0,0.744,8.0,19.6,27.6,15.1,5.5,2.0,6.4,17.3,2012,Mexican-CIBACOPA,0
2,Rayos de Hermosillo,54,40.5,92.5,34.3,70.3,0.488,7.8,19.9,0.39,16.2,22.6,0.715,10.5,25.6,36.1,17.1,6.6,1.6,11.6,16.1,2012,Mexican-CIBACOPA,1
3,Ostioneros de Guaymas,56,40.4,90.1,34.8,68.0,0.511,7.4,19.9,0.375,13.2,17.8,0.74,7.5,23.4,30.9,17.9,5.3,3.0,12.3,19.8,2012,Mexican-CIBACOPA,0
4,Zonkeys de Tijuana,48,40.6,90.0,33.3,67.4,0.494,6.4,19.1,0.335,17.1,23.8,0.716,8.6,23.1,31.7,17.4,5.8,2.6,10.7,17.6,2012,Mexican-CIBACOPA,0
5,Pioneros de Los Mochis,48,40.0,89.8,34.4,71.3,0.483,7.0,20.4,0.342,14.1,19.8,0.71,11.2,23.1,34.3,16.5,4.1,2.5,8.8,16.3,2012,Mexican-CIBACOPA,0
6,Frayles de Guasave,41,39.9,87.4,32.5,67.8,0.479,5.0,16.4,0.304,17.4,23.8,0.732,9.1,22.7,31.8,15.5,5.9,1.9,11.5,16.4,2012,Mexican-CIBACOPA,0
7,Fuerza Guinda de Nogales,41,40.0,85.0,32.1,68.3,0.47,8.8,23.0,0.381,12.0,16.8,0.715,9.9,21.8,31.7,13.3,5.9,2.2,12.3,15.6,2012,Mexican-CIBACOPA,0
8,Caballeros de Culiacan,42,40.1,84.8,33.3,69.7,0.477,5.8,18.5,0.315,12.4,18.4,0.674,10.2,22.8,33.0,15.4,6.1,3.2,12.5,17.9,2012,Mexican-CIBACOPA,0
9,Garra Canera de Navolato,37,39.7,81.2,30.8,65.3,0.472,6.2,19.0,0.324,13.4,17.3,0.774,9.1,20.8,29.9,15.8,6.0,1.4,11.4,17.4,2012,Mexican-CIBACOPA,0
10,Coras de Tepic,38,39.2,78.9,30.3,67.6,0.448,7.7,22.7,0.338,10.6,14.9,0.71,8.7,21.6,30.3,15.1,4.3,4.3,8.3,16.1,2012,Mexican-CIBACOPA,0
