#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Vaqueros de Agua Prieta,48,40.2,92.8,33.4,67.7,0.493,10.7,28.3,0.38,15.3,19.5,0.785,7.6,21.6,29.3,19.6,3.7,1.4,5.9,15.3,2016,Mexican-CIBACOPA
2,Lobos UAD Mazatlan,57,40.2,92.7,33.5,69.6,0.482,10.5,27.2,0.384,15.2,20.3,0.748,7.0,21.8,28.8,15.0,6.4,1.4,10.7,20.8,2016,Mexican-CIBACOPA
3,Rayos de Hermosillo,59,40.2,89.3,33.8,71.5,0.473,7.9,24.1,0.327,13.8,20.2,0.681,10.0,26.9,36.9,15.6,5.7,1.6,11.3,15.7,2016,Mexican-CIBACOPA
4,Garra Canera de Navolato,42,40.8,88.2,32.8,70.6,0.464,8.3,25.3,0.328,14.4,19.5,0.738,9.4,21.2,30.6,14.5,6.1,2.1,9.1,16.2,2016,Mexican-CIBACOPA
5,Frayles de Guasave,42,40.2,88.0,33.5,68.8,0.486,7.4,21.2,0.35,13.7,18.9,0.725,8.0,21.5,29.5,16.0,4.1,2.5,7.9,13.2,2016,Mexican-CIBACOPA
6,Fuerza Guinda de Nogales,42,40.5,87.9,32.3,68.5,0.471,7.7,22.1,0.348,15.6,21.0,0.742,7.9,24.2,32.1,12.5,5.0,2.4,10.7,15.6,2016,Mexican-CIBACOPA
7,Zonkeys de Tijuana,54,40.1,87.8,32.2,70.9,0.454,10.3,28.6,0.36,13.1,19.0,0.693,9.0,22.3,31.3,16.2,6.7,3.2,10.6,17.4,2016,Mexican-CIBACOPA
8,Caballeros de Culiacan,47,40.4,85.4,31.6,64.1,0.493,8.8,22.4,0.392,13.4,17.6,0.761,6.7,22.6,29.3,15.3,5.6,2.5,12.3,19.4,2016,Mexican-CIBACOPA
9,Pioneros de Los Mochis,47,39.5,84.6,31.6,68.1,0.463,7.4,22.7,0.325,14.1,20.5,0.689,10.3,22.6,32.8,15.9,7.0,2.1,10.2,15.2,2016,Mexican-CIBACOPA
10,Halcones Ciudad Obregon,45,40.0,83.5,32.6,67.6,0.483,5.2,16.8,0.31,13.0,19.4,0.669,9.8,24.8,34.6,12.3,5.9,1.3,11.6,17.9,2016,Mexican-CIBACOPA
11,Ostioneros de Guaymas,53,40.2,83.4,32.5,69.3,0.469,6.7,20.4,0.328,11.7,16.5,0.711,8.3,25.0,33.3,16.1,6.3,2.9,10.5,16.8,2016,Mexican-CIBACOPA
