#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Halcones UV Xalapa,55,40.1,98.3,36.8,72.7,0.506,10.0,27.2,0.369,14.9,20.5,0.726,12.0,25.8,37.8,22.3,7.3,4.0,10.6,18.0,2013,Mexican-LNBP,0
2,Pioneros,46,40.3,91.0,32.3,65.0,0.498,7.8,21.6,0.362,18.5,24.6,0.752,10.8,22.2,33.0,14.4,7.6,1.8,12.7,23.1,2013,Mexican-LNBP,0
3,Panteras de Aguascalientes,49,40.1,90.9,33.7,65.6,0.514,7.4,19.9,0.373,16.1,22.6,0.714,8.7,23.9,32.7,19.3,8.8,1.6,14.8,19.6,2013,Mexican-LNBP,0
4,Abejas,46,40.2,89.7,34.3,67.8,0.506,5.1,16.2,0.315,16.1,26.2,0.614,10.1,21.9,32.0,13.5,7.5,3.2,11.8,21.1,2013,Mexican-LNBP,0
5,Huracanes,43,40.0,88.4,32.4,63.9,0.506,7.5,20.0,0.375,16.2,23.3,0.696,8.9,23.7,32.6,17.7,6.7,2.7,13.4,19.6,2013,Mexican-LNBP,0
6,Correcaminos,41,40.2,88.1,31.5,67.3,0.468,8.5,24.5,0.348,16.7,21.1,0.789,9.1,23.1,32.2,11.0,6.5,1.3,11.7,18.8,2013,Mexican-LNBP,0
7,Fuerza Regia,49,40.1,87.5,32.6,67.0,0.486,6.4,18.7,0.341,16.0,23.3,0.685,10.9,24.2,35.2,17.1,7.3,1.6,12.1,17.3,2013,Mexican-LNBP,0
8,Soles,52,40.0,87.3,33.5,68.6,0.489,6.8,20.5,0.33,13.9,22.9,0.607,10.9,24.6,35.5,15.7,9.4,2.5,12.4,20.9,2013,Mexican-LNBP,0
9,Barreteros,43,40.4,86.1,32.4,67.6,0.479,6.7,19.4,0.346,14.6,20.0,0.729,8.1,24.1,32.2,19.6,7.3,2.5,12.6,18.7,2013,Mexican-LNBP,0
10,Guerreros,39,40.0,85.3,31.4,67.3,0.467,6.3,18.8,0.337,16.1,22.7,0.707,9.0,20.2,29.2,12.3,7.9,2.5,13.9,19.2,2013,Mexican-LNBP,0
11,Toros,56,40.5,84.1,30.6,64.5,0.475,7.5,22.1,0.34,15.8,22.4,0.703,9.6,23.9,33.4,17.0,7.0,3.4,12.1,17.9,2013,Mexican-LNBP,1
12,Gansos Salvajes,40,40.1,84.0,28.8,65.5,0.44,6.6,20.5,0.321,19.8,28.8,0.688,11.3,22.8,34.1,11.1,5.6,2.0,15.5,22.6,2013,Mexican-LNBP,0
13,Halcones Rojos,52,40.3,83.9,30.5,63.6,0.48,8.6,23.4,0.366,14.5,20.6,0.703,9.4,24.1,33.5,15.3,7.7,2.7,12.5,20.1,2013,Mexican-LNBP,0
14,Osos,34,40.1,81.2,30.3,63.6,0.476,6.0,19.3,0.31,14.6,21.5,0.679,7.8,22.8,30.6,13.6,5.3,2.2,13.7,18.8,2013,Mexican-LNBP,0
15,Gigantes,38,40.1,80.4,29.8,65.4,0.457,8.1,23.3,0.349,12.6,19.2,0.653,8.8,21.2,30.0,13.9,5.6,2.5,15.1,19.1,2013,Mexican-LNBP,0
16,Lechugueros,41,40.4,78.6,27.9,62.2,0.448,7.6,22.1,0.344,15.2,20.5,0.742,9.5,23.5,33.0,18.2,7.0,2.0,14.2,20.2,2013,Mexican-LNBP,0
