#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Astros de Jalisco,37,40.2,92.4,34.2,68.9,0.496,10.6,26.3,0.402,13.5,19.6,0.689,8.9,26.2,35.1,22.6,7.5,2.3,12.2,15.4,2023,Mexican-LNBP
2,Abejas,34,39.7,88.8,32.9,66.8,0.492,9.1,23.8,0.384,13.9,18.6,0.749,8.6,24.6,33.2,20.2,7.0,1.7,12.6,20.4,2023,Mexican-LNBP
3,Mineros de Zacatecas,34,40.3,87.4,33.1,67.6,0.49,7.3,21.4,0.343,13.8,18.7,0.737,10.0,25.8,35.7,20.8,6.7,2.3,13.9,16.7,2023,Mexican-LNBP
4,Libertadores de Queretaro,26,40.1,86.8,30.8,64.3,0.478,9.6,25.2,0.381,15.7,21.5,0.73,7.7,22.3,30.0,17.5,6.0,2.6,11.4,14.9,2023,Mexican-LNBP
5,Correcaminos,20,40.0,86.5,31.3,67.3,0.465,8.1,23.3,0.346,15.9,21.8,0.729,9.6,20.8,30.4,12.5,6.2,0.7,11.5,14.2,2023,Mexican-LNBP
6,Dorados de Chihuahua,30,40.1,85.8,30.2,62.5,0.483,10.4,26.7,0.39,14.9,20.4,0.732,7.6,24.9,32.5,19.2,6.2,2.3,12.9,16.2,2023,Mexican-LNBP
7,Fuerza Regia,27,40.2,85.4,30.6,65.5,0.467,10.9,29.6,0.368,13.3,18.0,0.739,9.2,22.9,32.1,22.0,7.1,2.1,12.3,16.6,2023,Mexican-LNBP
8,Plateros de Fresnillo,26,40.1,84.8,30.8,65.9,0.468,10.3,27.1,0.382,12.7,17.7,0.721,8.6,23.7,32.3,19.2,6.8,3.4,12.6,15.7,2023,Mexican-LNBP
9,Halcones UV Xalapa,20,40.2,81.1,29.0,61.8,0.47,8.0,22.0,0.362,15.2,20.9,0.725,7.1,25.3,32.4,17.8,4.6,3.1,12.6,13.8,2023,Mexican-LNBP
10,Soles,26,40.2,80.9,30.7,66.2,0.463,8.1,23.2,0.348,11.5,17.4,0.662,8.5,22.7,31.2,16.7,6.4,2.8,11.6,18.3,2023,Mexican-LNBP
