#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Buducnost,3,40.0,113.7,43.3,66.7,0.65,16.0,30.3,0.527,11.0,16.7,0.66,8.3,24.3,32.7,27.3,8.3,3.3,11.7,19.0,2021,Montenegrin-Prva-A-Liga,1
2,KK Sutjeska,25,40.0,91.1,33.7,62.5,0.54,7.5,22.7,0.33,16.2,23.3,0.695,11.1,23.4,34.6,23.8,9.2,1.8,13.1,23.6,2021,Montenegrin-Prva-A-Liga,0
3,KK Mornar,3,40.0,90.3,29.3,62.3,0.471,11.0,30.7,0.359,20.7,26.7,0.775,7.7,18.7,26.3,18.7,9.7,1.3,9.7,21.0,2021,Montenegrin-Prva-A-Liga,0
4,KK Lovcen Cetinje,23,40.2,89.9,34.0,65.1,0.521,8.9,25.2,0.352,13.1,19.3,0.682,9.6,25.4,35.0,22.9,6.6,1.3,12.1,19.8,2021,Montenegrin-Prva-A-Liga,0
5,Studentski Centar Podgorica,23,40.2,86.2,31.5,61.6,0.512,8.7,24.7,0.353,14.4,19.1,0.755,9.4,25.7,35.2,20.6,7.2,2.7,13.4,21.0,2021,Montenegrin-Prva-A-Liga,0
6,KK Teodo Tivat,22,40.5,84.1,29.7,62.1,0.478,8.4,26.0,0.323,16.4,22.1,0.741,8.8,21.5,30.2,16.3,6.9,1.4,11.0,20.4,2021,Montenegrin-Prva-A-Liga,0
7,ABS Primorje 1945,23,40.0,82.5,30.8,59.3,0.519,6.0,20.1,0.301,14.8,21.9,0.677,7.5,22.5,30.0,18.6,9.3,1.0,13.3,20.9,2021,Montenegrin-Prva-A-Liga,0
8,KK Podgorica,23,40.1,82.5,31.0,61.6,0.502,7.4,23.0,0.324,13.1,19.7,0.665,9.7,24.1,33.8,18.7,8.3,2.5,14.1,22.0,2021,Montenegrin-Prva-A-Liga,0
9,KK Ibar Rozaje,22,40.5,82.0,29.6,59.7,0.497,8.0,24.5,0.326,14.8,21.1,0.7,9.2,22.3,31.5,19.9,6.8,2.1,14.4,20.8,2021,Montenegrin-Prva-A-Liga,0
10,KK Jedinstvo Bijelo Polje,22,40.0,81.2,28.0,57.8,0.485,7.4,23.1,0.32,17.8,23.4,0.761,6.7,19.9,26.6,18.7,5.7,1.1,10.9,19.0,2021,Montenegrin-Prva-A-Liga,0
11,KK Danilovgrad,21,40.2,75.3,27.0,59.6,0.454,6.8,22.3,0.305,14.4,19.9,0.727,9.4,19.2,28.6,15.7,6.3,1.4,13.5,20.1,2021,Montenegrin-Prva-A-Liga,0
12,KK All Stars,22,40.0,74.3,27.3,60.1,0.454,8.9,27.4,0.323,10.8,17.3,0.625,9.2,23.8,33.0,20.5,6.2,2.8,16.7,20.0,2021,Montenegrin-Prva-A-Liga,0
13,KK Zeta 2011 Golubovci,22,40.2,74.0,26.1,63.8,0.409,10.2,35.2,0.289,11.6,15.3,0.759,9.2,20.8,30.0,14.8,4.9,1.0,10.8,18.1,2021,Montenegrin-Prva-A-Liga,0
14,KK Pljevlja,22,40.2,69.5,25.1,60.8,0.413,5.6,22.2,0.252,13.8,22.1,0.622,9.9,21.3,31.2,12.0,6.2,2.1,16.2,20.4,2021,Montenegrin-Prva-A-Liga,0
