#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,KK Sutjeska,22,39.8,87.0,33.0,65.4,0.504,7.5,22.1,0.337,13.6,21.3,0.638,10.2,24.1,34.3,20.6,8.0,2.7,12.3,23.2,2023,Montenegrin-Prva-A-Liga
2,Decic,20,39.7,85.0,30.7,66.0,0.464,9.5,29.0,0.326,14.2,21.4,0.664,9.6,23.9,33.4,17.5,8.1,3.1,12.1,17.4,2023,Montenegrin-Prva-A-Liga
3,KK Podgorica,22,39.5,84.0,30.0,59.5,0.505,8.7,24.3,0.36,15.1,19.2,0.789,7.9,22.4,30.3,17.7,8.7,1.5,12.4,18.9,2023,Montenegrin-Prva-A-Liga
4,Studentski Centar Podgorica,22,39.9,83.9,31.0,65.7,0.473,8.2,26.8,0.305,13.6,19.7,0.691,10.9,26.5,37.4,18.2,9.7,2.7,15.7,22.0,2023,Montenegrin-Prva-A-Liga
5,KK Jedinstvo Bijelo Polje,20,40.3,83.1,28.4,59.9,0.473,10.1,28.4,0.356,16.3,21.9,0.744,7.7,21.6,29.3,16.4,6.5,1.1,13.0,21.7,2023,Montenegrin-Prva-A-Liga
6,KK Teodo Tivat,22,40.4,79.2,27.5,60.8,0.452,8.3,26.8,0.308,16.0,20.5,0.78,7.7,22.3,30.0,14.0,8.6,1.1,11.2,21.1,2023,Montenegrin-Prva-A-Liga
7,KK Lovcen Cetinje,21,39.6,79.0,27.5,62.7,0.439,7.8,25.9,0.3,16.2,23.6,0.688,9.6,24.6,34.2,19.0,6.2,1.7,13.4,19.1,2023,Montenegrin-Prva-A-Liga
8,KK Milenijum Podgorica,20,40.4,78.0,27.5,60.9,0.452,10.1,30.6,0.33,12.9,18.9,0.683,8.3,23.4,31.7,18.3,8.6,2.3,15.2,20.7,2023,Montenegrin-Prva-A-Liga
9,KK Mornar,24,39.6,77.3,27.8,62.6,0.444,8.6,28.8,0.298,13.0,19.0,0.688,9.2,23.2,32.4,14.6,6.7,2.4,15.9,19.7,2023,Montenegrin-Prva-A-Liga
10,KK Danilovgrad,20,39.9,76.4,26.6,64.2,0.414,9.7,31.7,0.304,13.5,18.6,0.728,9.2,22.4,31.6,15.9,6.9,1.2,13.1,17.1,2023,Montenegrin-Prva-A-Liga
11,ABS Primorje 1945,20,39.6,76.3,29.1,64.4,0.452,8.2,27.7,0.297,9.9,14.4,0.688,10.0,24.8,34.8,17.2,9.0,1.2,13.7,19.7,2023,Montenegrin-Prva-A-Liga
