#,Team,GP,PPG,FGM,FGA,FG%,FTM,FTA,FT%,APG,PF,Year,League_Name,is_Champion
1,Syracuse,66,86.1,28.5,81.3,0.351,29.0,39.9,0.726,22.6,30.2,1951,NBA,0
2,New York,66,85.8,30.9,81.5,0.379,24.1,33.8,0.714,23.5,27.4,1951,NBA,0
3,Philadelphia,66,85.4,30.1,85.8,0.35,25.2,33.0,0.763,21.7,25.9,1951,NBA,0
4,Boston,69,85.2,29.9,81.3,0.368,25.4,35.0,0.725,22.9,27.3,1951,NBA,0
5,Rochester,68,84.6,29.9,79.1,0.378,24.9,33.1,0.753,20.1,22.6,1951,NBA,1
6,Tri-Cities,68,84.3,29.2,88.8,0.329,25.8,35.7,0.723,21.7,30.8,1951,NBA,0
7,Fort Wayne,68,84.1,29.4,87.2,0.338,25.3,35.1,0.72,16.8,28.8,1951,NBA,0
8,Minneapolis,68,82.8,30.6,82.2,0.373,21.5,29.3,0.736,20.7,26.5,1951,NBA,0
9,Baltimore,66,82.0,29.6,84.0,0.353,22.8,30.6,0.745,20.4,26.3,1951,NBA,0
10,Indianapolis,68,81.7,30.8,85.0,0.363,20.0,28.0,0.717,21.4,23.1,1951,NBA,0
11,Washington,35,81.3,27.6,82.7,0.334,26.1,34.1,0.765,16.7,30.0,1951,NBA,0
