#,Team,GP,MPG,PPG,FGM,FGA,FG%,FTM,FTA,FT%,APG,PF,Year,League_Name,is_Champion
1,Philadelphia,82,48.3,118.9,45.8,100.9,0.454,27.3,37.6,0.725,23.3,26.2,1969,NBA,0
2,Washington,82,48.2,116.4,46.0,104.5,0.44,24.4,33.3,0.732,20.5,24.9,1969,NBA,0
3,San Diego,82,48.2,115.3,45.0,105.3,0.428,25.3,37.1,0.682,23.5,25.7,1969,NBA,0
4,Cincinnati,82,48.3,114.5,43.5,94.4,0.46,27.6,36.7,0.751,24.2,24.8,1969,NBA,0
5,Detroit,82,48.2,114.1,44.0,97.5,0.451,26.1,36.9,0.708,21.4,25.7,1969,NBA,0
6,L.A. Lakers,82,48.5,112.2,43.6,92.9,0.469,25.1,38.5,0.65,25.2,21.6,1969,NBA,0
7,Seattle,82,48.4,112.1,43.2,99.4,0.435,25.7,36.3,0.707,23.5,27.8,1969,NBA,0
8,Phoenix,82,48.3,111.7,43.2,100.5,0.43,25.4,36.0,0.705,23.4,25.4,1969,NBA,0
9,Atlanta,82,48.1,111.3,44.0,95.7,0.46,23.3,34.0,0.687,25.2,25.4,1969,NBA,0
10,Boston,82,48.4,111.0,43.7,101.4,0.431,23.6,32.4,0.729,23.8,25.3,1969,NBA,1
11,New York,82,48.1,110.8,43.8,95.3,0.459,23.3,31.7,0.736,25.3,26.5,1969,NBA,0
12,Milwaukee,82,48.0,110.2,43.1,100.7,0.428,24.0,32.2,0.745,23.0,26.7,1969,NBA,0
13,Golden State,82,48.5,109.1,41.6,100.2,0.415,25.8,36.0,0.719,22.2,25.5,1969,NBA,0
14,Chicago,82,48.2,104.7,40.9,97.8,0.418,22.9,31.4,0.728,19.5,25.2,1969,NBA,0
