#,Team,GP,MPG,PPG,FGM,FGA,FG%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,San Antonio,82,48.4,119.3,47.9,94.6,0.506,23.5,29.5,0.795,13.4,31.9,45.3,28.2,10.1,6.2,20.1,25.3,1979,NBA,0
2,Phoenix,82,48.2,115.4,46.9,91.7,0.512,21.5,28.0,0.768,13.2,29.0,42.2,30.5,11.2,4.1,21.5,23.7,1979,NBA,0
3,Washington,82,48.2,114.9,46.6,96.0,0.485,21.8,29.6,0.735,16.0,33.8,49.7,26.5,7.5,4.9,17.3,22.0,1979,NBA,0
4,Milwaukee,82,48.5,114.1,47.6,94.8,0.503,18.8,24.6,0.762,14.1,28.9,43.0,31.2,10.5,5.3,19.2,25.7,1979,NBA,0
5,Houston,82,48.2,113.4,45.4,91.4,0.497,22.5,28.4,0.792,15.3,30.5,45.9,28.1,7.7,3.5,18.4,24.4,1979,NBA,0
6,San Diego,82,48.1,113.1,45.4,94.0,0.483,22.4,30.1,0.743,17.0,29.4,46.4,18.8,8.6,4.8,19.8,25.9,1979,NBA,0
7,Kansas City,82,48.4,113.1,45.9,93.2,0.492,21.3,29.2,0.73,14.5,29.3,43.8,27.3,10.1,4.8,19.9,29.5,1979,NBA,0
8,L.A. Lakers,82,48.2,112.9,46.7,90.2,0.517,19.6,25.5,0.769,11.6,31.2,42.8,28.5,9.7,6.1,19.1,22.6,1979,NBA,0
9,Denver,82,48.1,110.7,42.9,89.2,0.481,25.0,34.6,0.72,15.9,31.7,47.6,26.4,8.2,5.1,20.3,25.7,1979,NBA,0
10,Detroit,82,48.2,110.0,45.2,95.1,0.475,19.6,27.3,0.717,15.9,29.0,44.9,25.5,10.3,6.7,19.5,26.1,1979,NBA,0
11,Philadelphia,82,48.3,109.5,43.7,89.5,0.488,22.1,29.4,0.753,14.0,33.1,47.1,27.5,9.5,7.3,21.6,25.3,1979,NBA,0
12,Atlanta,82,48.4,109.1,42.7,90.4,0.473,23.7,30.9,0.766,16.8,28.5,45.4,23.6,9.8,7.3,18.6,29.6,1979,NBA,0
13,Indiana,82,48.1,108.6,43.6,91.8,0.475,21.5,28.3,0.759,14.9,30.9,45.8,24.5,8.4,5.1,18.7,25.5,1979,NBA,0
14,Portland,82,48.2,108.4,43.2,89.5,0.483,22.0,28.8,0.765,15.3,29.7,45.0,23.7,9.5,6.2,20.2,26.7,1979,NBA,0
15,New Orleans,82,48.1,108.3,42.9,91.6,0.468,22.5,29.4,0.767,15.0,32.6,47.7,25.4,9.3,6.8,21.5,23.7,1979,NBA,0
16,Boston,82,48.0,108.2,43.0,89.6,0.48,22.2,28.3,0.784,13.6,29.2,42.9,24.3,8.7,3.5,20.9,24.1,1979,NBA,0
17,New Jersey,82,48.2,107.7,42.2,91.7,0.46,23.2,31.9,0.729,15.1,28.9,44.0,23.3,10.4,7.5,22.7,28.4,1979,NBA,0
18,New York,82,48.2,107.7,44.8,92.1,0.487,18.0,25.7,0.7,14.6,29.6,44.3,25.9,8.5,4.8,19.6,26.3,1979,NBA,0
19,Seattle,82,48.2,106.6,42.7,91.3,0.468,21.1,28.0,0.754,16.0,31.6,47.6,24.1,8.4,4.9,19.3,23.3,1979,NBA,1
20,Cleveland,82,48.0,106.5,43.4,92.7,0.468,19.8,25.6,0.77,15.0,27.5,42.5,21.9,8.4,4.1,16.8,24.7,1979,NBA,0
21,Golden State,82,48.2,105.1,44.2,90.9,0.487,16.7,22.8,0.73,14.3,30.6,44.9,25.2,9.4,5.1,18.3,24.7,1979,NBA,0
22,Chicago,82,48.2,104.7,42.4,86.7,0.489,19.9,26.6,0.747,14.9,31.0,46.0,26.5,7.0,4.0,22.1,24.0,1979,NBA,0
