#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Adelaide,3,40.0,85.0,31.3,68.0,0.461,8.3,30.0,0.278,14.0,19.0,0.737,11.7,28.3,40.0,15.7,6.7,3.0,15.7,19.7,2023,NBL-Blitz
2,Tasmania,3,40.0,84.0,30.7,70.7,0.434,13.3,29.3,0.455,9.3,15.7,0.596,8.3,31.3,39.7,18.0,7.0,1.3,11.7,20.3,2023,NBL-Blitz
3,Perth,3,39.7,82.7,31.0,72.3,0.429,10.7,36.7,0.291,10.0,14.3,0.698,7.7,27.7,35.3,17.0,7.3,1.3,14.3,13.7,2023,NBL-Blitz
4,Sydney,3,40.0,81.7,28.0,60.3,0.464,5.3,22.3,0.239,20.3,25.0,0.813,6.7,30.7,37.3,15.0,4.7,4.0,19.7,19.0,2023,NBL-Blitz
5,New Zealand,3,40.0,81.0,28.3,73.0,0.388,12.3,37.7,0.327,12.0,16.7,0.72,14.3,23.3,37.7,14.3,7.0,1.7,13.3,22.0,2023,NBL-Blitz
6,Illawarra,3,39.7,81.0,30.0,70.3,0.427,7.3,28.0,0.262,13.7,21.0,0.651,9.0,23.7,32.7,17.0,8.0,3.3,10.0,20.3,2023,NBL-Blitz
7,Melbourne,3,40.0,79.3,30.3,70.7,0.429,8.7,31.3,0.277,10.0,14.3,0.698,10.3,29.3,39.7,13.0,6.7,4.0,16.3,16.3,2023,NBL-Blitz
8,Cairns,3,40.0,79.0,26.7,66.3,0.402,12.3,44.7,0.276,13.3,17.7,0.755,4.7,29.7,34.3,15.7,4.0,2.3,17.0,20.7,2023,NBL-Blitz
9,South East Melbourne,3,40.0,75.3,27.7,74.7,0.371,6.7,27.3,0.244,13.3,22.7,0.588,13.7,22.3,36.0,14.7,8.3,2.0,17.0,22.0,2023,NBL-Blitz
10,Brisbane,3,39.7,75.0,26.0,62.7,0.415,5.3,25.0,0.213,17.7,23.0,0.768,9.0,30.3,39.3,16.3,6.0,1.7,17.0,16.7,2023,NBL-Blitz
