#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Wellington Saints,19,40.0,93.7,33.5,72.5,0.462,12.4,33.7,0.367,14.4,20.4,0.706,8.9,27.1,35.9,17.6,7.7,3.2,10.8,17.5,2022,New-Zealand-NBL
2,Taranaki Mountain Airs,19,40.3,90.3,34.0,74.3,0.458,9.2,27.1,0.339,13.2,19.5,0.674,11.8,30.6,42.5,20.1,7.5,3.8,14.2,18.2,2022,New-Zealand-NBL
3,Aukland Tuatara,21,40.2,89.9,34.3,74.0,0.463,8.5,26.5,0.321,12.8,18.6,0.69,10.4,31.4,41.8,20.0,8.7,3.7,13.9,15.5,2022,New-Zealand-NBL
4,Otago Nuggets,21,40.2,86.0,32.1,74.3,0.432,8.3,28.8,0.288,13.5,20.0,0.678,11.4,28.8,40.1,15.1,9.2,5.2,13.3,16.7,2022,New-Zealand-NBL
5,IMS Payroll Hawks,19,40.3,85.7,31.3,70.2,0.445,8.3,26.2,0.317,14.8,20.0,0.742,9.6,30.3,39.9,17.8,6.4,3.3,14.6,17.4,2022,New-Zealand-NBL
6,Zerofees Southland Sharks,18,40.0,84.7,31.9,71.6,0.446,9.9,29.3,0.338,10.9,17.3,0.628,9.9,27.3,37.2,17.8,7.0,5.7,13.7,16.3,2022,New-Zealand-NBL
7,Nelson Giants,19,40.0,83.2,30.0,73.6,0.408,11.2,32.8,0.34,12.0,16.0,0.75,11.1,24.4,35.4,17.5,9.3,2.1,10.6,16.8,2022,New-Zealand-NBL
8,Canterbury Rams,18,40.3,83.1,31.1,72.4,0.43,8.0,25.9,0.308,12.8,17.6,0.729,11.0,25.9,36.9,16.1,8.8,2.1,12.8,18.7,2022,New-Zealand-NBL
9,Telecom Business Hub Jets,18,40.0,79.8,28.9,70.0,0.413,9.1,28.3,0.322,12.8,18.2,0.706,11.6,27.6,39.1,16.7,4.3,4.4,16.7,16.6,2022,New-Zealand-NBL
10,Franklin Bulls,18,40.3,78.2,29.6,71.7,0.413,9.3,30.7,0.304,9.6,15.1,0.636,10.2,26.9,37.1,13.9,8.2,3.1,14.4,19.9,2022,New-Zealand-NBL
