#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Zerofees Southland Sharks,18,40.2,90.9,32.6,73.2,0.446,7.7,25.0,0.307,18.0,24.7,0.73,11.8,26.2,38.0,14.3,7.6,2.7,12.9,21.2
2,Super City Rangers,18,40.0,89.6,33.9,71.8,0.473,7.8,21.1,0.369,13.9,20.3,0.688,10.2,23.4,33.7,17.2,5.8,2.6,14.8,19.1
3,Telecom Business Hub Jets,19,40.3,89.2,33.6,75.3,0.446,6.9,23.4,0.295,15.2,20.8,0.729,14.7,26.7,41.4,15.1,7.7,2.8,13.3,18.3
4,IMS Payroll Hawks,20,41.0,88.2,33.3,73.3,0.454,8.4,22.4,0.374,13.3,18.9,0.706,12.1,25.6,37.6,17.0,8.2,2.3,11.6,18.3
5,Wellington Saints,20,40.3,88.1,32.4,68.4,0.474,8.4,22.8,0.366,14.9,20.7,0.72,11.3,25.1,36.3,17.2,7.0,4.4,12.7,18.8
6,Nelson Giants,19,40.1,86.3,32.6,69.9,0.466,6.0,18.7,0.321,15.2,19.7,0.77,10.8,24.5,35.3,14.1,6.5,2.7,11.0,19.6
7,Canterbury Rams,18,41.0,86.3,32.1,70.1,0.458,7.4,22.1,0.337,14.7,21.9,0.673,11.3,25.7,37.0,15.2,7.0,4.5,14.6,20.7
8,Otago Nuggets,18,40.8,84.0,30.5,71.3,0.428,5.9,20.1,0.296,17.1,24.6,0.695,12.9,25.6,38.5,15.8,8.3,2.5,12.1,20.8
9,Taranaki Mountain Airs,18,40.0,81.4,30.4,69.7,0.436,5.4,18.0,0.302,15.2,22.4,0.676,12.2,25.0,37.2,10.3,5.9,2.9,14.9,19.1
10,Waikato Pistons,18,41.0,80.4,29.3,66.8,0.438,8.2,24.4,0.337,13.6,21.9,0.622,11.3,25.8,37.1,15.9,7.1,2.2,14.6,19.6
