#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,BK Kongsberg Miners,34,40.1,94.1,34.9,74.1,0.471,8.6,25.9,0.333,15.7,22.7,0.69,12.9,27.9,40.9,19.9,7.3,3.7,13.0,16.5,2018,Norwegian-BLNO,1
2,Flyyingen BBK,32,39.8,93.8,36.8,73.3,0.502,7.2,21.8,0.331,13.0,18.3,0.712,12.6,26.9,39.4,18.7,7.6,3.2,17.6,18.7,2018,Norwegian-BLNO,0
3,Froya Basket,30,40.1,90.7,33.6,73.4,0.457,8.9,25.6,0.347,14.7,19.2,0.763,9.7,25.1,34.8,20.7,8.6,3.0,14.4,17.2,2018,Norwegian-BLNO,0
4,Asker Aliens,35,39.8,88.3,31.9,67.3,0.473,8.7,24.1,0.362,15.8,23.5,0.674,10.3,27.4,37.7,19.0,7.2,2.8,13.3,15.8,2018,Norwegian-BLNO,0
5,Baerum Basket,32,39.9,83.0,30.5,66.4,0.459,10.3,29.2,0.354,11.6,16.3,0.713,6.6,23.2,29.8,18.2,8.3,3.1,12.5,19.8,2018,Norwegian-BLNO,0
6,Gimle BBK,29,40.2,78.8,29.3,69.6,0.422,7.6,24.9,0.304,12.5,17.0,0.736,10.9,23.9,34.8,17.1,8.1,1.8,13.8,18.9,2018,Norwegian-BLNO,0
7,Nidaros Jets,27,40.3,77.8,30.2,67.6,0.447,5.5,18.5,0.296,11.9,17.8,0.671,10.3,25.9,36.2,15.9,6.9,3.2,15.7,14.2,2018,Norwegian-BLNO,0
8,Tromso Storm,29,40.0,73.9,27.5,69.0,0.399,8.3,24.8,0.335,10.4,14.4,0.724,9.7,24.3,34.0,14.7,7.3,2.3,12.1,17.1,2018,Norwegian-BLNO,0
9,Centrum Tigers,27,40.0,69.9,27.3,67.4,0.405,6.0,20.4,0.296,9.3,12.7,0.734,9.1,23.1,32.2,13.6,7.2,1.2,18.5,22.3,2018,Norwegian-BLNO,0
10,Ammerud Basket,29,39.7,68.7,26.4,65.4,0.404,5.0,20.0,0.252,10.9,16.6,0.66,9.7,24.5,34.2,14.8,7.2,2.0,14.9,16.4,2018,Norwegian-BLNO,0
