#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Tromso Storm,32,40.1,91.6,33.6,70.4,0.478,10.7,28.8,0.371,13.7,18.8,0.728,8.1,27.1,35.2,18.7,8.3,1.9,13.6,17.1,2023,Norwegian-BLNO
2,Flyyingen BBK,32,40.2,91.2,33.4,69.7,0.48,9.5,27.4,0.348,14.8,20.3,0.729,10.5,24.0,34.5,18.1,9.5,2.4,12.8,19.5,2023,Norwegian-BLNO
3,Gimle BBK,40,40.3,88.1,31.6,67.9,0.465,11.7,30.1,0.387,13.2,18.2,0.725,7.8,26.6,34.5,20.1,8.4,2.2,12.6,20.3,2023,Norwegian-BLNO
4,BK Kongsberg Miners,36,40.4,86.9,32.3,65.2,0.495,8.7,23.4,0.372,13.7,19.0,0.723,9.1,26.9,36.0,16.3,8.0,3.1,14.0,15.3,2023,Norwegian-BLNO
5,Baerum Basket,36,39.8,86.5,30.9,68.2,0.453,10.3,29.6,0.346,14.5,19.2,0.757,10.5,23.7,34.2,19.1,10.5,2.4,12.9,18.6,2023,Norwegian-BLNO
6,Froya Basket,40,40.2,86.2,31.3,66.2,0.473,8.4,25.4,0.33,15.2,21.1,0.72,9.6,23.6,33.2,15.4,8.4,4.0,12.3,17.6,2023,Norwegian-BLNO
7,Ammerud Basket,32,40.3,76.3,28.6,70.1,0.408,6.6,23.2,0.284,12.5,21.0,0.597,10.9,24.9,35.8,10.3,8.7,2.8,13.0,17.2,2023,Norwegian-BLNO
8,Centrum Tigers,32,40.0,72.5,27.9,67.2,0.415,5.4,21.3,0.252,11.3,18.0,0.627,11.6,28.7,40.3,16.4,7.8,2.5,14.8,15.6,2023,Norwegian-BLNO
9,Oppsal Tigers,30,40.2,70.7,26.0,62.4,0.416,7.1,22.0,0.321,11.7,17.7,0.663,9.5,23.1,32.5,13.2,8.7,4.4,17.4,17.9,2023,Norwegian-BLNO
10,Asker Aliens,30,40.1,69.8,26.1,62.2,0.42,6.4,24.2,0.265,11.2,18.2,0.615,9.1,24.7,33.8,13.7,7.5,2.9,19.4,15.2,2023,Norwegian-BLNO
11,Nidaros Jets,30,40.0,65.8,24.6,62.5,0.393,6.6,23.9,0.278,10.0,14.3,0.698,7.2,20.7,27.9,16.7,6.7,1.7,20.0,16.6,2023,Norwegian-BLNO
