#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Terrafirma DYIP,11,49.4,106.9,41.1,91.5,0.449,10.1,31.9,0.316,14.6,21.7,0.674,14.6,35.5,50.2,21.7,7.5,4.1,17.5,23.7,2019,PBA---Commissioners-Cup,0
2,San Miguel Beermen,23,48.9,105.3,39.3,88.8,0.443,10.9,31.3,0.347,15.7,21.6,0.728,14.0,33.6,47.6,22.6,7.8,5.7,15.8,21.2,2019,PBA---Commissioners-Cup,1
3,Blackwater Bossings,14,49.1,102.1,36.7,86.6,0.424,10.4,30.5,0.342,18.2,25.4,0.718,13.5,35.8,49.3,20.9,8.0,3.6,15.1,22.8,2019,PBA---Commissioners-Cup,0
4,Talk N Text Tropang Texters,23,48.4,100.5,36.7,86.0,0.427,12.8,38.7,0.33,14.2,21.9,0.649,13.5,34.6,48.1,20.3,8.5,5.0,15.1,23.3,2019,PBA---Commissioners-Cup,0
5,Northport Batang Pier,13,48.4,98.8,37.3,86.5,0.431,9.7,31.2,0.311,14.5,24.5,0.594,15.6,36.4,52.0,22.9,8.8,5.3,18.2,23.5,2019,PBA---Commissioners-Cup,0
6,Barangay Ginebra Kings,17,48.9,97.2,37.5,82.2,0.457,8.7,26.5,0.328,13.5,19.9,0.676,11.1,34.6,45.7,25.5,7.8,4.6,16.2,18.1,2019,PBA---Commissioners-Cup,0
7,Alaska Aces,14,48.4,97.1,37.6,85.8,0.439,8.1,24.4,0.331,13.7,21.1,0.651,13.9,33.4,47.3,23.4,7.5,3.7,14.9,23.8,2019,PBA---Commissioners-Cup,0
8,Phoenix Fuel Masters,11,48.0,94.6,35.0,86.8,0.403,8.3,25.8,0.32,16.4,22.0,0.744,14.6,34.5,49.1,21.0,8.4,3.0,18.0,26.3,2019,PBA---Commissioners-Cup,0
9,Meralco Bolts,12,48.8,94.0,36.1,86.4,0.418,8.0,24.9,0.321,13.8,21.3,0.648,15.1,32.9,48.0,20.3,6.4,3.1,15.2,24.1,2019,PBA---Commissioners-Cup,0
10,NLEX Road Warriors,11,48.0,93.5,34.4,81.9,0.42,10.5,34.5,0.306,14.3,21.2,0.674,12.8,34.8,47.6,22.9,5.7,4.3,19.5,24.3,2019,PBA---Commissioners-Cup,0
11,Rain or Shine Elasto Painters,18,48.6,93.3,34.0,82.7,0.411,10.7,37.1,0.289,14.6,21.8,0.669,12.2,34.6,46.8,22.1,7.1,4.0,16.2,22.7,2019,PBA---Commissioners-Cup,0
12,Magnolia Hotshots,13,48.4,92.8,35.4,86.8,0.407,7.8,24.2,0.325,14.2,19.9,0.714,16.7,34.4,51.1,20.5,8.7,2.9,16.8,22.8,2019,PBA---Commissioners-Cup,0
