#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,NLEX Road Warriors,13,49.5,106.7,39.1,91.4,0.428,12.3,35.9,0.343,16.2,20.4,0.796,12.9,33.7,46.6,25.0,8.6,3.5,13.8,25.9,2019,PBA---Governors-Cup,0
2,San Miguel Beermen,12,48.4,106.0,39.0,88.6,0.44,10.4,34.3,0.303,17.6,22.6,0.779,12.9,35.5,48.4,18.7,9.0,4.6,15.3,21.3,2019,PBA---Governors-Cup,1
3,Talk N Text Tropang Texters,17,48.3,104.4,37.4,81.2,0.46,11.2,31.8,0.353,18.4,26.2,0.703,12.8,30.4,43.2,18.8,7.2,4.9,15.8,24.7,2019,PBA---Governors-Cup,0
4,Barangay Ginebra Kings,21,48.2,103.2,40.1,83.6,0.48,9.7,26.6,0.365,13.3,17.9,0.745,12.5,33.4,45.9,26.6,6.9,5.1,14.5,17.0,2019,PBA---Governors-Cup,0
5,Terrafirma DYIP,11,48.0,103.1,35.5,89.5,0.396,10.3,33.7,0.305,21.9,32.6,0.671,17.9,31.0,48.9,17.6,9.7,3.4,15.5,23.9,2019,PBA---Governors-Cup,0
6,Northport Batang Pier,17,48.9,102.6,37.5,87.8,0.427,10.4,32.0,0.324,17.2,25.3,0.681,15.2,33.3,48.5,22.1,8.1,3.5,15.2,23.2,2019,PBA---Governors-Cup,0
7,Phoenix Fuel Masters,11,48.5,101.2,38.5,86.6,0.445,7.8,24.2,0.323,16.3,24.6,0.661,16.2,30.5,46.7,19.3,8.1,4.1,16.5,25.3,2019,PBA---Governors-Cup,0
8,Blackwater Bossings,11,48.9,98.5,36.2,83.3,0.434,12.0,34.0,0.353,14.2,21.1,0.672,12.1,29.8,41.9,21.7,9.1,4.4,14.5,20.5,2019,PBA---Governors-Cup,0
9,Meralco Bolts,22,48.0,97.9,36.3,81.3,0.446,9.0,26.4,0.341,16.3,21.9,0.746,14.6,32.4,47.0,20.1,5.9,3.1,15.1,23.1,2019,PBA---Governors-Cup,0
10,Alaska Aces,12,48.4,92.8,35.3,85.2,0.415,6.2,20.3,0.303,16.0,21.4,0.747,13.8,34.1,47.8,20.2,6.5,2.3,15.2,22.8,2019,PBA---Governors-Cup,0
11,Magnolia Hotshots,12,48.0,92.5,35.8,82.6,0.433,7.3,23.7,0.31,13.7,18.7,0.732,13.3,34.8,48.2,23.1,7.9,4.8,16.8,20.8,2019,PBA---Governors-Cup,0
12,Rain or Shine Elasto Painters,11,48.0,87.0,32.4,83.2,0.389,8.6,31.2,0.277,13.6,21.0,0.649,13.4,32.5,45.8,16.5,9.0,4.5,13.5,20.7,2019,PBA---Governors-Cup,0
