#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,NLEX Road Warriors,17,48.6,102.1,38.0,85.3,0.446,10.1,32.1,0.316,15.9,21.9,0.728,12.1,31.9,43.9,18.9,7.4,4.3,14.0,22.9,2022,PBA---Governors-Cup
2,Magnolia Hotshots,17,48.0,101.6,38.6,82.8,0.466,8.4,24.7,0.34,16.1,21.3,0.754,12.5,31.3,43.8,20.7,8.7,2.8,12.6,23.5,2022,PBA---Governors-Cup
3,Northport Batang Pier,12,48.8,101.0,37.5,87.1,0.431,9.6,33.4,0.287,16.4,24.2,0.679,14.0,33.8,47.8,20.8,7.7,4.6,14.9,21.2,2022,PBA---Governors-Cup
4,Barangay Ginebra Kings,23,48.2,100.7,38.0,79.8,0.476,10.0,29.0,0.347,14.7,21.3,0.689,12.1,31.7,43.8,24.6,6.4,4.3,15.2,18.5,2022,PBA---Governors-Cup
5,Terrafirma DYIP,11,48.4,100.5,37.9,85.7,0.442,8.9,29.1,0.306,15.7,22.6,0.695,11.5,30.9,42.5,20.6,6.9,2.3,15.1,23.2,2022,PBA---Governors-Cup
6,Talk N Text Tropang Texters,13,48.4,98.6,36.5,82.7,0.441,11.6,34.6,0.336,14.1,19.8,0.709,13.0,31.1,44.1,20.8,7.8,4.6,13.7,22.6,2022,PBA---Governors-Cup
7,San Miguel Beermen,12,48.0,98.3,36.7,82.9,0.442,7.7,26.2,0.293,17.3,25.3,0.686,13.3,35.4,48.7,18.7,7.5,3.3,14.8,20.0,2022,PBA---Governors-Cup
8,Phoenix Fuel Masters,13,48.4,98.1,36.2,85.4,0.424,11.4,35.0,0.325,14.2,20.7,0.688,13.6,30.5,44.1,22.1,8.8,2.7,16.2,24.2,2022,PBA---Governors-Cup
9,Meralco Bolts,23,48.0,94.9,36.0,81.6,0.441,8.6,26.1,0.329,14.3,19.8,0.719,13.5,30.9,44.4,21.0,6.8,4.0,14.0,23.3,2022,PBA---Governors-Cup
10,Rain or Shine Elasto Painters,11,48.9,94.3,32.4,83.5,0.387,12.0,37.8,0.317,17.5,23.8,0.737,13.1,33.8,46.9,21.8,6.0,2.9,15.4,23.8,2022,PBA---Governors-Cup
11,Blackwater Bossings,11,48.0,92.3,34.4,82.6,0.416,8.0,29.5,0.272,15.5,21.1,0.737,11.9,29.6,41.5,18.5,7.2,2.5,15.3,24.9,2022,PBA---Governors-Cup
12,Alaska Aces,13,48.0,89.7,32.5,76.8,0.422,6.5,23.0,0.284,18.2,26.6,0.685,12.3,35.9,48.2,18.3,6.3,2.6,16.7,20.5,2022,PBA---Governors-Cup
