#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,NLEX Road Warriors,11,48.5,105.2,38.5,85.1,0.453,10.9,32.6,0.334,17.2,22.8,0.753,12.5,34.0,46.5,23.0,5.2,1.7,15.2,25.4,2020,PBA---Philippine-Cup,0
2,Phoenix Fuel Masters,17,48.0,98.3,34.1,81.4,0.418,13.4,38.1,0.35,16.8,22.9,0.735,13.2,31.6,44.8,23.4,6.8,4.0,17.4,27.1,2020,PBA---Philippine-Cup,0
3,Alaska Aces,12,48.4,96.0,35.9,79.7,0.451,7.0,19.9,0.351,17.2,23.8,0.72,13.7,32.3,45.9,18.4,6.8,2.3,17.0,24.3,2020,PBA---Philippine-Cup,0
4,Talk N Text Tropang Texters,22,48.2,95.8,34.3,83.4,0.411,11.8,39.1,0.302,15.4,20.9,0.737,14.7,31.0,45.8,18.8,9.1,3.5,16.2,26.1,2020,PBA---Philippine-Cup,0
5,Terrafirma DYIP,11,48.0,94.5,33.3,80.2,0.415,10.3,31.4,0.328,17.7,26.8,0.661,10.7,30.0,40.7,17.0,6.4,3.0,14.1,23.9,2020,PBA---Philippine-Cup,0
6,Magnolia Hotshots,12,48.4,91.1,33.8,77.8,0.434,7.5,21.2,0.354,16.1,22.8,0.704,11.0,31.5,42.5,20.3,8.8,2.0,16.4,25.4,2020,PBA---Philippine-Cup,0
7,San Miguel Beermen,13,48.4,90.3,32.8,79.1,0.415,10.1,31.4,0.321,14.5,21.8,0.665,9.8,33.5,43.4,18.7,7.6,3.4,15.3,21.9,2020,PBA---Philippine-Cup,0
8,Blackwater Bossings,11,48.5,90.1,31.0,83.0,0.373,10.5,35.7,0.293,17.6,25.7,0.686,13.1,31.5,44.6,16.5,6.2,2.9,15.5,26.2,2020,PBA---Philippine-Cup,0
9,Northport Batang Pier,11,48.0,89.6,31.2,78.4,0.398,10.5,32.5,0.321,16.8,26.1,0.645,11.3,32.1,43.4,19.6,5.5,1.7,15.9,23.6,2020,PBA---Philippine-Cup,0
10,Barangay Ginebra Kings,22,48.5,89.5,33.4,75.3,0.443,8.9,25.9,0.344,13.9,19.3,0.719,11.3,34.7,46.0,22.7,5.1,3.0,16.1,17.3,2020,PBA---Philippine-Cup,1
11,Meralco Bolts,18,48.3,88.4,33.3,78.3,0.425,7.7,24.3,0.317,14.1,21.1,0.67,13.1,30.8,43.8,20.8,5.2,3.1,13.6,23.1,2020,PBA---Philippine-Cup,0
12,Rain or Shine Elasto Painters,12,48.4,79.8,27.5,78.3,0.351,8.6,35.8,0.24,16.3,23.3,0.699,12.3,31.4,43.8,15.8,7.2,4.6,12.9,22.6,2020,PBA---Philippine-Cup,0
