#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,King Szczecin,32,40.4,86.5,31.8,61.7,0.514,8.4,21.5,0.39,14.6,21.6,0.675,8.7,23.7,32.3,19.7,6.9,2.5,13.7,22.7,2023,Polish-EBL
2,BM Slam Stal Ostrow WLKP,32,40.3,85.9,30.1,65.5,0.46,10.6,30.5,0.347,15.1,20.5,0.736,9.5,25.3,34.8,19.7,7.0,3.2,12.4,18.5,2023,Polish-EBL
3,Enea Zastal BC Zielona,30,40.1,85.4,30.1,63.7,0.473,8.7,24.5,0.356,16.4,23.6,0.694,8.5,22.4,30.9,20.3,8.6,3.3,12.8,20.0,2023,Polish-EBL
4,MKS Dabrowa Gornicza,30,40.5,84.8,29.1,63.2,0.46,9.7,29.3,0.331,17.0,23.0,0.737,8.0,23.1,31.1,15.9,6.7,2.1,12.8,21.4,2023,Polish-EBL
5,Legia Warszawa,32,40.6,84.7,30.7,66.0,0.465,9.3,26.9,0.347,14.1,19.8,0.71,9.3,27.3,36.5,20.0,6.5,3.7,14.0,20.6,2023,Polish-EBL
6,WKS Slask Wroclaw,32,40.3,84.6,29.7,61.0,0.487,8.3,23.3,0.355,16.9,22.4,0.756,7.6,24.9,32.4,18.4,7.2,3.5,14.0,18.7,2023,Polish-EBL
7,Enea Abramczyk Astoria Bydgoszcz,30,40.4,84.6,29.2,64.2,0.455,8.2,23.9,0.342,18.0,23.6,0.764,7.3,22.4,29.7,17.3,7.0,2.1,12.9,20.6,2023,Polish-EBL
8,Anwil Wloclawek,32,40.3,84.2,30.0,63.5,0.473,10.3,28.9,0.357,13.8,19.1,0.724,7.4,23.3,30.7,19.4,6.9,2.3,12.7,22.1,2023,Polish-EBL
9,PGE Spojnia Stargard,32,40.2,83.3,29.6,64.6,0.458,6.9,21.5,0.323,17.2,23.8,0.72,9.3,24.4,33.8,18.6,7.5,2.6,13.9,21.9,2023,Polish-EBL
10,Trefl Sopot,32,40.1,82.4,29.8,64.8,0.46,11.1,28.4,0.391,11.6,16.2,0.717,8.5,23.8,32.3,17.8,6.1,2.3,12.4,21.6,2023,Polish-EBL
11,Asseco Arka Gdynia,30,39.9,82.1,28.5,65.4,0.436,8.4,26.7,0.316,16.7,23.8,0.702,8.5,26.4,34.9,14.5,7.0,2.1,13.3,21.6,2023,Polish-EBL
12,Twarde Pierniki Torun,30,39.9,81.9,29.5,63.6,0.464,8.5,24.9,0.34,14.4,19.3,0.748,7.9,22.6,30.5,17.5,6.1,2.2,13.2,20.2,2023,Polish-EBL
13,Polski Cukier Pszczolka Start Lublin,30,40.3,80.5,29.3,66.0,0.444,8.7,27.0,0.321,13.2,19.5,0.678,9.3,24.9,34.2,17.4,6.7,3.2,13.4,16.8,2023,Polish-EBL
14,GTK Gliwice,30,40.7,79.2,28.4,64.4,0.44,7.3,23.2,0.315,15.2,20.2,0.751,8.2,24.4,32.7,18.2,5.4,2.0,12.2,22.6,2023,Polish-EBL
15,Grupa Sierleccy Czarni Slupsk,32,40.6,77.3,27.3,62.7,0.436,9.3,28.0,0.33,13.3,18.2,0.732,8.5,25.9,34.4,16.9,6.9,2.3,14.1,20.7,2023,Polish-EBL
16,Rawlplug Sokol Lancut,30,40.4,76.4,26.5,62.1,0.427,9.1,27.2,0.335,14.2,19.8,0.719,7.8,26.1,33.9,15.0,6.1,3.4,13.7,19.1,2023,Polish-EBL
