#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Enea Zastal BC Zielona,22,40.0,95.3,34.9,66.6,0.523,11.5,27.5,0.417,14.1,18.9,0.747,8.3,24.8,33.1,25.8,7.8,2.0,13.3,21.5,2020,Polish-EBL
2,Anwil Wloclawek,22,40.0,94.5,34.0,69.8,0.487,10.6,28.7,0.37,15.9,21.0,0.759,10.2,26.7,36.9,22.4,9.3,3.0,14.0,19.7,2020,Polish-EBL
3,Twarde Pierniki Torun,20,40.0,87.8,32.3,69.2,0.467,8.0,23.4,0.34,15.2,20.2,0.752,7.6,27.3,34.9,22.2,8.3,2.8,12.6,19.5,2020,Polish-EBL
4,Enea Abramczyk Astoria Bydgoszcz,21,40.2,87.6,32.3,71.0,0.455,8.0,23.0,0.347,15.0,21.6,0.695,9.0,26.4,35.5,18.9,8.0,2.6,13.6,21.5,2020,Polish-EBL
5,WKS Slask Wroclaw,22,40.0,86.8,32.1,66.1,0.485,10.0,26.6,0.375,12.6,17.1,0.737,8.6,22.8,31.5,18.6,7.8,2.1,12.2,20.7,2020,Polish-EBL
6,Polski Cukier Pszczolka Start Lublin,22,40.0,84.9,30.1,64.8,0.465,9.1,24.5,0.371,15.5,21.2,0.73,9.4,27.0,36.4,18.4,6.2,3.5,12.5,17.6,2020,Polish-EBL
7,GTK Gliwice,22,41.1,84.4,29.5,67.0,0.441,7.6,24.5,0.312,17.7,24.4,0.724,9.8,24.3,34.0,20.1,9.2,2.1,15.5,22.5,2020,Polish-EBL
8,King Szczecin,22,40.0,83.4,29.5,63.0,0.469,8.3,22.0,0.377,16.0,21.4,0.749,8.2,26.5,34.8,17.6,6.7,3.1,14.2,19.0,2020,Polish-EBL
9,Trefl Sopot,22,40.2,81.2,30.2,63.1,0.479,8.6,24.5,0.35,12.1,17.4,0.697,7.5,25.6,33.1,17.9,5.9,3.1,14.2,20.0,2020,Polish-EBL
10,Polpharma Starogard Gdanski,22,40.5,80.7,29.4,65.0,0.452,8.0,24.7,0.326,14.0,19.4,0.721,8.5,23.5,31.9,17.5,8.4,3.1,16.8,18.6,2020,Polish-EBL
11,Legia Warszawa,22,40.2,80.6,28.5,65.8,0.433,9.0,27.1,0.334,14.5,20.3,0.717,9.0,23.5,32.5,16.7,7.5,2.5,15.0,20.1,2020,Polish-EBL
12,BM Slam Stal Ostrow WLKP,22,40.2,80.5,29.4,65.2,0.45,7.7,24.4,0.317,14.1,21.2,0.664,7.6,25.2,32.8,19.1,7.3,1.9,11.4,18.8,2020,Polish-EBL
13,Asseco Arka Gdynia,22,40.0,80.2,27.4,61.0,0.448,11.5,29.8,0.385,14.0,18.0,0.782,7.0,29.3,36.3,19.3,6.2,2.5,14.6,22.1,2020,Polish-EBL
14,MKS Dabrowa Gornicza,23,40.4,78.6,27.7,63.1,0.438,8.9,25.3,0.352,14.4,19.3,0.744,7.1,24.3,31.5,15.4,6.7,2.0,16.0,20.9,2020,Polish-EBL
15,PGE Spojnia Stargard,22,40.2,78.4,27.7,66.0,0.42,8.8,24.9,0.352,14.1,20.1,0.704,10.0,24.4,34.5,16.1,6.9,2.8,12.9,21.5,2020,Polish-EBL
16,HydroTruck Radom,22,40.0,77.8,27.5,63.5,0.434,11.1,29.7,0.375,11.5,16.9,0.683,8.7,24.6,33.4,18.2,7.6,2.4,13.8,18.5,2020,Polish-EBL
