#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,BM Slam Stal Ostrow WLKP,33,40.0,91.4,31.9,66.0,0.484,12.6,32.4,0.39,14.9,19.2,0.775,8.3,23.9,32.2,19.7,7.7,3.0,11.7,18.6,2022,Polish-EBL,0
2,Enea Zastal BC Zielona,35,40.6,87.4,32.6,67.9,0.48,9.5,26.2,0.365,12.7,18.2,0.696,10.5,24.8,35.4,21.7,7.5,1.5,12.4,22.5,2022,Polish-EBL,0
3,Anwil Wloclawek,39,40.5,84.6,30.6,65.2,0.469,9.3,28.1,0.332,14.1,19.1,0.742,7.7,26.7,34.4,18.0,7.2,3.0,12.8,21.8,2022,Polish-EBL,0
4,WKS Slask Wroclaw,45,40.2,83.8,30.8,65.3,0.471,8.5,24.7,0.343,13.8,18.2,0.756,8.0,25.4,33.4,19.5,6.3,3.3,12.0,17.5,2022,Polish-EBL,1
5,Grupa Sierleccy Czarni Slupsk,41,40.1,83.6,29.4,63.8,0.461,10.0,27.2,0.366,14.8,21.0,0.705,8.5,25.9,34.4,19.4,7.2,2.7,13.8,19.8,2022,Polish-EBL,0
6,Enea Abramczyk Astoria Bydgoszcz,30,40.2,83.2,29.9,63.7,0.47,9.4,26.5,0.353,14.0,19.3,0.725,8.8,22.3,31.1,20.0,8.0,3.3,14.7,18.2,2022,Polish-EBL,0
7,King Szczecin,34,40.6,82.9,28.8,62.5,0.461,9.1,23.9,0.378,16.2,21.1,0.765,8.4,21.1,29.6,18.2,8.1,1.9,14.2,21.6,2022,Polish-EBL,0
8,Twarde Pierniki Torun,34,40.1,82.7,29.2,64.5,0.453,7.7,23.1,0.335,16.5,22.5,0.734,8.7,24.3,33.0,19.7,7.1,1.8,13.4,23.4,2022,Polish-EBL,0
9,MKS Dabrowa Gornicza,30,40.3,82.7,28.8,65.0,0.443,9.0,26.7,0.338,16.2,21.0,0.773,8.3,22.1,30.4,16.4,6.9,1.9,12.0,20.4,2022,Polish-EBL,0
10,Legia Warszawa,41,40.9,82.0,29.1,64.9,0.449,10.6,29.0,0.365,13.1,17.2,0.76,8.3,25.4,33.7,19.3,7.1,2.9,13.3,19.9,2022,Polish-EBL,0
11,Trefl Sopot,30,40.8,81.4,30.3,64.2,0.472,8.4,25.7,0.328,12.4,17.9,0.693,9.5,25.7,35.2,19.4,6.6,3.9,14.4,19.9,2022,Polish-EBL,0
12,PGE Spojnia Stargard,30,40.3,79.3,28.2,64.4,0.437,8.2,25.8,0.317,14.8,20.3,0.729,8.6,25.2,33.8,17.1,6.1,3.0,14.3,19.4,2022,Polish-EBL,0
13,HydroTruck Radom,30,40.3,78.3,27.8,63.3,0.44,8.9,25.9,0.342,13.7,19.0,0.724,7.9,23.4,31.3,17.0,7.4,2.5,15.5,19.9,2022,Polish-EBL,0
14,Asseco Arka Gdynia,30,40.2,76.7,27.7,61.9,0.447,7.9,23.3,0.34,13.4,19.3,0.696,7.2,25.4,32.6,17.0,6.9,2.6,15.3,21.2,2022,Polish-EBL,0
15,Polski Cukier Pszczolka Start Lublin,30,40.3,76.4,28.2,62.6,0.451,7.3,22.8,0.322,12.6,17.7,0.712,7.8,23.9,31.7,15.8,6.1,2.9,13.2,19.2,2022,Polish-EBL,0
16,GTK Gliwice,30,40.0,75.7,27.8,61.9,0.449,8.8,25.7,0.343,11.2,16.4,0.684,7.2,22.8,30.0,18.0,6.3,2.3,14.7,20.0,2022,Polish-EBL,0
