#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,SL Benfica,30,40.6,84.5,31.5,63.2,0.498,7.1,21.7,0.328,14.4,19.3,0.748,11.6,26.7,38.2,16.4,10.0,3.6,15.0,17.0,2013,Portuguese-LPB,1
2,CAB Madeira,28,40.3,78.5,27.8,62.8,0.443,9.8,28.8,0.34,13.1,16.1,0.814,10.2,22.3,32.5,15.9,9.8,1.8,13.7,22.1,2013,Portuguese-LPB,0
3,Vitoria Alves Guimaraes,25,40.1,78.4,27.8,63.8,0.437,7.9,23.6,0.336,14.8,20.4,0.722,11.1,23.6,34.7,14.5,10.0,3.1,15.1,18.6,2013,Portuguese-LPB,0
4,Barcelos Hotel Terco,25,40.4,74.5,27.3,61.4,0.445,6.1,18.8,0.326,13.8,20.0,0.687,9.7,23.3,33.0,12.1,10.1,0.9,15.4,19.0,2013,Portuguese-LPB,0
5,Academica Coimbra,33,40.1,73.5,26.5,60.0,0.442,7.2,22.8,0.314,13.2,18.7,0.707,9.0,22.0,31.0,13.6,8.3,2.3,14.0,18.3,2013,Portuguese-LPB,0
6,ADO Basquetebol Sad Ovarense,28,40.2,71.6,26.1,56.4,0.463,7.8,22.8,0.34,11.6,16.7,0.694,8.3,21.5,29.8,15.2,9.2,1.0,16.0,19.9,2013,Portuguese-LPB,0
7,Sport Alges e Dafundo,20,41.0,71.6,26.1,63.4,0.412,6.3,21.8,0.287,13.1,18.3,0.718,10.4,22.3,32.7,12.2,8.8,1.0,15.4,18.1,2013,Portuguese-LPB,0
8,Sampaense Basket,24,40.4,71.4,27.2,63.0,0.432,4.3,17.6,0.246,12.6,18.4,0.686,9.5,22.4,31.8,12.9,7.7,2.0,15.1,17.2,2013,Portuguese-LPB,0
9,Barreirense-CEPSA,19,40.2,69.7,25.6,61.1,0.42,7.6,22.4,0.34,10.8,15.3,0.71,8.9,20.5,29.5,13.6,7.7,2.6,14.6,18.6,2013,Portuguese-LPB,0
10,SC Lusitania,22,40.9,67.6,26.3,62.6,0.42,3.5,15.6,0.222,11.5,16.4,0.703,11.4,20.8,32.2,12.1,7.6,4.2,15.1,15.9,2013,Portuguese-LPB,0
11,Fisica Desportiva,20,40.2,65.0,24.1,59.2,0.407,6.6,20.7,0.317,10.3,14.9,0.69,9.0,20.4,29.4,13.1,9.4,2.0,15.7,20.8,2013,Portuguese-LPB,0
