#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,SL Benfica,33,40.1,93.3,33.1,65.3,0.506,10.5,27.6,0.382,16.6,22.8,0.73,10.1,25.5,35.6,21.8,9.8,2.8,14.5,18.8,2023,Portuguese-LPB
2,Sporting Clube de Portugal,33,40.1,91.1,31.8,66.2,0.481,9.9,26.6,0.374,17.5,23.3,0.75,11.5,24.5,36.0,20.4,10.1,2.6,16.5,23.8,2023,Portuguese-LPB
3,FC Porto Ferpinta,33,40.1,89.2,31.1,64.4,0.483,9.6,26.4,0.366,17.4,24.1,0.723,9.6,24.7,34.3,19.9,7.2,1.5,13.4,19.8,2023,Portuguese-LPB
4,Vitoria Alves Guimaraes,32,40.1,89.0,32.7,67.0,0.487,8.3,24.1,0.346,15.3,19.3,0.792,10.0,23.7,33.7,17.1,6.0,2.7,14.7,18.1,2023,Portuguese-LPB
5,CAB Madeira,32,40.2,79.7,28.3,67.7,0.417,10.1,29.7,0.341,13.0,19.3,0.676,9.8,22.3,32.1,13.9,6.8,1.2,12.3,18.3,2023,Portuguese-LPB
6,Imortal Albufeira,32,40.6,78.5,28.3,64.6,0.439,7.9,24.8,0.319,14.0,20.3,0.689,11.3,23.8,35.1,17.0,7.4,2.6,15.7,20.0,2023,Portuguese-LPB
7,Esgueira,32,40.3,77.8,28.0,62.0,0.451,8.4,26.2,0.32,13.4,18.0,0.745,6.7,24.0,30.7,15.5,6.8,1.9,14.3,16.7,2023,Portuguese-LPB
8,SC Lusitania,33,40.3,77.3,26.9,60.9,0.441,7.8,24.1,0.322,15.8,20.5,0.77,9.8,21.8,31.7,17.3,8.2,2.7,16.6,17.2,2023,Portuguese-LPB
9,U.D. Oliveirense Cacarola,33,40.4,76.7,27.6,64.1,0.431,7.1,22.9,0.309,14.4,19.5,0.737,10.3,23.3,33.6,16.6,9.4,2.9,16.5,21.8,2023,Portuguese-LPB
10,ADO Basquetebol Sad Ovarense,33,39.9,76.3,26.2,61.1,0.429,8.3,25.5,0.324,15.6,20.5,0.763,7.2,22.6,29.8,16.6,7.2,2.6,15.0,20.2,2023,Portuguese-LPB
11,CD Povoa,33,40.1,74.0,25.7,62.3,0.412,7.3,24.6,0.298,15.3,20.7,0.738,9.3,25.8,35.1,16.2,7.2,2.5,16.0,18.5,2023,Portuguese-LPB
12,Alianca Sangalhos,32,40.0,70.5,25.9,59.2,0.437,6.0,21.1,0.284,12.8,18.6,0.685,7.9,21.6,29.5,13.5,8.1,2.4,17.7,20.1,2023,Portuguese-LPB
