#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Mets de Guaynabo,43,40.5,87.5,31.4,69.9,0.449,8.4,24.0,0.352,16.3,22.5,0.722,12.3,25.3,37.6,15.5,5.6,2.6,11.7,19.2,2013,Puerto-Rican-BSN,0
2,Capitanes de Arecibo,43,40.2,86.0,32.9,70.1,0.469,6.4,20.1,0.321,13.8,19.0,0.726,10.2,27.3,37.5,16.2,5.5,3.2,11.8,18.6,2013,Puerto-Rican-BSN,0
3,Leones de Ponce,54,40.4,84.9,31.2,69.3,0.451,7.5,22.5,0.332,14.9,20.7,0.72,12.4,24.7,37.1,17.1,7.4,2.7,11.5,17.4,2013,Puerto-Rican-BSN,0
4,Piratas de Quebradillas,51,40.5,84.8,29.9,66.4,0.451,8.5,23.5,0.363,16.4,21.8,0.75,11.2,24.5,35.7,15.7,5.7,4.3,10.8,18.9,2013,Puerto-Rican-BSN,1
5,Indios de Mayaguez,43,40.3,83.0,30.8,69.0,0.446,6.3,18.6,0.338,15.1,22.1,0.682,12.3,26.2,38.5,15.0,7.8,3.3,12.7,19.4,2013,Puerto-Rican-BSN,0
6,Vaqueros de Bayamon,36,40.7,82.1,29.9,67.2,0.444,7.4,20.4,0.361,15.0,20.4,0.734,10.7,24.4,35.1,16.1,5.8,3.0,11.3,18.5,2013,Puerto-Rican-BSN,0
7,Atleticos de San German,36,40.3,82.0,29.8,68.9,0.433,8.2,23.8,0.346,14.1,19.9,0.709,11.7,22.4,34.1,14.8,6.2,3.0,11.0,19.2,2013,Puerto-Rican-BSN,0
8,Caciques de Humacao,40,40.1,81.6,30.9,66.2,0.467,5.6,17.9,0.313,14.2,19.9,0.712,9.9,27.6,37.5,16.6,5.0,4.6,12.4,16.5,2013,Puerto-Rican-BSN,0
9,Brujos de Guayama,48,40.3,80.9,30.0,67.0,0.448,7.0,20.8,0.335,13.9,19.9,0.702,9.4,24.5,33.9,16.0,8.0,3.6,11.9,18.6,2013,Puerto-Rican-BSN,0
10,Cangrejeros de Santurce,48,40.4,79.9,28.2,63.4,0.444,8.9,24.0,0.369,14.6,19.1,0.767,8.7,23.0,31.7,16.7,6.4,2.9,11.3,20.8,2013,Puerto-Rican-BSN,0
