#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Capitanes de Arecibo,20,40.9,93.4,34.0,72.3,0.47,8.3,25.8,0.32,17.2,23.7,0.726,12.9,27.6,40.5,17.6,6.6,2.7,13.0,20.6,2023,Puerto-Rican-BSN
2,Cangrejeros de Santurce,21,40.1,92.0,34.2,70.0,0.489,9.0,25.0,0.361,14.5,18.9,0.766,8.0,28.3,36.3,19.3,5.5,3.3,12.6,17.5,2023,Puerto-Rican-BSN
3,Grises de Humacao,20,39.9,91.9,35.5,71.5,0.496,8.1,22.2,0.365,12.9,18.7,0.687,11.2,22.9,34.1,19.6,5.5,2.1,12.2,17.2,2023,Puerto-Rican-BSN
4,Osos de Manati,21,40.7,89.8,33.1,69.3,0.478,9.4,23.2,0.404,14.2,21.7,0.657,10.3,24.6,35.0,18.9,6.2,2.0,11.6,17.4,2023,Puerto-Rican-BSN
5,Piratas de Quebradillas,19,40.2,89.5,31.5,67.8,0.465,11.3,28.8,0.391,15.2,20.8,0.729,10.4,27.1,37.5,18.9,5.7,3.3,11.6,19.1,2023,Puerto-Rican-BSN
6,Leones de Ponce,21,40.2,89.1,31.7,68.2,0.465,9.0,27.0,0.335,16.7,22.2,0.751,8.8,25.5,34.3,19.9,6.6,2.6,13.8,18.9,2023,Puerto-Rican-BSN
7,Mets de Guaynabo,20,40.5,88.8,34.1,73.9,0.461,9.0,24.7,0.363,11.8,16.6,0.71,13.3,26.7,40.0,21.1,7.3,2.9,12.8,17.2,2023,Puerto-Rican-BSN
8,Cariduros de Fajardo,22,40.5,88.0,33.1,72.7,0.455,9.5,27.7,0.343,12.3,17.0,0.723,11.3,26.1,37.4,19.3,6.2,3.6,12.2,15.9,2023,Puerto-Rican-BSN
9,Gigantes de Carolina,20,40.8,86.8,33.3,72.5,0.46,12.0,31.2,0.385,8.2,10.9,0.751,8.5,23.9,32.4,21.8,6.7,3.1,10.7,17.2,2023,Puerto-Rican-BSN
10,Atleticos de San German,20,40.4,85.4,32.6,70.4,0.463,10.1,27.4,0.367,10.2,15.2,0.673,9.9,27.4,37.3,20.0,5.6,3.5,12.4,18.9,2023,Puerto-Rican-BSN
11,Vaqueros de Bayamon,19,40.3,84.9,34.3,70.4,0.488,7.6,22.6,0.338,8.7,13.1,0.665,8.4,26.4,34.7,22.2,7.6,4.2,11.5,15.9,2023,Puerto-Rican-BSN
12,Indios de Mayaguez,21,40.0,83.6,29.7,66.4,0.447,10.4,28.4,0.365,13.9,19.4,0.717,8.8,24.1,33.0,19.3,5.9,2.0,11.4,19.2,2023,Puerto-Rican-BSN
