#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,CSM Targu Jiu,34,40.1,86.9,32.0,63.9,0.502,8.6,24.5,0.353,14.2,19.1,0.744,9.1,21.8,30.9,16.7,7.0,2.6,11.9,21.0,2014,Romanian-Divizia-A,0
2,CSU Asesoft Ploiesti,39,40.3,86.2,31.6,59.8,0.529,7.8,21.6,0.36,14.8,21.3,0.696,8.2,21.5,29.7,18.4,8.6,1.7,12.6,21.9,2014,Romanian-Divizia-A,1
3,CSM Oradea,37,40.0,84.9,31.3,60.4,0.518,6.6,17.6,0.377,15.6,22.1,0.708,9.6,23.5,33.1,18.1,7.9,2.5,14.2,21.3,2014,Romanian-Divizia-A,0
4,CSS Bega Timisoara,26,40.4,84.2,30.1,63.5,0.474,9.5,26.9,0.352,14.6,18.6,0.785,10.3,21.2,31.5,15.7,7.7,3.0,14.0,22.3,2014,Romanian-Divizia-A,0
5,CS Energia Rovinari,29,40.3,82.1,29.8,60.0,0.496,5.5,15.4,0.358,16.9,22.3,0.759,9.2,23.9,33.1,15.9,8.7,2.1,15.6,21.2,2014,Romanian-Divizia-A,0
6,U-Banca Transilvania Cluj,37,40.3,81.9,29.5,62.2,0.474,7.8,22.5,0.346,15.2,20.0,0.759,11.2,22.5,33.7,18.4,7.5,2.3,14.6,19.8,2014,Romanian-Divizia-A,0
7,CSU Atlassib Sibiu,30,40.3,81.6,29.6,63.1,0.469,7.6,20.8,0.363,14.8,21.1,0.7,10.7,22.5,33.2,14.8,7.6,2.6,13.5,19.7,2014,Romanian-Divizia-A,0
8,CSM Medias,26,40.4,80.6,28.9,58.4,0.495,8.1,22.5,0.358,13.9,19.2,0.724,9.0,19.8,28.9,15.9,10.4,2.0,15.8,22.0,2014,Romanian-Divizia-A,0
9,BCM U Pitesti,29,40.5,79.6,28.4,61.1,0.465,6.4,18.7,0.341,16.3,24.0,0.679,11.9,24.3,36.2,14.1,7.7,3.2,16.3,20.4,2014,Romanian-Divizia-A,0
10,SCM CSU Craiova,29,40.3,79.1,28.9,60.3,0.48,6.6,20.4,0.321,14.7,21.3,0.69,8.5,24.4,32.9,16.3,8.2,3.8,15.5,22.7,2014,Romanian-Divizia-A,0
11,Steaua CSM EximBank Bucuresti,26,40.1,77.4,26.8,58.2,0.46,8.0,22.3,0.359,15.0,20.2,0.743,10.1,21.4,31.5,14.5,8.3,2.3,15.0,23.3,2014,Romanian-Divizia-A,0
12,BC Timba Timisoara,26,39.9,69.0,25.2,60.3,0.419,6.5,21.1,0.308,11.3,17.3,0.65,7.5,19.4,26.9,14.3,6.5,2.4,16.9,20.1,2014,Romanian-Divizia-A,0
13,CS Concordia Chiajna,26,40.0,67.8,24.9,59.3,0.421,5.7,20.5,0.277,12.3,20.3,0.604,10.3,18.7,28.9,13.7,7.5,1.8,21.8,19.4,2014,Romanian-Divizia-A,0
14,BC Farul Constanta,26,40.0,54.1,20.2,57.9,0.348,4.4,18.5,0.239,9.4,15.4,0.61,7.2,18.7,26.0,10.0,5.7,1.9,21.3,19.5,2014,Romanian-Divizia-A,0
