#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,U-Banca Transilvania Cluj,33,40.2,87.7,31.9,61.4,0.52,7.8,22.7,0.345,16.0,22.0,0.728,8.7,23.9,32.6,21.6,9.0,2.5,15.0,21.4,2023,Romanian-Divizia-A
2,CSM Oradea,32,40.2,87.6,32.9,63.8,0.515,10.0,26.0,0.386,11.8,15.2,0.778,10.0,24.2,34.3,20.3,8.5,2.8,12.8,18.3,2023,Romanian-Divizia-A
3,CS Targu Mures,29,40.5,84.6,31.4,65.1,0.482,9.6,25.1,0.38,12.2,15.9,0.77,9.8,23.4,33.2,19.3,6.3,2.3,13.0,18.9,2023,Romanian-Divizia-A
4,CS Rapid Bucuresti,33,40.2,82.6,29.5,61.7,0.477,9.8,26.7,0.368,13.9,19.3,0.722,7.8,22.8,30.6,17.8,7.3,2.0,13.6,19.4,2023,Romanian-Divizia-A
5,CS Municipal Ploiesti,30,40.2,81.9,30.6,61.0,0.502,9.5,24.2,0.393,11.2,16.2,0.691,7.1,24.7,31.9,20.8,6.1,2.3,14.2,19.3,2023,Romanian-Divizia-A
6,CSO Voluntari,35,40.1,81.6,29.1,63.3,0.46,8.5,24.7,0.342,14.9,19.1,0.78,9.3,22.4,31.7,15.1,5.8,1.4,11.5,19.7,2023,Romanian-Divizia-A
7,CS Phoenix Galati,30,40.3,81.3,29.6,66.2,0.448,7.5,24.7,0.305,14.5,21.4,0.679,10.6,20.3,30.9,14.8,9.2,2.2,11.7,20.4,2023,Romanian-Divizia-A
8,CSU Atlassib Sibiu,34,40.1,80.2,28.9,60.9,0.475,7.4,22.4,0.329,15.0,21.4,0.702,9.2,21.8,30.9,16.9,6.8,2.5,13.9,19.3,2023,Romanian-Divizia-A
9,Steaua CSM EximBank Bucuresti,32,40.3,79.8,28.8,65.1,0.442,8.1,23.6,0.341,14.3,18.6,0.765,10.9,22.6,33.5,16.1,6.6,1.6,12.3,19.8,2023,Romanian-Divizia-A
10,BC Athletic Constanta,26,40.4,79.7,28.9,60.1,0.481,8.8,23.2,0.382,13.0,17.8,0.732,9.3,24.3,33.6,17.2,5.8,0.9,16.7,19.9,2023,Romanian-Divizia-A
11,CSU Asesoft Ploiesti,16,40.0,79.3,30.0,61.3,0.49,9.3,23.3,0.399,10.0,14.8,0.678,7.4,25.3,32.7,20.3,5.9,2.0,14.1,19.5,2023,Romanian-Divizia-A
12,BCM U Pitesti,32,40.5,78.5,29.2,64.5,0.452,7.1,23.1,0.306,13.2,17.6,0.749,8.9,22.7,31.5,15.7,7.6,2.3,12.3,19.4,2023,Romanian-Divizia-A
13,CS Dinamo Bucuresti,26,40.7,78.4,29.4,60.7,0.484,7.7,22.7,0.337,12.0,15.9,0.753,7.4,21.2,28.5,17.5,7.0,2.0,12.4,19.8,2023,Romanian-Divizia-A
14,CSS Bega Timisoara,32,40.3,76.5,26.7,59.9,0.446,9.0,25.8,0.351,14.0,19.3,0.727,7.3,20.8,28.1,16.1,6.8,2.6,13.3,20.5,2023,Romanian-Divizia-A
15,SCM CSU Craiova,33,40.3,76.3,26.9,59.0,0.456,8.0,25.7,0.311,14.5,19.5,0.745,7.7,21.4,29.1,15.9,5.4,1.8,12.7,21.7,2023,Romanian-Divizia-A
16,CSM Focsani,30,40.3,76.1,28.3,65.5,0.432,8.2,23.7,0.346,11.4,15.2,0.749,10.9,20.9,31.8,15.5,7.4,1.8,11.8,16.4,2023,Romanian-Divizia-A
17,CSM Targu Jiu,29,40.2,74.8,26.4,59.1,0.446,7.6,22.4,0.34,14.4,19.0,0.755,6.7,25.7,32.3,12.9,6.0,2.7,15.7,18.3,2023,Romanian-Divizia-A
18,BC PH Miercurea Ciuc,30,40.2,71.5,26.2,59.5,0.441,4.8,18.1,0.267,14.2,20.2,0.705,9.3,21.8,31.1,13.9,5.8,1.7,16.9,19.0,2023,Romanian-Divizia-A
19,Laguna Sharks Bucuresti,32,40.1,64.8,22.8,57.7,0.395,6.8,22.8,0.299,12.4,17.6,0.706,8.5,22.6,31.1,14.0,6.5,2.2,17.5,21.1,2023,Romanian-Divizia-A
