#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,KK Mladost Admiral Zemun,35,40.1,92.4,35.1,70.2,0.5,6.7,21.3,0.314,15.6,21.5,0.726,10.7,25.9,36.7,20.2,6.8,2.9,12.6,20.4,2022,Serbian-KLS,0
2,Zlatibor Cajetina,32,40.1,91.3,31.7,66.4,0.478,12.1,31.8,0.38,15.8,20.7,0.763,9.9,24.1,34.0,19.7,6.9,1.4,11.1,20.6,2022,Serbian-KLS,0
3,KK Crvena Zvezda,5,40.0,90.6,33.8,68.2,0.496,11.8,31.4,0.376,11.2,15.6,0.718,10.6,20.6,31.2,23.6,12.4,1.6,12.4,18.6,2022,Serbian-KLS,1
4,OKK Beograd,30,40.7,88.1,32.0,67.8,0.473,7.2,23.5,0.305,16.8,23.7,0.709,10.6,24.0,34.6,19.7,7.1,2.3,14.2,21.3,2022,Serbian-KLS,0
5,KK Sloboda Uzice,32,40.3,87.2,31.9,65.5,0.488,7.1,21.2,0.335,16.2,21.6,0.751,9.6,24.1,33.7,20.7,6.8,3.0,14.1,23.9,2022,Serbian-KLS,0
6,KK Dynamic,32,40.5,85.3,30.0,64.8,0.462,10.2,29.1,0.349,15.2,21.2,0.717,11.4,25.7,37.1,19.4,6.8,2.2,15.1,24.3,2022,Serbian-KLS,0
7,KK Borac Cacak,7,40.0,85.1,31.6,73.3,0.431,11.6,38.0,0.305,10.4,17.4,0.598,10.9,27.3,38.1,21.6,8.0,2.7,9.9,20.7,2022,Serbian-KLS,0
8,KK Sloga,32,40.0,84.6,29.9,63.2,0.474,9.2,28.3,0.324,15.5,22.3,0.695,9.1,24.8,33.9,20.5,6.8,1.8,14.4,22.5,2022,Serbian-KLS,0
9,KK Tamis,30,40.5,82.8,29.3,63.2,0.463,8.0,25.2,0.318,16.2,23.1,0.704,9.9,23.0,32.8,17.1,7.4,1.8,14.4,24.3,2022,Serbian-KLS,0
10,KK Vojvodina Novi Sad,34,40.6,82.7,29.8,67.7,0.44,9.9,32.2,0.308,13.2,17.0,0.777,10.4,25.1,35.5,20.1,7.9,2.8,12.6,21.0,2022,Serbian-KLS,0
11,OKK Novi Pazar,30,40.3,82.2,27.7,62.3,0.445,9.0,27.3,0.331,17.8,23.6,0.753,8.1,24.7,32.8,17.1,6.4,2.0,14.5,20.9,2022,Serbian-KLS,0
12,KK Vrsac Swisslion,30,40.3,81.8,29.0,64.8,0.448,8.2,26.9,0.303,15.5,22.1,0.703,9.3,23.7,33.0,14.8,8.2,1.9,12.3,21.4,2022,Serbian-KLS,0
13,KK Mega Bemax,9,40.0,81.7,29.0,63.9,0.454,8.6,27.1,0.316,15.1,20.0,0.756,9.8,28.1,37.9,19.4,7.4,3.7,14.6,19.6,2022,Serbian-KLS,0
14,KK Kolubara LA 2003,30,40.0,81.4,29.2,60.0,0.487,7.7,23.1,0.334,15.2,21.8,0.697,8.7,21.2,29.9,19.1,6.8,1.4,15.0,24.1,2022,Serbian-KLS,0
15,KK Dunav Stari Banovci,30,40.7,81.0,28.5,65.0,0.439,7.9,25.3,0.311,16.1,23.4,0.686,10.4,24.8,35.1,16.9,6.8,3.7,14.5,20.5,2022,Serbian-KLS,0
16,Radnicki 1950 Kragujevac,30,40.7,80.8,27.8,62.8,0.442,9.7,29.0,0.334,15.6,20.5,0.758,8.4,23.5,32.0,19.4,6.1,1.5,14.2,23.4,2022,Serbian-KLS,0
17,KK Metalac Valjevo,30,40.2,80.5,29.7,66.0,0.45,7.3,25.3,0.287,13.8,21.2,0.648,11.2,25.1,36.3,17.2,6.9,2.5,15.5,21.8,2022,Serbian-KLS,0
18,KK Zdravlje Leskovac,30,40.2,78.9,27.7,61.4,0.452,8.2,25.0,0.328,15.3,20.0,0.763,8.8,22.3,31.0,17.4,7.4,1.2,15.2,22.7,2022,Serbian-KLS,0
19,KK Slodes Beograd,30,40.2,76.6,28.1,65.6,0.428,8.4,28.2,0.298,12.0,17.5,0.684,9.0,21.9,30.9,17.0,6.0,1.7,14.9,21.2,2022,Serbian-KLS,0
20,FMP Beograd,2,40.0,65.0,22.5,55.0,0.409,7.0,20.0,0.35,13.0,18.0,0.722,11.5,17.5,29.0,17.5,8.0,2.5,24.0,24.5,2022,Serbian-KLS,0
