#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,FMP Beograd,3,40.0,101.7,34.3,67.7,0.507,11.7,28.0,0.417,21.3,29.0,0.736,8.7,27.3,36.0,23.0,8.7,4.7,12.7,22.3,2023,Serbian-KLS
2,KK Spartak Subotica,33,40.2,87.1,31.7,64.8,0.489,9.2,27.1,0.34,14.5,19.7,0.734,8.7,22.6,31.3,19.1,8.6,2.9,13.5,19.8,2023,Serbian-KLS
3,OKK Beograd,33,39.9,85.8,30.5,65.8,0.464,8.3,25.0,0.332,16.4,23.8,0.689,10.3,25.9,36.2,18.6,7.8,2.8,14.5,21.5,2023,Serbian-KLS
4,KK Vrsac Swisslion,29,40.3,85.6,31.1,67.7,0.46,10.5,32.1,0.328,12.8,20.4,0.628,10.0,22.0,32.0,17.2,7.6,1.3,10.6,20.2,2023,Serbian-KLS
5,KK Mega Bemax,2,40.0,85.5,31.0,68.5,0.453,10.0,31.0,0.323,13.5,18.0,0.75,10.0,25.0,35.0,20.5,8.0,7.5,11.5,21.0,2023,Serbian-KLS
6,KK Vojvodina Novi Sad,31,40.3,85.5,29.6,64.0,0.462,9.3,27.5,0.338,17.0,22.4,0.758,8.9,24.1,33.0,17.1,8.4,2.0,12.6,21.5,2023,Serbian-KLS
7,KK Metalac Valjevo,32,40.1,84.8,31.9,66.5,0.48,6.9,23.3,0.298,14.0,21.8,0.644,11.7,28.2,39.9,18.6,6.5,4.0,15.1,18.7,2023,Serbian-KLS
8,Zlatibor Cajetina,33,39.9,84.3,29.4,64.0,0.459,10.7,31.1,0.345,14.8,20.4,0.727,9.4,24.5,33.9,17.9,7.2,2.1,12.8,20.9,2023,Serbian-KLS
9,KK Mladost Admiral Zemun,30,39.8,83.4,30.9,65.9,0.469,6.5,19.9,0.327,15.0,22.8,0.658,8.3,23.2,31.5,16.2,6.9,3.8,13.9,17.9,2023,Serbian-KLS
10,KK Dynamic,30,40.1,82.2,28.8,64.3,0.448,10.3,31.3,0.33,14.3,20.5,0.698,10.7,24.4,35.1,15.9,6.0,2.7,12.3,22.0,2023,Serbian-KLS
11,KK Sloga,28,40.3,81.2,29.1,62.0,0.469,7.4,22.9,0.323,15.6,22.1,0.708,8.6,25.3,34.0,17.2,7.4,1.4,14.0,21.1,2023,Serbian-KLS
12,KK Tamis,29,40.4,80.4,27.9,60.4,0.461,9.3,25.9,0.36,15.3,20.1,0.763,8.8,24.8,33.5,14.4,6.2,0.9,15.7,22.9,2023,Serbian-KLS
13,OKK Novi Pazar,30,40.0,79.4,28.6,63.2,0.453,7.9,25.7,0.306,14.3,20.8,0.686,8.5,22.9,31.4,16.3,6.5,1.9,13.1,22.3,2023,Serbian-KLS
14,KK Cacak 94,29,40.1,79.0,29.2,62.5,0.468,8.3,26.4,0.313,12.2,17.6,0.696,6.7,24.3,31.0,17.4,7.9,1.2,14.1,21.2,2023,Serbian-KLS
15,KK Kolubara LA 2003,30,39.9,78.8,25.8,59.2,0.437,8.7,27.1,0.322,18.4,24.8,0.743,8.3,24.2,32.5,14.7,5.4,2.5,15.4,18.5,2023,Serbian-KLS
16,KK Zdravlje Leskovac,30,40.0,78.4,27.3,61.1,0.447,7.8,25.4,0.308,15.9,23.1,0.69,9.6,23.8,33.4,15.5,8.0,1.4,14.7,20.9,2023,Serbian-KLS
17,KK Sloboda Uzice,30,40.1,77.6,28.2,59.5,0.474,6.9,21.2,0.325,14.2,20.8,0.685,8.9,22.9,31.8,16.3,6.6,2.5,15.9,23.1,2023,Serbian-KLS
18,KK Dunav Stari Banovci,30,39.9,76.2,26.1,59.7,0.437,7.9,25.6,0.309,16.2,21.7,0.745,7.2,22.3,29.4,16.7,5.2,1.9,13.5,18.1,2023,Serbian-KLS
