#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,KK Crvena Zvezda,3,40,86.7,28.7,63.7,0.45,13,32.7,0.398,16.3,21.3,0.766,10,22.7,32.7,18.3,9,2.3,9.3,20.7,2021,Serbian-RK-Cup,1
2,KK Fair Play Nis,1,40,85,31,78,0.397,9,29,0.31,14,16,0.875,13,32,45,22,8,3,15,31,2021,Serbian-RK-Cup,0
3,KK Mega Bemax,3,40,78.3,27.7,58.7,0.472,7,23.7,0.296,16,20.7,0.774,8,25.3,33.3,19.3,4.3,2.3,12,22.3,2021,Serbian-RK-Cup,0
4,KK Partizan,2,40,77,26,54,0.481,10,25,0.4,15,18,0.833,8,20.5,28.5,15.5,5,3,16.5,23.5,2021,Serbian-RK-Cup,0
5,KK Vojvodina Novi Sad,2,40,74,26.5,65,0.408,7,30.5,0.23,14,19,0.737,12.5,24,36.5,16,5,3,14.5,22,2021,Serbian-RK-Cup,0
6,KK Borac Cacak,1,40,72,24,56,0.429,7,19,0.368,17,21,0.81,8,22,30,16,9,0,17,23,2021,Serbian-RK-Cup,0
7,KK Mladost Admiral Zemun,1,40,69,22,64,0.344,3,15,0.2,22,29,0.759,9,17,26,7,5,2,12,24,2021,Serbian-RK-Cup,0
8,OKK Beograd,2,40,68.5,26.5,62,0.427,7,24,0.292,8.5,12,0.708,6.5,26,32.5,18,9,3.5,22.5,20.5,2021,Serbian-RK-Cup,0
9,FMP Beograd,1,40,67,23,69,0.333,6,30,0.2,15,20,0.75,16,21,37,15,8,4,12,28,2021,Serbian-RK-Cup,0
10,KK Hercegovac Gajdobra,1,40,62,21,58,0.362,3,18,0.167,17,26,0.654,9,21,30,8,8,2,16,15,2021,Serbian-RK-Cup,0
11,KK Klik,1,40,58,21,62,0.339,7,31,0.226,9,13,0.692,10,19,29,9,6,5,16,16,2021,Serbian-RK-Cup,0
12,Radnicki 1950 Kragujevac,1,40,47,18,59,0.305,6,24,0.25,5,12,0.417,3,27,30,12,4,1,22,21,2021,Serbian-RK-Cup,0
