#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,BC Prievidza,48,40.1,87.9,31.7,62.9,0.504,10.0,26.8,0.371,14.6,20.2,0.722,9.0,24.0,33.0,19.1,8.2,2.3,14.9,19.9,2017,Slovakian-Extraliga,0
2,Slavia Kosice,50,40.0,87.7,31.8,64.0,0.496,8.9,25.4,0.35,15.3,20.1,0.759,8.7,26.1,34.8,18.4,7.2,3.0,14.1,19.3,2017,Slovakian-Extraliga,0
3,MBK Rieker Komarno,55,40.2,87.7,32.8,67.2,0.488,8.8,25.2,0.349,13.3,18.3,0.727,10.5,23.1,33.6,17.0,8.1,2.8,12.3,20.7,2017,Slovakian-Extraliga,0
4,BK Inter Bratislava,53,40.3,87.3,31.1,64.8,0.48,9.8,27.7,0.354,15.3,19.9,0.768,9.6,22.8,32.4,17.4,8.7,2.0,13.4,22.4,2017,Slovakian-Extraliga,1
5,BK Iskra Svit,43,40.4,85.5,31.6,64.9,0.486,7.8,21.9,0.355,14.7,18.8,0.781,7.5,22.8,30.3,16.0,7.5,2.0,13.5,18.9,2017,Slovakian-Extraliga,0
6,BK Levicki Patrioti Levice,44,40.3,85.5,31.6,62.9,0.502,6.0,18.2,0.331,16.3,22.2,0.736,8.7,23.8,32.5,14.8,8.8,2.5,15.5,21.1,2017,Slovakian-Extraliga,0
7,MBK Lucenec,43,40.0,81.7,29.2,64.3,0.453,7.1,23.1,0.308,16.2,23.2,0.698,10.2,23.2,33.3,13.9,9.9,2.9,16.0,19.3,2017,Slovakian-Extraliga,0
8,MBK Handlova,45,40.7,79.5,28.9,60.6,0.477,9.4,27.3,0.344,12.2,16.8,0.727,6.2,24.6,30.7,17.4,6.4,1.7,15.1,21.6,2017,Slovakian-Extraliga,0
9,BK Spisska Rytieri,40,39.9,75.1,27.4,64.3,0.426,6.5,22.7,0.286,13.8,20.6,0.668,10.9,22.0,32.8,13.8,6.9,1.9,17.7,21.7,2017,Slovakian-Extraliga,0
10,VSEMVS Karlovka Bratislava,40,40.7,74.0,26.8,62.0,0.433,8.0,25.1,0.32,12.3,17.8,0.69,9.6,21.1,30.7,15.3,7.2,2.0,17.5,21.8,2017,Slovakian-Extraliga,0
11,MBK SPU Nitra,39,39.9,69.4,26.0,60.9,0.426,5.5,19.1,0.287,12.0,18.2,0.66,7.4,19.8,27.2,10.2,6.6,1.3,17.2,20.8,2017,Slovakian-Extraliga,0
