#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Krka Novo Mesto,16,39.9,77.5,27.4,57.8,0.475,6.3,19.0,0.332,16.3,20.9,0.781,10.3,23.0,33.3,15.6,6.3,2.6,12.5,24.1,2013,Slovenian-SKL,1
2,KK Tajfun Sentjur,27,40.9,77.2,26.5,59.5,0.445,7.7,22.1,0.346,16.6,22.6,0.733,10.2,21.5,31.7,14.1,5.0,2.4,12.7,22.8,2013,Slovenian-SKL,0
3,Hopsi Polzela,28,41.1,76.1,27.6,62.1,0.445,6.0,18.6,0.321,14.9,19.7,0.754,11.0,24.0,35.0,12.5,6.7,3.9,15.0,20.7,2013,Slovenian-SKL,0
4,Zlatorog,30,40.3,75.7,26.9,58.4,0.46,6.3,19.3,0.324,15.7,20.9,0.754,10.1,20.5,30.6,11.8,8.6,1.9,14.7,26.7,2013,Slovenian-SKL,0
5,KK Maribor Nova,30,40.5,75.2,27.1,58.2,0.466,7.3,21.2,0.343,13.7,18.8,0.729,8.4,20.8,29.2,13.1,7.5,1.2,14.5,21.6,2013,Slovenian-SKL,0
6,Union Olimpija,15,40.0,74.1,25.2,56.9,0.443,6.4,20.9,0.307,17.3,23.2,0.744,9.5,19.3,28.8,12.4,8.3,1.3,13.4,23.8,2013,Slovenian-SKL,0
7,Geoplin Slovan,28,40.7,73.5,26.9,56.9,0.474,7.5,22.2,0.338,12.2,18.5,0.658,6.3,18.8,25.1,14.0,8.3,1.9,11.0,21.3,2013,Slovenian-SKL,0
8,Helios Domzale,28,40.3,71.7,24.6,54.8,0.45,7.6,21.7,0.351,14.8,19.7,0.75,8.1,20.3,28.3,12.5,6.3,2.0,15.0,23.3,2013,Slovenian-SKL,0
9,LTHCast Skofja,28,40.4,71.4,25.6,56.1,0.456,7.4,21.0,0.353,12.9,19.4,0.662,7.3,19.2,26.5,9.6,6.0,1.3,14.5,22.5,2013,Slovenian-SKL,0
10,Elektra Sostanj,28,40.7,71.1,24.9,56.9,0.437,7.4,22.5,0.328,14.0,18.9,0.744,9.2,23.0,32.2,13.4,6.0,2.9,15.9,20.8,2013,Slovenian-SKL,0
11,GA Grosuplje,28,40.7,70.3,24.9,56.7,0.439,6.5,20.3,0.322,14.0,19.8,0.709,9.5,21.5,31.0,11.4,5.6,3.6,15.3,23.7,2013,Slovenian-SKL,0
12,Rogaska Crystal,28,40.9,70.0,24.3,55.0,0.441,5.7,17.7,0.323,15.8,21.6,0.731,9.1,22.5,31.6,12.8,6.3,1.7,15.5,23.0,2013,Slovenian-SKL,0
