#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Helios Domzale,26,39.9,88.3,31.9,63.2,0.505,10.0,26.8,0.375,14.5,18.5,0.782,8.2,23.5,31.7,22.2,8.1,3.5,12.7,16.4,2023,Slovenian-SKL
2,Krka Novo Mesto,27,39.8,88.1,32.3,64.0,0.505,9.3,24.5,0.378,14.1,18.8,0.753,9.6,26.6,36.1,17.7,7.0,2.9,13.4,18.9,2023,Slovenian-SKL
3,Terme Olimia Podcetrtek,27,40.0,83.7,30.6,64.5,0.475,9.6,26.6,0.36,12.9,18.5,0.695,9.1,25.4,34.5,20.5,6.3,2.2,15.0,22.0,2023,Slovenian-SKL
4,Ilirija,27,40.1,83.7,30.7,66.2,0.463,7.0,23.3,0.3,15.3,20.7,0.742,10.1,22.9,32.9,17.6,8.3,2.3,15.2,21.5,2023,Slovenian-SKL
5,KK Tajfun Sentjur,26,40.2,80.3,29.7,65.2,0.455,10.5,29.6,0.354,10.5,14.4,0.728,8.7,22.4,31.1,16.6,7.1,3.0,13.7,19.5,2023,Slovenian-SKL
6,Rogaska Crystal,26,40.4,79.7,28.3,63.1,0.448,8.4,26.7,0.315,14.8,19.2,0.773,7.4,23.2,30.6,17.2,7.7,3.7,13.5,20.7,2023,Slovenian-SKL
7,Sencur Gorenjska Gradbena Druzba Kranj,26,40.1,78.9,30.4,68.4,0.445,7.2,24.4,0.293,10.9,16.1,0.678,11.5,22.4,33.9,17.1,9.4,2.9,12.2,23.0,2023,Slovenian-SKL
8,Hopsi Polzela,27,40.2,76.8,27.4,61.9,0.442,7.4,22.4,0.332,14.6,19.3,0.76,9.3,22.0,31.2,17.3,6.4,1.8,16.9,21.8,2023,Slovenian-SKL
9,LTHCast Skofja,27,39.9,76.2,27.4,65.0,0.421,8.3,24.4,0.338,13.2,17.8,0.744,8.9,21.9,30.8,12.7,6.5,2.1,13.7,19.9,2023,Slovenian-SKL
10,Zlatorog,27,40.1,72.9,26.5,62.2,0.426,8.3,25.2,0.329,11.7,16.5,0.708,9.3,21.5,30.7,17.4,6.3,2.9,13.6,20.4,2023,Slovenian-SKL
