#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Ulsan Mobis Phoebus,60,40.0,77.1,30.3,62.5,0.486,4.6,14.1,0.324,11.8,16.3,0.724,11.4,23.1,34.5,17.3,8.3,3.0,11.4,17.4,2013,South-Korean-KBL,1
2,Seoul SK,61,40.1,76.1,28.9,61.5,0.47,5.4,16.1,0.333,12.9,16.7,0.772,10.4,24.5,35.0,15.0,6.0,3.1,10.8,17.9,2013,South-Korean-KBL,0
3,Korea Gas Corporation,59,40.3,75.9,28.9,60.4,0.479,6.3,17.4,0.36,11.8,16.3,0.727,8.3,22.2,30.5,15.9,7.8,2.8,12.1,20.5,2013,South-Korean-KBL,0
4,Changwon LG Sakers,54,41.0,74.7,29.1,63.2,0.46,7.2,21.7,0.333,9.3,13.7,0.677,10.1,21.1,31.2,16.0,7.3,2.8,12.6,19.0,2013,South-Korean-KBL,0
5,Anyang KGC,62,40.2,74.0,28.2,62.0,0.454,5.7,18.0,0.316,11.4,16.6,0.683,9.9,21.7,31.6,14.3,7.9,2.4,11.4,19.0,2013,South-Korean-KBL,0
6,Goyang Orions,59,40.3,74.0,27.4,59.2,0.462,5.9,18.0,0.331,12.5,16.1,0.776,9.1,20.1,29.1,16.2,7.9,2.2,11.2,20.0,2013,South-Korean-KBL,0
7,Suwon KT Sonicboom,54,40.3,73.6,27.7,59.9,0.463,6.6,18.6,0.353,11.6,14.9,0.775,7.9,19.2,27.1,14.7,8.2,2.1,11.1,18.9,2013,South-Korean-KBL,0
8,Wonju Dongbu Promy,54,40.0,72.6,27.9,60.4,0.461,6.6,19.4,0.338,10.4,14.7,0.706,8.1,20.8,28.8,16.5,6.8,3.9,12.2,18.3,2013,South-Korean-KBL,0
9,Seoul Samsung Thunders,57,40.2,68.9,26.8,61.6,0.436,5.4,17.1,0.316,9.9,13.7,0.721,10.6,22.9,33.6,15.5,6.9,2.9,13.3,21.0,2013,South-Korean-KBL,0
10,Jeonju KCC Egis,54,40.2,66.7,25.3,61.8,0.409,5.9,19.2,0.307,10.3,14.3,0.717,10.7,20.4,31.1,12.4,7.4,1.9,12.1,20.7,2013,South-Korean-KBL,0
