#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Real Madrid,44,40.2,88.0,31.4,64.4,0.487,9.0,24.5,0.366,16.3,20.5,0.792,9.1,23.5,32.6,17.9,8.8,3.5,11.5,18.7,2014,Spanish-ACB,0
2,Valencia Basket,42,40.1,84.0,29.4,62.2,0.473,9.5,24.3,0.39,15.6,18.9,0.827,8.4,22.2,30.6,17.7,8.4,2.2,11.5,20.7,2014,Spanish-ACB,0
3,Barca,45,40.0,81.6,30.4,62.5,0.487,8.5,23.0,0.37,12.3,17.0,0.725,9.3,25.0,34.3,17.3,6.3,2.9,12.1,20.3,2014,Spanish-ACB,1
4,Baskonia,36,40.3,81.5,29.1,60.1,0.485,8.3,21.1,0.393,15.0,19.0,0.789,7.1,23.5,30.6,15.1,6.0,3.5,12.6,21.5,2014,Spanish-ACB,0
5,Unicaja,41,40.2,80.8,29.1,63.5,0.458,7.3,21.4,0.342,15.2,19.7,0.774,11.8,22.7,34.5,15.1,6.8,2.9,12.8,19.5,2014,Spanish-ACB,0
6,Bilbao Basket,34,40.1,79.2,28.7,62.0,0.463,8.0,22.4,0.357,13.8,17.8,0.775,8.6,22.4,30.9,14.1,6.1,0.9,12.2,21.4,2014,Spanish-ACB,0
7,UCAM Murcia CB,34,40.1,78.3,28.1,64.8,0.433,8.7,25.5,0.342,13.4,18.4,0.728,10.4,19.9,30.3,13.8,8.0,2.1,12.8,22.9,2014,Spanish-ACB,0
8,Casademont Zaragoza,36,40.0,78.1,27.7,59.7,0.464,8.5,22.7,0.376,14.2,18.2,0.78,7.9,23.2,31.1,15.7,6.6,2.2,13.3,20.5,2014,Spanish-ACB,0
9,Joventut Badalona,34,40.4,78.1,27.6,63.8,0.433,9.4,27.8,0.337,13.5,19.0,0.712,10.7,22.0,32.7,14.9,7.1,3.4,13.1,21.1,2014,Spanish-ACB,0
10,Lenovo Tenerife,34,40.3,77.8,28.1,63.7,0.442,8.1,24.1,0.335,13.4,17.4,0.769,9.2,23.7,32.9,15.6,7.5,2.5,14.4,19.6,2014,Spanish-ACB,0
11,Urbas Fuenlabrada,34,40.1,75.9,27.5,59.6,0.461,8.4,21.8,0.388,12.4,16.7,0.746,7.5,19.9,27.5,13.6,6.7,2.7,12.6,20.1,2014,Spanish-ACB,0
12,Movistar Estudiantes,34,40.6,75.6,27.2,60.7,0.448,6.9,20.6,0.334,14.3,18.6,0.772,9.4,21.0,30.4,14.7,7.8,2.2,13.8,20.3,2014,Spanish-ACB,0
13,Gran Canaria,37,40.4,75.4,27.0,61.2,0.441,8.1,25.0,0.322,13.3,16.9,0.786,9.1,25.5,34.6,14.8,5.6,2.6,12.2,18.8,2014,Spanish-ACB,0
14,Monbus Obradoiro,34,40.1,74.9,26.9,59.6,0.451,7.2,22.1,0.324,14.0,18.1,0.775,8.3,21.8,30.1,15.2,6.9,2.4,13.6,22.8,2014,Spanish-ACB,0
15,Coosur Real Betis,37,40.1,74.7,27.5,63.0,0.437,7.3,22.6,0.323,12.4,16.7,0.739,10.5,22.4,32.9,13.1,7.4,3.0,13.6,18.9,2014,Spanish-ACB,0
16,BAXI Manresa,34,40.3,72.5,26.7,62.1,0.43,6.8,20.9,0.325,12.3,15.8,0.78,9.8,21.3,31.1,11.6,5.5,1.9,14.7,21.5,2014,Spanish-ACB,0
17,Acunsa GBC,34,40.0,71.1,25.8,61.4,0.421,9.1,26.1,0.348,10.4,14.1,0.735,8.7,21.9,30.6,12.4,5.6,2.1,10.2,20.0,2014,Spanish-ACB,0
18,Real Valladolid CB,34,40.0,70.4,26.0,63.1,0.412,5.9,19.7,0.3,12.5,16.9,0.742,8.8,18.9,27.6,11.3,7.3,1.9,13.2,22.1,2014,Spanish-ACB,0
