#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Barca,30,40.3,87.9,30.6,62.5,0.489,8.2,23.7,0.344,18.6,23.7,0.785,9.4,23.4,32.8,17.5,8.6,2.3,13.5,19.6,2020,Spanish-ACB
2,Real Madrid,28,40.3,86.8,30.1,63.7,0.473,11.2,28.6,0.391,15.4,19.4,0.792,8.4,26.4,34.7,17.2,6.2,4.3,13.3,18.1,2020,Spanish-ACB
3,Valencia Basket,29,40.5,85.6,30.4,63.7,0.478,10.5,27.3,0.383,14.2,17.5,0.813,10.0,23.2,33.2,16.6,6.6,2.0,12.3,16.4,2020,Spanish-ACB
4,Joventut Badalona,28,40.3,84.3,29.4,66.4,0.443,8.4,26.3,0.32,17.0,20.9,0.812,9.8,22.9,32.8,17.3,6.0,1.4,13.5,21.4,2020,Spanish-ACB
5,Casademont Zaragoza,28,39.8,83.0,30.2,65.1,0.464,9.0,24.0,0.376,13.5,18.7,0.725,9.2,23.6,32.8,16.9,6.7,3.3,12.9,19.1,2020,Spanish-ACB
6,MoraBanc Andorra,28,40.0,82.8,29.4,63.0,0.466,8.8,24.5,0.36,15.2,20.5,0.741,8.9,22.8,31.6,14.8,7.2,2.1,14.6,21.1,2020,Spanish-ACB
7,Baskonia,30,40.7,82.4,29.9,63.8,0.468,8.7,25.4,0.341,14.0,18.8,0.745,9.6,22.2,31.8,15.1,7.8,3.6,13.3,20.4,2020,Spanish-ACB
8,Hereda San Pablo Burgos,29,40.2,81.7,29.4,64.9,0.454,10.8,29.0,0.371,12.0,18.3,0.657,9.4,23.5,33.0,16.1,6.3,3.0,13.0,20.7,2020,Spanish-ACB
9,Gran Canaria,27,40.7,81.5,29.1,63.5,0.459,10.2,27.4,0.372,13.1,17.3,0.758,8.6,23.0,31.6,17.0,5.7,2.1,12.5,20.6,2020,Spanish-ACB
10,Bilbao Basket,28,41.2,80.9,29.8,64.8,0.459,8.4,24.8,0.337,13.0,17.4,0.748,9.2,25.0,34.2,15.7,5.1,3.4,14.4,21.0,2020,Spanish-ACB
11,Lenovo Tenerife,27,40.0,80.9,29.1,61.5,0.473,8.9,25.5,0.35,13.7,17.1,0.803,8.5,21.3,29.7,18.7,6.2,1.0,13.4,19.3,2020,Spanish-ACB
12,UCAM Murcia CB,22,40.4,80.4,28.7,66.4,0.432,9.9,28.0,0.354,13.1,17.4,0.757,10.8,21.7,32.5,13.0,6.6,2.5,14.0,24.0,2020,Spanish-ACB
13,BAXI Manresa,23,40.6,80.1,29.4,64.3,0.457,7.9,23.6,0.333,13.5,18.3,0.735,9.4,22.6,32.0,18.9,5.0,2.6,13.2,20.6,2020,Spanish-ACB
14,Unicaja,28,40.2,80.0,27.7,63.3,0.438,9.4,27.4,0.345,15.2,19.4,0.783,9.8,22.5,32.3,15.0,7.0,2.0,12.9,19.8,2020,Spanish-ACB
15,Monbus Obradoiro,23,41.1,79.7,28.3,63.9,0.444,10.5,29.1,0.361,12.4,16.2,0.769,8.9,20.3,29.1,16.2,6.2,3.3,13.3,20.6,2020,Spanish-ACB
16,Urbas Fuenlabrada,22,40.4,78.5,28.0,62.8,0.445,8.0,24.0,0.333,14.6,21.5,0.679,8.6,22.2,30.8,15.1,6.5,2.5,14.4,21.7,2020,Spanish-ACB
17,Coosur Real Betis,23,40.0,77.7,28.3,62.6,0.452,9.7,25.2,0.383,11.4,15.5,0.739,8.3,22.0,30.3,14.3,6.3,2.1,13.6,20.1,2020,Spanish-ACB
18,Movistar Estudiantes,23,40.0,74.0,27.3,67.2,0.406,8.8,26.9,0.327,10.7,14.3,0.747,9.3,21.3,30.6,14.7,8.2,2.1,12.3,22.3,2020,Spanish-ACB
