#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,MoraBanc Andorra,26,40.0,84.9,31.1,63.2,0.491,9.1,23.5,0.387,13.7,18.0,0.757,8.3,23.5,31.8,16.3,8.2,2.8,10.9,19.3,2014,Spanish-LEB-Gold,1
2,Hereda San Pablo Burgos,35,40.0,79.6,28.9,61.7,0.468,8.1,22.3,0.365,13.1,18.3,0.717,11.3,22.9,34.1,14.4,8.5,2.5,13.5,19.3,2014,Spanish-LEB-Gold,0
3,Oviedo CB,32,40.2,75.8,27.2,60.7,0.447,9.3,25.9,0.359,12.2,17.0,0.716,9.2,21.9,31.1,14.5,7.7,2.1,14.1,19.9,2014,Spanish-LEB-Gold,0
4,Forca Lleida CE,26,40.3,75.8,27.5,60.7,0.454,7.5,21.9,0.342,12.7,16.9,0.748,9.9,21.9,31.8,13.6,8.2,3.3,14.8,21.1,2014,Spanish-LEB-Gold,0
5,CB Clavijo Logrono,28,40.0,75.1,27.2,60.5,0.449,7.7,21.2,0.364,12.5,16.5,0.758,9.3,21.9,31.3,16.0,7.8,2.5,13.2,19.3,2014,Spanish-LEB-Gold,0
6,Rio Breogan,32,40.1,73.8,27.4,61.8,0.444,6.5,20.2,0.324,11.9,15.5,0.772,9.6,22.8,32.4,12.7,9.1,3.1,12.9,18.6,2014,Spanish-LEB-Gold,0
7,CD Maristas Palencia,36,40.0,72.6,25.9,58.9,0.439,7.2,20.5,0.35,13.4,19.2,0.699,9.4,23.3,32.7,13.4,8.1,1.8,13.7,19.0,2014,Spanish-LEB-Gold,0
8,Melilla CB,26,40.0,72.3,26.9,59.1,0.455,7.8,20.9,0.376,10.1,13.8,0.73,8.9,24.5,33.4,12.1,5.2,2.1,14.1,19.3,2014,Spanish-LEB-Gold,0
9,CBP Huesca,29,40.5,71.6,26.2,58.6,0.446,7.0,21.4,0.325,12.0,16.8,0.718,9.9,22.7,32.6,13.2,7.5,2.9,14.6,19.2,2014,Spanish-LEB-Gold,0
10,CB Coruna,28,39.8,71.3,26.1,59.1,0.441,7.1,19.5,0.367,12.0,17.9,0.671,9.8,23.2,33.0,11.6,5.8,3.3,13.3,15.3,2014,Spanish-LEB-Gold,0
11,CB Clinicas Rincon Malaga,28,40.0,69.1,24.8,59.4,0.417,8.0,24.1,0.33,11.1,15.8,0.703,10.6,20.9,31.5,12.3,8.5,3.3,14.9,20.0,2014,Spanish-LEB-Gold,0
12,BC Navarra,26,40.2,68.8,24.7,61.0,0.406,7.9,23.2,0.341,10.4,14.1,0.736,9.2,19.8,29.0,10.8,7.5,1.2,15.3,20.6,2014,Spanish-LEB-Gold,0
13,CB Ourense,26,39.7,68.7,24.6,58.2,0.423,7.3,22.1,0.329,11.7,15.8,0.742,9.8,20.7,30.4,9.2,8.0,1.7,14.6,17.1,2014,Spanish-LEB-Gold,0
14,FC Barcelona II,26,40.0,65.5,24.1,59.1,0.408,6.2,19.8,0.313,11.0,16.3,0.678,10.9,21.7,32.6,10.2,7.1,2.5,16.8,22.4,2014,Spanish-LEB-Gold,0
