#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,CB Coruna,32,39.9,84.7,29.2,62.6,0.467,9.1,25.2,0.359,17.2,23.2,0.742,10.3,24.5,34.8,17.6,7.6,2.5,14.4,23.7,2023,Spanish-LEB-Gold
2,Hereda San Pablo Burgos,32,40.0,83.3,29.4,62.8,0.468,10.0,28.5,0.35,14.6,20.4,0.714,8.4,24.1,32.4,17.6,7.3,1.7,11.3,20.0,2023,Spanish-LEB-Gold
3,MoraBanc Andorra,32,39.8,82.5,29.0,63.0,0.46,9.9,26.5,0.373,14.7,19.6,0.75,9.7,26.5,36.2,16.9,6.1,1.8,11.3,19.1,2023,Spanish-LEB-Gold
4,CD Maristas Palencia,32,39.5,82.3,29.6,64.4,0.459,8.8,25.2,0.349,14.3,19.1,0.751,10.0,22.7,32.7,14.9,7.6,2.2,10.8,20.2,2023,Spanish-LEB-Gold
5,Forca Lleida CE,32,39.8,79.8,27.2,63.5,0.428,10.5,30.1,0.348,14.9,20.8,0.716,10.5,23.9,34.5,15.4,6.7,1.6,12.5,20.5,2023,Spanish-LEB-Gold
6,Movistar Estudiantes,32,39.7,78.3,28.0,64.5,0.434,9.3,27.1,0.345,12.9,16.8,0.771,9.4,23.4,32.8,15.5,6.1,2.4,8.9,20.1,2023,Spanish-LEB-Gold
7,Acunsa GBC,32,40.1,77.7,28.2,61.6,0.458,9.6,27.2,0.354,11.7,15.1,0.771,7.9,23.1,31.0,14.6,7.1,1.4,11.2,20.7,2023,Spanish-LEB-Gold
8,Real Valladolid CB,32,40.1,76.5,26.6,61.1,0.435,8.5,25.3,0.336,14.8,21.2,0.702,8.8,24.1,32.8,11.7,6.1,1.9,10.9,20.7,2023,Spanish-LEB-Gold
9,AB Castello,32,40.0,76.1,26.6,61.4,0.433,8.7,25.0,0.349,14.1,19.6,0.72,8.1,23.9,32.0,15.1,6.7,2.7,12.8,20.1,2023,Spanish-LEB-Gold
10,Melilla CB,32,39.8,75.9,26.7,61.9,0.431,9.1,26.3,0.348,13.4,19.7,0.68,9.8,24.3,34.1,13.8,5.3,1.9,14.6,19.4,2023,Spanish-LEB-Gold
11,CB Lucentum Alicante,32,40.2,75.6,26.9,64.5,0.418,8.6,26.8,0.321,13.1,18.3,0.717,10.8,24.3,35.0,14.3,7.3,2.5,12.8,20.8,2023,Spanish-LEB-Gold
12,Caceres CB,32,39.9,75.6,26.3,61.4,0.428,7.5,24.0,0.312,15.5,21.1,0.734,9.3,21.2,30.5,12.1,6.1,0.9,12.0,21.9,2023,Spanish-LEB-Gold
13,CB Almansa,32,40.5,74.4,26.2,62.4,0.419,8.7,26.1,0.333,13.4,18.5,0.723,8.9,23.4,32.3,14.7,5.4,1.6,11.2,21.3,2023,Spanish-LEB-Gold
14,CD Estela Cantabria,32,39.8,73.7,26.5,61.6,0.43,7.8,24.7,0.318,12.9,17.7,0.728,9.3,21.8,31.1,13.8,7.9,1.9,12.4,21.0,2023,Spanish-LEB-Gold
15,CB Ourense,32,40.1,73.5,26.6,61.9,0.43,9.1,27.2,0.334,11.2,16.0,0.698,7.8,23.0,30.8,15.2,4.6,2.2,11.7,20.1,2023,Spanish-LEB-Gold
16,Iraurgi SB,32,39.8,73.4,26.4,62.7,0.422,8.5,25.9,0.327,12.0,17.8,0.675,9.2,22.2,31.3,10.8,6.1,1.5,13.4,20.2,2023,Spanish-LEB-Gold
17,Albacete Basket,32,39.9,73.3,25.4,62.8,0.405,8.3,26.9,0.309,14.1,20.7,0.681,8.9,23.8,32.8,13.2,6.2,1.0,11.4,20.7,2023,Spanish-LEB-Gold
18,Oviedo CB,32,40.1,69.1,24.6,60.8,0.405,6.7,23.7,0.282,13.2,18.4,0.715,7.8,22.8,30.6,12.4,7.1,2.9,13.6,20.9,2023,Spanish-LEB-Gold
