#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Real Canoe NC,26,40.2,81.7,28.9,67.4,0.429,9.5,27.4,0.346,14.5,22.6,0.641,10.3,26.5,36.8,15.6,7.2,1.7,16.2,20.0,2022,Spanish-LEB-Silver,0
2,CB Tizona Burgos,27,40.4,80.3,28.6,63.3,0.452,8.5,26.8,0.318,14.6,20.2,0.722,10.5,25.3,35.7,15.1,8.5,1.5,15.4,20.5,2022,Spanish-LEB-Silver,0
3,CD Enrique Soler Melilla,30,40.2,80.2,29.1,64.9,0.449,8.9,26.0,0.342,13.1,19.2,0.679,10.5,23.9,34.4,16.3,6.4,2.5,14.1,18.0,2022,Spanish-LEB-Silver,0
4,Valencia 2nd Team,32,40.5,79.2,28.3,66.9,0.422,8.8,28.9,0.306,13.8,20.1,0.687,10.4,24.7,35.1,15.4,10.0,1.8,16.3,21.3,2022,Spanish-LEB-Silver,0
5,CB Zentro Madrid,25,41.0,79.0,29.8,69.0,0.431,7.3,23.4,0.311,12.2,19.2,0.632,11.6,27.4,39.0,16.2,8.3,2.9,18.2,19.9,2022,Spanish-LEB-Silver,0
6,CB Ciudad de Ponferrada,26,40.5,78.5,28.5,67.0,0.426,9.5,30.8,0.309,12.0,17.3,0.697,9.2,24.0,33.1,15.3,9.9,2.0,13.7,19.5,2022,Spanish-LEB-Silver,0
7,BC Navarra,31,40.2,77.8,27.4,64.2,0.426,8.4,26.1,0.32,14.7,19.0,0.776,9.9,23.9,33.8,13.1,7.8,1.9,15.0,20.5,2022,Spanish-LEB-Silver,0
8,CB Mollett,28,40.5,77.8,28.2,68.3,0.413,7.3,25.5,0.284,14.2,20.8,0.683,9.8,23.5,33.2,11.9,9.4,0.9,12.7,21.1,2022,Spanish-LEB-Silver,0
9,Albacete Basket,32,40.4,77.7,27.0,64.6,0.418,8.4,26.3,0.32,15.3,21.4,0.711,8.4,28.0,36.4,12.2,7.8,1.5,12.5,19.3,2022,Spanish-LEB-Silver,0
10,CD Estela Cantabria,28,39.9,77.4,27.4,60.6,0.451,8.3,24.7,0.336,14.4,19.4,0.739,9.0,23.2,32.2,14.9,8.6,1.0,11.7,21.2,2022,Spanish-LEB-Silver,1
11,CB Cartagena,28,40.2,77.2,26.7,60.2,0.444,9.0,26.2,0.342,14.8,20.2,0.731,8.3,24.6,33.0,12.5,6.2,1.3,11.9,15.5,2022,Spanish-LEB-Silver,0
12,Circulo Gijon,28,40.9,76.0,27.0,62.1,0.435,7.4,22.4,0.329,14.6,21.1,0.69,8.8,25.1,33.8,12.5,4.8,2.5,12.6,17.5,2022,Spanish-LEB-Silver,0
13,CB Clavijo Logrono,30,40.2,76.0,27.7,59.6,0.464,8.6,24.9,0.344,12.1,17.2,0.7,7.5,22.4,29.9,17.3,7.4,1.5,14.3,19.8,2022,Spanish-LEB-Silver,0
14,CB Ourense,32,40.2,75.8,26.7,59.3,0.45,8.6,24.3,0.354,13.8,18.0,0.768,7.4,25.9,33.4,16.4,6.7,1.9,12.8,19.6,2022,Spanish-LEB-Silver,0
15,CB Menorca,28,40.0,75.8,26.5,66.3,0.399,9.3,31.3,0.298,13.5,18.9,0.713,13.1,25.3,38.4,13.0,7.6,2.3,13.8,23.5,2022,Spanish-LEB-Silver,0
16,CB Gran Canaria II,28,40.4,75.4,27.1,67.2,0.404,7.9,26.3,0.301,13.1,19.4,0.679,10.1,25.3,35.4,12.0,9.3,1.5,15.1,19.9,2022,Spanish-LEB-Silver,0
17,Sant Antoni Ibiza Feeling,29,40.1,75.0,28.2,66.4,0.424,7.7,27.4,0.279,11.0,17.2,0.639,10.5,25.5,36.0,14.9,8.3,2.0,14.0,22.0,2022,Spanish-LEB-Silver,0
18,CB Zamora Chef,30,40.3,74.9,25.6,59.9,0.427,8.3,24.5,0.341,15.4,20.3,0.759,8.4,24.5,32.9,11.0,6.9,1.7,13.9,19.5,2022,Spanish-LEB-Silver,0
19,CD Udea Algeciras,28,40.2,74.4,27.2,64.8,0.42,6.4,22.5,0.286,13.6,19.8,0.69,10.4,22.8,33.2,12.3,6.7,1.6,15.2,20.3,2022,Spanish-LEB-Silver,0
20,Zornotza ST,31,40.1,73.4,25.1,60.4,0.416,8.0,25.8,0.31,15.2,21.3,0.715,8.6,24.0,32.5,14.9,7.2,0.8,12.8,19.6,2022,Spanish-LEB-Silver,0
21,CB Villarrobledo,25,40.0,73.2,26.5,59.2,0.447,7.9,24.6,0.32,12.4,17.3,0.714,6.9,23.1,30.0,14.1,7.0,0.5,14.0,19.2,2022,Spanish-LEB-Silver,0
22,CB Cornella,26,40.4,73.2,26.9,63.3,0.425,6.7,23.5,0.287,12.7,18.3,0.693,9.1,25.3,34.4,13.0,7.4,1.3,14.8,19.3,2022,Spanish-LEB-Silver,0
23,CB Benicarlo,28,40.4,73.1,25.9,61.6,0.421,7.6,25.2,0.304,13.6,19.3,0.709,8.4,26.5,34.9,14.3,8.8,2.7,15.0,17.3,2022,Spanish-LEB-Silver,0
24,CB Moron,26,40.1,72.5,26.5,62.8,0.422,7.2,24.2,0.299,12.3,18.0,0.682,10.2,23.8,34.0,11.3,7.8,0.9,13.3,20.1,2022,Spanish-LEB-Silver,0
25,CP La Roda,28,40.4,72.3,26.4,62.0,0.425,6.8,22.1,0.309,12.8,18.1,0.708,8.1,24.1,32.2,12.5,7.6,1.9,13.1,18.5,2022,Spanish-LEB-Silver,0
26,CB Carbajosa,26,40.4,72.1,25.4,64.0,0.397,8.0,26.1,0.306,13.3,18.3,0.723,9.7,21.0,30.6,11.1,8.3,1.3,14.2,19.4,2022,Spanish-LEB-Silver,0
27,Safir Fruits Alginet,28,40.1,70.5,26.2,66.5,0.394,7.5,27.0,0.277,10.6,16.0,0.663,9.7,28.4,38.1,13.3,6.9,2.6,15.0,19.6,2022,Spanish-LEB-Silver,0
28,CB Marbella,26,40.0,67.8,24.9,61.7,0.404,7.7,25.0,0.308,10.3,16.8,0.61,8.6,23.3,31.9,12.5,6.5,1.0,13.5,20.0,2022,Spanish-LEB-Silver,0
