#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,CB Tizona Burgos,28,39.9,86.9,30.6,66.4,0.461,9.8,28.0,0.351,15.9,21.1,0.752,11.5,26.0,37.4,18.3,9.3,2.2,14.5,22.7,2023,Spanish-LEB-Silver
2,CB Prat,30,39.7,83.6,28.8,64.4,0.447,9.3,26.8,0.346,16.8,24.7,0.679,10.2,25.0,35.3,15.5,9.9,2.3,12.1,21.0,2023,Spanish-LEB-Silver
3,CB Ciudad de Ponferrada,30,40.5,81.4,29.7,69.8,0.426,9.2,29.4,0.311,12.8,20.4,0.627,10.9,23.2,34.1,14.2,8.6,1.7,12.1,21.1,2023,Spanish-LEB-Silver
4,BC Navarra,30,39.9,80.6,28.9,67.5,0.428,9.5,30.9,0.309,13.2,18.4,0.718,9.1,23.1,32.2,14.3,9.3,1.1,13.4,22.4,2023,Spanish-LEB-Silver
5,CB Bahia San Agustin Palma,30,39.9,80.4,29.3,66.2,0.442,6.8,20.6,0.331,14.9,21.6,0.691,11.7,25.4,37.1,16.4,8.2,2.0,15.5,20.1,2023,Spanish-LEB-Silver
6,CB Moron,26,39.9,80.3,28.0,62.0,0.452,6.8,21.8,0.311,17.5,24.6,0.713,9.4,25.0,34.4,12.8,6.7,1.0,16.0,19.7,2023,Spanish-LEB-Silver
7,Real Canoe NC,28,39.6,79.8,28.1,68.3,0.412,10.3,29.9,0.343,13.3,20.7,0.644,8.8,25.3,34.1,15.8,7.7,1.5,14.2,21.1,2023,Spanish-LEB-Silver
8,Sant Antoni Ibiza Feeling,28,39.9,79.7,28.0,65.3,0.429,9.0,28.3,0.319,14.6,20.6,0.708,10.6,23.5,34.1,16.4,8.0,2.4,12.0,21.7,2023,Spanish-LEB-Silver
9,Zornotza ST,30,40.0,78.6,27.5,65.3,0.422,7.0,25.0,0.281,16.5,24.5,0.674,11.3,26.2,37.5,15.4,8.0,2.2,13.7,20.7,2023,Spanish-LEB-Silver
10,CB Cornella,28,39.8,77.9,28.0,61.4,0.455,7.8,24.1,0.321,14.2,19.5,0.73,9.1,24.3,33.4,13.5,7.7,2.1,14.7,23.6,2023,Spanish-LEB-Silver
11,Grupo Eleyco Baskonia,26,39.9,77.9,27.7,62.5,0.443,8.2,25.6,0.32,14.4,21.0,0.686,8.8,26.1,35.0,13.2,6.0,2.2,14.8,20.8,2023,Spanish-LEB-Silver
12,CD Udea Algeciras,28,39.9,77.1,28.3,65.7,0.43,7.8,25.8,0.301,12.8,18.6,0.686,8.8,25.8,34.6,17.4,8.3,2.5,13.4,19.8,2023,Spanish-LEB-Silver
13,CB Menorca,30,39.8,76.1,27.1,61.4,0.442,8.6,25.6,0.335,13.3,18.5,0.717,11.6,23.4,35.0,11.1,7.0,2.2,12.9,22.7,2023,Spanish-LEB-Silver
14,CB Benicarlo,28,39.6,75.5,27.1,62.5,0.433,6.5,21.6,0.3,14.9,22.0,0.678,10.7,27.0,37.8,14.0,7.1,2.8,13.6,15.9,2023,Spanish-LEB-Silver
15,Safir Fruits Alginet,28,40.1,75.1,26.8,66.1,0.405,8.7,26.2,0.332,12.9,18.5,0.697,9.9,25.8,35.6,12.8,6.3,1.6,14.5,19.7,2023,Spanish-LEB-Silver
16,CB Clavijo Logrono,30,40.7,74.8,26.6,61.5,0.433,7.1,25.3,0.282,14.4,20.6,0.701,10.8,23.9,34.7,13.9,7.8,2.7,13.9,19.0,2023,Spanish-LEB-Silver
17,CB L'Hospitalet,28,40.1,74.6,25.6,61.6,0.415,7.3,23.5,0.31,16.2,22.0,0.738,9.1,22.8,31.9,13.4,7.6,1.6,14.6,22.3,2023,Spanish-LEB-Silver
18,CP La Roda,28,40.1,74.6,26.4,61.9,0.426,7.6,23.9,0.318,14.2,21.7,0.655,7.5,23.6,31.1,13.3,9.2,2.1,14.6,19.8,2023,Spanish-LEB-Silver
19,Baloncesto Talavera,28,39.9,74.5,27.1,64.1,0.423,8.6,25.1,0.341,11.7,17.8,0.657,9.6,23.8,33.4,12.9,7.8,0.9,15.0,22.5,2023,Spanish-LEB-Silver
20,Queseria La Antigua CBTormes,26,39.8,74.4,25.9,62.8,0.412,8.6,26.5,0.326,14.0,21.7,0.644,10.1,23.3,33.5,13.1,6.5,2.1,15.2,22.1,2023,Spanish-LEB-Silver
21,CB LHorta Godella,28,40.3,74.3,26.6,67.6,0.394,8.3,28.8,0.289,12.7,17.6,0.719,11.1,24.2,35.3,15.4,9.4,1.7,15.0,23.0,2023,Spanish-LEB-Silver
22,CB Zamora Chef,30,39.6,74.1,25.8,60.5,0.426,9.1,27.1,0.335,13.5,19.4,0.698,8.6,26.2,34.8,12.9,6.6,1.3,14.9,21.4,2023,Spanish-LEB-Silver
23,CB Gran Canaria II,26,40.1,74.0,26.0,62.4,0.416,7.8,24.4,0.321,14.2,21.8,0.65,9.3,23.2,32.5,14.6,8.3,2.2,13.1,20.4,2023,Spanish-LEB-Silver
24,CD Enrique Soler Melilla,26,39.7,73.8,27.2,64.6,0.421,7.5,25.5,0.293,11.8,18.1,0.654,10.7,25.4,36.1,13.3,7.5,1.8,15.5,19.1,2023,Spanish-LEB-Silver
25,CB Mollett,26,40.2,73.0,25.5,63.8,0.399,6.8,23.8,0.288,15.2,22.2,0.685,9.2,24.3,33.6,13.2,7.7,1.4,13.4,19.1,2023,Spanish-LEB-Silver
