#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Jamtland Basket,47,40.2,92.4,33.8,67.3,0.503,9.9,24.6,0.4,15.0,19.4,0.772,7.7,26.0,33.7,18.8,6.2,3.0,13.1,18.4,2019,Swedish-Basketligan,0
2,Boras Basket,51,40.2,91.4,32.3,66.7,0.485,11.9,31.5,0.378,14.9,18.9,0.79,8.4,24.3,32.7,18.1,5.6,2.3,10.4,18.8,2019,Swedish-Basketligan,0
3,BC LF Lulea,41,40.0,86.2,29.8,63.6,0.468,11.0,28.7,0.385,15.6,20.0,0.78,8.6,23.7,32.4,17.7,7.5,4.0,14.0,18.6,2019,Swedish-Basketligan,0
4,Sodertalje,50,40.3,85.4,30.9,62.9,0.491,8.1,20.6,0.394,15.5,20.3,0.766,7.8,25.0,32.8,17.3,7.0,2.5,11.9,20.7,2019,Swedish-Basketligan,1
5,UMEA Bskt,39,40.0,82.9,31.2,65.5,0.477,7.4,20.9,0.354,13.0,17.3,0.753,8.1,23.9,31.9,16.1,7.2,1.4,15.3,22.5,2019,Swedish-Basketligan,0
6,Norrkoping,45,40.4,82.7,29.8,63.8,0.466,7.7,22.4,0.345,15.5,20.9,0.741,9.9,25.4,35.3,17.0,6.7,2.9,12.6,21.5,2019,Swedish-Basketligan,0
7,KFUM Nassjo Basket,38,40.3,78.7,29.0,64.8,0.447,8.6,24.4,0.353,12.2,16.7,0.729,8.5,21.6,30.1,15.8,7.8,2.1,12.5,22.3,2019,Swedish-Basketligan,0
8,Wetterbygden Stars Huskvarna,40,40.1,78.1,29.0,64.9,0.447,8.3,24.1,0.344,11.8,18.0,0.656,9.8,21.7,31.5,15.9,8.8,2.8,13.6,20.2,2019,Swedish-Basketligan,0
9,Koping Stars,36,40.1,77.9,29.6,66.1,0.448,6.7,20.2,0.33,12.0,18.3,0.658,10.8,24.0,34.8,17.1,6.3,3.2,15.3,19.4,2019,Swedish-Basketligan,0
10,Uppsala Basket,35,40.1,77.1,28.3,63.3,0.447,7.4,21.6,0.342,13.0,18.7,0.696,8.1,22.6,30.7,13.3,5.8,1.6,16.7,19.3,2019,Swedish-Basketligan,0
