#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,UMEA Bskt,37,40.1,88.3,31.1,68.8,0.453,10.5,29.8,0.354,15.5,20.0,0.777,10.1,24.8,34.9,16.1,6.5,2.9,10.4,18.4,2023,Swedish-Basketligan
2,Boras Basket,43,40.0,86.9,30.4,66.1,0.46,12.3,32.1,0.385,13.7,18.2,0.754,9.1,26.6,35.8,20.9,5.8,2.1,11.0,19.3,2023,Swedish-Basketligan
3,Norrkoping,46,40.0,85.5,29.6,65.8,0.449,12.2,33.5,0.364,14.2,18.1,0.783,9.0,27.4,36.5,18.0,6.7,3.8,11.6,18.3,2023,Swedish-Basketligan
4,KFUM Nassjo Basket,33,40.2,84.1,30.7,66.6,0.461,9.5,28.1,0.338,13.2,17.8,0.743,8.4,24.7,33.1,16.1,7.0,2.0,12.8,20.4,2023,Swedish-Basketligan
5,BC LF Lulea,33,40.1,82.8,29.8,63.4,0.47,9.5,26.7,0.356,13.8,18.7,0.736,7.2,25.3,32.5,16.1,6.6,3.3,14.1,18.2,2023,Swedish-Basketligan
6,Jamtland Basket,41,40.0,81.4,29.3,61.6,0.475,7.9,21.7,0.365,15.0,18.7,0.801,8.7,24.9,33.6,16.2,6.6,2.6,11.6,20.9,2023,Swedish-Basketligan
7,Sodertalje,33,40.2,80.5,28.3,65.5,0.432,9.1,27.4,0.331,14.8,19.4,0.764,7.8,23.1,30.8,14.0,7.8,1.9,11.7,20.3,2023,Swedish-Basketligan
8,Uppsala Basket,30,40.1,79.3,27.2,64.9,0.419,9.8,29.9,0.329,15.1,19.7,0.765,8.5,23.7,32.2,14.7,6.5,3.3,12.1,20.4,2023,Swedish-Basketligan
9,Koping Stars,34,40.2,77.6,28.4,64.9,0.439,7.8,23.9,0.326,12.9,17.9,0.719,9.6,24.9,34.5,14.1,6.0,2.4,13.1,18.7,2023,Swedish-Basketligan
10,KFUM Kalmar,30,39.9,72.2,26.9,61.1,0.439,7.4,22.5,0.33,11.0,14.9,0.737,7.7,24.0,31.7,17.5,5.6,1.7,16.3,18.6,2023,Swedish-Basketligan
11,KFUM Fryshuset Basket,30,39.9,65.2,24.9,63.7,0.391,5.8,21.4,0.272,9.7,16.0,0.605,9.5,24.1,33.6,13.6,6.4,2.0,16.6,16.8,2023,Swedish-Basketligan
