#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Lugano Tigers,34,40.4,87.6,31.6,69.3,0.456,9.1,26.6,0.344,15.2,20.6,0.741,12.5,24.2,36.7,19.4,8.6,2.1,10.7,16.9,2018,Swiss-LNA,0
2,Fribourg Olympic,38,40.2,85.6,30.8,64.8,0.476,7.6,22.3,0.338,16.3,21.5,0.758,11.1,24.2,35.3,17.4,9.0,2.2,11.0,18.4,2018,Swiss-LNA,1
3,BC Boncourt Red Team,30,40.4,81.5,28.9,62.4,0.463,7.1,19.9,0.355,16.6,22.3,0.743,9.2,26.0,35.2,11.0,5.0,2.4,12.2,16.6,2018,Swiss-LNA,0
4,Les Lions de Geneve,39,40.1,81.2,29.8,60.9,0.489,8.7,23.0,0.378,12.8,18.6,0.691,8.6,23.8,32.4,18.9,6.5,2.3,12.3,18.9,2018,Swiss-LNA,0
5,Union Neuchatel Basket,34,40.1,79.5,29.3,60.8,0.482,6.5,18.1,0.36,14.3,19.3,0.742,8.3,23.7,31.9,17.9,6.4,2.1,13.9,20.2,2018,Swiss-LNA,0
6,Pully Basket,30,40.3,77.6,28.6,63.4,0.452,6.4,19.0,0.339,13.9,18.5,0.751,8.7,21.8,30.5,14.6,8.0,2.7,13.2,20.3,2018,Swiss-LNA,0
7,Starwings Basket Regio Basel,27,40.1,76.6,28.1,60.7,0.462,8.2,24.6,0.333,12.2,16.9,0.724,7.8,23.6,31.4,17.8,4.8,1.1,12.5,18.0,2018,Swiss-LNA,0
8,BBC Monthey,30,39.9,74.8,28.0,60.4,0.464,6.7,19.6,0.34,12.0,16.9,0.712,9.5,24.6,34.0,15.1,6.6,1.3,12.7,19.8,2018,Swiss-LNA,0
9,SAM Basket Massagno,31,40.1,74.2,28.1,63.2,0.445,6.8,19.9,0.34,11.2,15.9,0.7,11.5,21.3,32.7,15.2,7.7,1.6,12.5,18.4,2018,Swiss-LNA,0
10,Swiss Central Basket Luzern,27,40.1,72.7,26.3,62.3,0.421,7.8,25.0,0.311,12.4,18.2,0.682,9.6,20.2,29.8,12.3,6.6,2.0,12.6,18.5,2018,Swiss-LNA,0
11,BC Winterthur,27,40.1,70.8,27.0,64.0,0.422,7.0,21.5,0.324,9.8,13.7,0.718,8.2,21.2,29.4,11.4,4.9,1.4,12.5,17.4,2018,Swiss-LNA,0
12,Riviera Basket,27,39.9,65.1,24.6,59.2,0.415,5.5,17.9,0.308,10.4,16.3,0.642,9.4,20.2,29.6,11.7,6.9,1.9,14.7,19.9,2018,Swiss-LNA,0
