#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Fribourg Olympic,20,40.0,90.3,34.6,66.5,0.52,6.0,20.6,0.292,15.2,21.6,0.705,9.7,25.3,35.0,21.3,11.6,2.3,13.2,18.9,2020,Swiss-LNA
2,SAM Basket Massagno,20,40.5,89.1,33.5,67.4,0.497,8.8,24.0,0.365,13.3,18.1,0.735,9.1,23.7,32.7,18.1,6.5,3.8,9.5,20.1,2020,Swiss-LNA
3,Les Lions de Geneve,20,40.0,85.3,31.2,65.1,0.478,9.4,26.4,0.357,13.6,19.2,0.706,11.6,23.3,34.8,20.4,7.1,2.0,11.6,20.6,2020,Swiss-LNA
4,BC Boncourt Red Team,20,40.0,83.2,30.8,69.5,0.443,9.0,25.9,0.346,12.7,17.8,0.715,12.2,23.7,35.9,14.3,7.0,2.5,14.7,20.1,2020,Swiss-LNA
5,Union Neuchatel Basket,20,40.3,82.0,30.5,65.9,0.462,6.5,18.7,0.348,14.6,21.2,0.688,11.3,24.1,35.3,17.6,7.5,2.8,11.1,20.8,2020,Swiss-LNA
6,Lugano Tigers,20,40.3,78.0,28.5,64.8,0.439,6.8,21.8,0.31,14.3,20.4,0.701,10.8,24.6,35.4,15.0,5.9,1.4,11.1,17.6,2020,Swiss-LNA
7,BBC Monthey,20,40.0,76.5,28.5,63.2,0.45,7.3,22.5,0.322,12.4,17.5,0.708,9.6,24.5,34.1,15.0,7.4,2.9,13.6,19.9,2020,Swiss-LNA
8,Riviera Basket,20,40.0,76.5,27.3,61.4,0.445,6.8,22.2,0.307,15.1,21.1,0.715,10.0,23.9,33.9,17.3,6.1,1.7,15.4,20.5,2020,Swiss-LNA
9,Swiss Central Basket Luzern,20,40.0,75.7,26.6,60.1,0.442,6.9,20.9,0.328,15.7,22.4,0.702,7.8,21.8,29.6,13.3,5.9,1.2,16.0,21.0,2020,Swiss-LNA
10,BBC Nyon,20,40.0,73.6,26.6,61.0,0.435,6.1,20.1,0.303,14.4,21.0,0.685,9.4,22.5,31.9,17.4,6.0,1.7,17.2,18.6,2020,Swiss-LNA
11,BBC Lausanne,20,40.0,73.5,26.4,64.0,0.413,6.3,19.9,0.315,14.5,22.3,0.648,9.3,20.6,29.9,12.2,7.8,2.4,10.9,21.6,2020,Swiss-LNA
12,Starwings Basket Regio Basel,20,40.0,71.2,27.1,59.0,0.458,6.4,20.2,0.314,10.7,14.3,0.751,8.3,22.0,30.2,15.6,5.1,1.6,12.3,17.8,2020,Swiss-LNA
