#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Fenerbahce Beko,39,40.2,85.6,30.6,58.9,0.52,9.9,24.2,0.407,14.4,18.5,0.779,7.7,22.7,30.4,20.3,6.9,3.2,12.7,20.4,2017,Turkish-BSL,1
2,Anadolu Efes,37,40.1,83.2,31.3,64.8,0.484,8.8,22.9,0.384,11.8,17.1,0.689,9.8,23.4,33.2,20.1,8.1,3.4,12.7,19.9,2017,Turkish-BSL,0
3,Teksut Bandirma,32,40.6,82.5,30.1,62.1,0.484,9.3,25.1,0.369,13.1,19.7,0.666,10.3,22.3,32.5,18.5,7.5,2.3,13.9,19.4,2017,Turkish-BSL,0
4,Darussafaka Basketbol Istanbul,35,40.1,82.2,29.3,61.7,0.476,9.5,25.6,0.371,14.0,18.6,0.754,9.3,23.7,33.0,17.4,5.7,1.9,12.3,20.3,2017,Turkish-BSL,0
5,Tofas SC,32,41.1,81.7,29.7,60.1,0.494,8.8,23.9,0.369,13.5,19.6,0.689,8.1,21.2,29.3,20.8,7.5,1.5,14.0,20.7,2017,Turkish-BSL,0
6,Besiktas Icrypex,40,40.4,81.7,30.3,64.3,0.471,8.2,22.5,0.362,13.0,18.2,0.718,10.0,24.5,34.5,18.0,6.9,2.6,12.4,20.2,2017,Turkish-BSL,0
7,Usak Sportlif,30,40.3,81.0,28.3,63.2,0.447,8.0,23.4,0.343,16.4,22.8,0.721,10.1,23.0,33.0,17.0,6.4,2.2,13.5,21.4,2017,Turkish-BSL,0
8,Pinar Karsiyaka,30,41.2,80.2,29.5,63.2,0.466,8.0,22.9,0.348,13.3,17.5,0.758,8.7,22.1,30.8,17.2,7.5,2.2,13.8,20.4,2017,Turkish-BSL,0
9,Trabzonspor,30,40.7,79.9,29.8,63.1,0.472,6.7,21.7,0.307,13.7,17.7,0.772,8.1,21.6,29.7,19.3,7.2,2.8,14.9,18.7,2017,Turkish-BSL,0
10,Royal Hali Gaziantep,32,40.1,79.8,28.7,63.6,0.452,10.1,29.4,0.345,12.3,16.2,0.759,8.7,24.0,32.6,18.4,7.4,1.8,14.2,21.8,2017,Turkish-BSL,0
11,Yesilgiresun Belediye,30,40.8,79.4,28.6,64.0,0.447,8.9,26.3,0.339,13.2,18.2,0.728,9.8,23.1,32.9,15.2,7.3,2.0,15.4,21.7,2017,Turkish-BSL,0
12,Galatasaray,33,40.0,79.0,29.2,60.9,0.48,9.1,23.1,0.395,11.4,15.6,0.729,8.2,21.9,30.1,18.3,6.9,3.6,12.7,18.7,2017,Turkish-BSL,0
13,Best Balikesir Basketbol Kulubu,30,40.5,78.2,26.9,59.5,0.452,6.8,20.4,0.333,17.6,23.4,0.754,9.3,20.3,29.6,14.8,6.8,1.7,15.4,20.8,2017,Turkish-BSL,0
14,Demir Insaat Buyukcekmece,30,40.3,77.4,28.2,59.9,0.471,7.1,21.1,0.337,13.9,19.3,0.719,7.6,22.3,29.8,16.7,6.4,1.6,14.7,19.8,2017,Turkish-BSL,0
15,Istanbul Buyuksehir Belediyesi,30,40.3,76.8,28.6,62.5,0.458,8.1,24.1,0.338,11.5,16.2,0.709,8.9,22.1,30.9,17.8,7.7,1.6,15.4,20.8,2017,Turkish-BSL,0
16,Aykon TED Kolejliler Ankara,30,40.2,70.6,25.8,63.0,0.409,5.5,18.5,0.299,13.4,18.5,0.725,8.7,21.4,30.1,13.0,6.6,1.9,14.6,19.4,2017,Turkish-BSL,0
