#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Pinar Karsiyaka,28,40.9,89.6,31.6,66.6,0.475,10.1,28.2,0.357,16.3,22.1,0.739,11.5,21.8,33.3,19.8,7.5,1.8,11.4,21.9,2023,Turkish-BSL
2,Anadolu Efes,27,40.6,87.4,31.0,61.9,0.501,11.3,27.5,0.412,14.1,17.6,0.804,7.4,24.1,31.4,19.6,6.0,3.2,10.9,16.7,2023,Turkish-BSL
3,Turk Telekom,28,40.4,86.8,31.2,61.5,0.507,10.6,26.7,0.399,13.8,19.4,0.71,8.3,24.6,32.9,21.3,6.5,3.7,11.3,19.2,2023,Turkish-BSL
4,Fenerbahce Beko,26,40.2,86.2,30.1,63.8,0.472,11.2,30.0,0.374,14.7,19.6,0.751,9.9,23.1,33.0,19.6,6.7,1.8,11.7,19.3,2023,Turkish-BSL
5,Bursaspor,28,40.0,83.9,30.3,63.8,0.476,10.2,27.0,0.376,13.0,18.1,0.72,9.5,21.1,30.6,19.9,7.6,2.3,13.6,20.9,2023,Turkish-BSL
6,Darussafaka Basketbol Istanbul,28,40.7,82.7,28.7,64.5,0.445,9.4,27.0,0.35,15.8,21.2,0.746,10.4,22.6,33.0,19.9,7.9,2.1,12.9,21.8,2023,Turkish-BSL
7,Tofas SC,28,40.1,82.3,30.5,63.1,0.482,9.2,25.0,0.367,12.1,15.9,0.766,9.3,23.3,32.6,19.2,5.7,2.8,12.9,20.7,2023,Turkish-BSL
8,Besiktas Icrypex,28,40.1,81.0,28.7,62.1,0.462,8.9,25.0,0.355,14.6,19.6,0.747,8.5,23.5,32.0,18.0,6.5,1.1,13.4,20.0,2023,Turkish-BSL
9,Galatasaray,28,40.4,80.7,28.4,64.3,0.441,10.8,30.0,0.36,13.1,17.0,0.775,9.6,22.2,31.8,18.6,6.8,1.8,11.6,18.6,2023,Turkish-BSL
10,Merkezefendi Belediyesi Denizli Basket,28,41.1,80.7,28.1,63.2,0.445,9.3,27.0,0.343,15.1,20.9,0.724,9.4,24.3,33.7,17.6,5.1,3.2,11.8,20.6,2023,Turkish-BSL
11,Demir Insaat Buyukcekmece,28,40.0,80.0,29.7,62.4,0.475,7.8,21.8,0.355,12.9,16.9,0.763,8.5,20.8,29.3,19.5,7.7,1.9,13.3,20.1,2023,Turkish-BSL
12,Socar Petkimspor,27,40.2,79.0,29.4,63.4,0.464,9.1,26.5,0.343,10.9,14.9,0.734,9.4,21.7,31.1,19.2,6.3,2.3,11.6,19.3,2023,Turkish-BSL
13,Torku Konyaspor,28,40.4,78.5,28.6,61.7,0.464,8.6,24.2,0.356,12.6,17.6,0.72,8.2,22.3,30.5,19.8,5.8,1.8,11.9,20.9,2023,Turkish-BSL
14,Manisa Buyuksehir Belediye,28,40.1,77.7,26.9,60.8,0.443,9.2,25.0,0.369,14.6,20.2,0.724,9.0,22.6,31.6,16.5,5.6,1.6,13.8,20.5,2023,Turkish-BSL
15,Bahcesehir Koleji,28,40.5,77.1,26.5,57.9,0.457,10.0,26.2,0.381,14.2,18.3,0.776,7.8,21.5,29.2,17.4,5.8,2.9,12.5,18.4,2023,Turkish-BSL
16,Royal Hali Gaziantep,28,40.0,75.8,28.0,60.5,0.462,9.5,27.3,0.347,10.4,14.6,0.716,7.7,21.0,28.7,17.2,6.0,2.3,11.5,20.1,2023,Turkish-BSL
