#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Maliye Milli Piyango,36,40.3,83.9,29.6,63.5,0.467,6.0,18.6,0.324,18.6,25.8,0.722,8.8,24.8,33.6,16.2,7.5,1.7,15.2,22.8,2013,Turkish-TBL,0
2,Darussafaka Basketbol Istanbul,37,40.3,78.8,28.9,61.1,0.473,7.4,21.0,0.353,13.5,19.3,0.703,8.5,23.7,32.2,15.2,5.9,2.3,13.5,23.4,2013,Turkish-TBL,0
3,Torku Konyaspor,35,40.3,78.7,28.7,60.1,0.478,7.5,21.5,0.346,13.9,21.5,0.644,9.8,24.5,34.3,16.1,7.4,2.0,13.8,20.3,2013,Turkish-TBL,0
4,Yesilgiresun Belediye,40,40.5,77.6,25.9,61.0,0.424,10.5,31.3,0.336,15.4,20.9,0.734,9.4,23.4,32.8,15.6,6.6,2.2,13.6,22.2,2013,Turkish-TBL,0
5,Usak Sportlif,40,40.0,77.5,25.8,58.6,0.44,7.2,21.4,0.335,18.8,28.1,0.667,9.5,25.2,34.7,14.5,7.3,5.1,15.7,24.5,2013,Turkish-TBL,0
6,Final Spor Genclik,34,40.2,77.2,27.3,61.6,0.443,6.6,21.5,0.31,16.0,22.8,0.703,9.6,24.8,34.4,15.4,6.1,1.7,14.4,22.2,2013,Turkish-TBL,0
7,Istanbul Buyuksehir Belediyesi,34,40.0,75.8,28.3,64.6,0.438,6.9,22.0,0.316,12.3,19.0,0.647,10.2,24.4,34.6,14.9,6.9,1.9,13.9,22.4,2013,Turkish-TBL,0
8,Pi Okullari Ankara,34,40.1,75.7,27.1,61.4,0.441,7.2,22.4,0.321,14.4,22.1,0.651,8.4,25.6,34.0,14.0,5.9,1.4,14.3,19.8,2013,Turkish-TBL,1
9,Akhisar Belediye,38,40.3,75.3,26.9,61.8,0.435,7.3,22.0,0.332,14.1,22.1,0.639,10.4,25.2,35.5,14.6,7.1,2.1,14.0,21.8,2013,Turkish-TBL,0
10,Vestelspor Manisa,34,40.4,75.2,26.9,61.4,0.438,6.2,19.9,0.311,15.3,24.0,0.637,9.0,26.4,35.4,15.2,5.9,2.8,13.6,22.4,2013,Turkish-TBL,0
11,Trabzonspor,39,40.4,75.2,26.8,59.4,0.451,6.8,21.0,0.324,14.8,21.1,0.701,8.5,23.8,32.4,15.6,7.3,1.7,12.8,24.1,2013,Turkish-TBL,0
12,Gelisim Koleji,34,40.1,73.9,26.4,61.0,0.433,6.1,21.1,0.291,14.9,22.3,0.671,9.2,23.6,32.8,14.8,8.2,0.9,14.5,21.4,2013,Turkish-TBL,0
13,Sigortam.net ITU Bakiroy,34,40.1,73.6,26.9,61.1,0.44,4.5,16.8,0.268,15.4,23.4,0.656,8.9,23.9,32.8,13.1,6.7,2.8,13.1,21.9,2013,Turkish-TBL,0
14,Bandirma Kirmizi,34,40.0,71.4,25.3,58.9,0.43,4.1,15.1,0.275,16.6,25.1,0.663,9.8,24.6,34.4,11.8,7.6,3.3,15.2,21.1,2013,Turkish-TBL,0
15,Baskent Genclik Ankara,33,40.1,70.7,24.7,61.5,0.401,5.4,19.5,0.278,16.0,24.2,0.661,10.6,23.2,33.8,12.5,6.8,2.0,13.8,20.3,2013,Turkish-TBL,0
16,Best Balikesir Basketbol Kulubu,37,40.0,69.1,24.7,61.7,0.4,7.2,23.4,0.31,12.5,20.6,0.606,12.0,25.3,37.3,13.7,6.9,2.2,15.3,23.2,2013,Turkish-TBL,0
17,Izmir Buyuksehir Belediyesi,34,39.9,67.5,24.7,63.8,0.387,5.2,20.2,0.257,12.9,20.9,0.617,10.4,20.9,31.3,13.4,7.6,1.5,14.5,24.2,2013,Turkish-TBL,0
18,Istanbulspor,33,40.3,65.6,23.2,60.5,0.383,6.8,21.9,0.31,12.5,18.5,0.677,9.9,23.3,33.3,11.6,5.6,1.8,15.2,21.1,2013,Turkish-TBL,0
