#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Ferro-ZNTU Zaporozhye,51,40.3,86.4,30.9,67.5,0.457,8.5,23.9,0.355,16.1,22.5,0.718,9.8,25.3,35.0,19.8,8.9,2.6,12.2,19.1,2013,Ukrainian-Superleague,0
2,BC Budivelnik,55,40.3,82.5,29.4,65.8,0.448,8.3,23.8,0.349,15.4,21.2,0.727,10.7,24.7,35.4,17.5,7.2,3.9,11.2,21.1,2013,Ukrainian-Superleague,1
3,Azovmash Mariupol,55,40.5,82.2,29.3,63.8,0.459,7.4,21.8,0.338,16.3,21.8,0.746,9.4,23.6,33.0,17.3,5.8,3.4,12.1,20.9,2013,Ukrainian-Superleague,0
4,BC Donetsk,44,40.7,80.4,30.9,63.4,0.488,5.2,15.8,0.328,13.3,18.8,0.711,10.7,24.2,34.9,19.3,7.6,3.6,13.5,22.6,2013,Ukrainian-Superleague,0
5,BC Goverla,44,40.3,79.3,29.8,64.6,0.462,5.2,17.7,0.293,14.5,20.8,0.699,10.3,23.1,33.3,17.4,6.9,2.9,12.3,20.0,2013,Ukrainian-Superleague,0
6,BC Khimik,43,40.3,78.8,28.3,65.8,0.43,6.6,21.5,0.306,15.7,22.1,0.708,12.2,23.0,35.2,17.1,7.7,4.2,13.4,24.7,2013,Ukrainian-Superleague,0
7,SK Cherkasy Monkeys,44,40.4,78.8,27.7,60.9,0.455,7.6,20.9,0.363,15.7,22.0,0.715,9.0,25.1,34.1,15.8,6.2,4.0,12.1,21.8,2013,Ukrainian-Superleague,0
8,Politekhnika-Halychyna,50,40.0,77.3,27.2,60.8,0.447,6.6,18.8,0.351,16.3,21.9,0.745,10.3,24.6,34.9,17.1,6.7,1.6,13.6,22.4,2013,Ukrainian-Superleague,0
9,BC Odessa,39,40.0,76.7,28.2,62.7,0.45,5.5,17.8,0.307,14.8,21.6,0.685,9.1,22.6,31.6,16.6,6.7,3.5,13.3,22.4,2013,Ukrainian-Superleague,0
10,Kryvbasbasket-Lux Kryvyi Rih,39,40.2,75.1,27.5,64.7,0.425,7.3,21.8,0.333,12.9,18.8,0.689,10.3,24.1,34.4,15.2,8.0,3.5,14.4,23.2,2013,Ukrainian-Superleague,0
11,MBC Mykolaiv,39,40.5,74.6,27.0,62.6,0.431,7.2,22.7,0.318,13.5,19.1,0.706,9.0,22.5,31.5,14.9,7.9,4.0,12.6,21.6,2013,Ukrainian-Superleague,0
12,Dnipro Dnipropetrovsk,39,40.5,74.6,27.4,63.1,0.435,5.3,18.4,0.288,14.5,20.7,0.699,9.7,22.6,32.3,16.5,7.2,3.7,14.4,22.5,2013,Ukrainian-Superleague,0
13,SK Dnipro Azot,39,40.4,74.2,27.8,62.7,0.444,5.1,16.2,0.316,13.4,18.9,0.709,9.3,22.8,32.2,15.0,6.8,5.2,14.2,21.7,2013,Ukrainian-Superleague,0
14,BC Kyiv,39,40.4,70.2,25.2,63.1,0.4,5.4,19.8,0.274,14.3,20.3,0.705,9.0,23.6,32.6,14.1,6.2,3.2,12.2,19.9,2013,Ukrainian-Superleague,0
