#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,CSKA Moscow,29,40.0,95.1,31.4,60.7,0.517,9.7,23.6,0.41,22.6,27.7,0.816,8.7,22.3,31.0,22.6,8.7,3.1,12.2,22.6,2018,VTB-United-League
2,Avtodor Saratov,27,40.7,86.6,30.0,63.6,0.471,7.2,20.4,0.352,19.5,25.1,0.776,8.2,23.7,31.9,18.9,7.5,2.3,13.0,20.4,2018,VTB-United-League
3,UNICS Kazan,30,40.5,85.9,29.8,60.9,0.489,9.0,22.3,0.403,17.4,21.6,0.806,9.0,22.4,31.4,19.1,7.2,3.7,12.1,22.3,2018,VTB-United-League
4,Zenit Saint Petersburg,29,40.0,85.3,29.2,64.1,0.456,8.0,23.4,0.343,18.8,24.4,0.769,8.9,21.8,30.7,19.0,6.8,1.9,11.8,21.7,2018,VTB-United-League
5,Nizhny Novgorod,28,40.9,84.6,27.0,59.8,0.451,9.1,25.1,0.361,21.6,25.8,0.839,8.3,20.9,29.2,17.8,5.6,1.4,13.4,27.2,2018,VTB-United-League
6,BC Kalev-Cramo,24,40.4,84.6,29.0,64.1,0.452,9.1,23.6,0.384,17.6,23.0,0.764,10.1,21.8,32.0,17.8,6.3,1.0,13.3,23.8,2018,VTB-United-League
7,Khimki,29,40.1,84.1,28.4,59.6,0.477,10.1,27.4,0.368,17.2,23.6,0.728,8.2,22.4,30.7,19.2,6.8,3.7,12.1,22.5,2018,VTB-United-League
8,Lokomotiv Kuban,27,40.4,83.2,28.7,59.8,0.48,7.4,20.5,0.363,18.4,25.3,0.727,9.4,22.6,31.9,18.2,8.0,2.1,12.6,23.4,2018,VTB-United-League
9,Parma Basket Perm,24,40.4,81.3,29.4,66.0,0.445,9.4,27.3,0.344,13.1,17.7,0.739,8.8,21.5,30.3,18.5,6.8,2.0,12.7,23.1,2018,VTB-United-League
10,Enisey Krasnoyarsk,24,40.0,78.8,26.7,63.4,0.421,7.1,23.6,0.3,18.4,24.6,0.748,10.1,21.7,31.8,14.9,5.5,2.2,13.2,24.4,2018,VTB-United-League
11,BC VEF Riga,27,40.2,77.8,27.1,63.3,0.428,10.2,27.6,0.37,13.4,19.1,0.702,9.7,22.3,32.1,17.9,5.6,2.7,13.1,22.6,2018,VTB-United-League
12,Astana Tigers,24,40.8,76.5,25.5,61.6,0.414,8.4,23.5,0.356,17.1,25.3,0.676,10.9,21.8,32.7,16.7,7.6,1.2,12.5,19.5,2018,VTB-United-League
13,Tsmoki-Minsk,24,40.4,74.7,27.0,58.7,0.46,7.4,20.7,0.358,13.3,18.3,0.729,7.3,22.9,30.2,15.8,5.6,2.8,13.6,23.5,2018,VTB-United-League
