#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Khimki-2,39,40.0,88.8,31.9,68.5,0.467,8.8,25.9,0.34,16.2,21.7,0.743,10.9,26.4,37.3,22.4,8.8,4.9,14.5,19.2,2018,VTB-Youth-United-League,0
2,Lokomotiv Kuban-2,39,40.3,83.0,31.0,70.3,0.441,6.5,21.9,0.299,14.4,20.9,0.688,13.4,29.0,42.4,19.9,10.3,2.5,18.1,23.4,2018,VTB-Youth-United-League,0
3,Samara-2,39,40.0,81.3,31.2,72.1,0.432,6.2,21.4,0.289,12.8,20.5,0.625,14.5,28.3,42.8,16.5,9.3,2.6,16.0,18.5,2018,VTB-Youth-United-League,0
4,CSKA Moscow U18,39,40.6,78.1,27.2,61.7,0.441,5.8,17.8,0.325,17.9,24.9,0.718,11.0,28.6,39.6,16.9,8.0,5.5,18.3,20.3,2018,VTB-Youth-United-League,1
5,Parma-2,39,40.3,77.5,27.9,72.2,0.387,6.5,23.6,0.274,15.2,21.5,0.71,13.3,22.6,35.9,18.2,10.2,1.7,13.5,17.1,2018,VTB-Youth-United-League,0
6,UNICS-2,39,40.0,75.2,27.3,65.3,0.418,6.1,19.9,0.308,14.6,21.7,0.672,12.2,25.3,37.5,17.6,10.4,2.3,19.0,19.9,2018,VTB-Youth-United-League,0
7,Yenisei-2,36,40.0,74.0,26.2,69.2,0.378,6.9,23.6,0.291,14.8,20.7,0.718,10.4,20.3,30.7,16.1,9.9,2.8,17.9,21.7,2018,VTB-Youth-United-League,0
8,Zenit-2,39,40.4,73.5,27.2,69.1,0.394,5.2,20.2,0.256,13.9,21.1,0.659,13.8,23.5,37.4,16.1,9.2,2.7,17.5,22.9,2018,VTB-Youth-United-League,0
9,Avtodor-2,36,40.1,72.5,25.9,65.9,0.393,6.7,22.5,0.298,13.9,21.4,0.65,10.3,24.0,34.3,14.9,8.2,3.1,19.1,18.6,2018,VTB-Youth-United-League,0
10,Nizhny Novgorod-2,39,40.5,69.0,24.9,67.9,0.367,6.5,21.7,0.301,12.7,19.2,0.66,12.0,22.7,34.7,13.5,11.3,2.1,21.2,22.8,2018,VTB-Youth-United-League,0
