#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,CSKA Moscow U18,42,40.1,89.2,32.1,65.9,0.487,7.1,20.4,0.348,18.0,24.1,0.745,11.5,26.3,37.7,19.2,10.5,3.2,18.0,22.0,2020,VTB-Youth-United-League
2,Samara-2,42,40.0,84.7,30.2,69.5,0.434,6.5,21.4,0.304,17.8,24.4,0.731,13.7,26.8,40.5,16.7,9.0,3.0,16.5,19.3,2020,VTB-Youth-United-League
3,Lokomotiv Kuban-2,42,40.1,81.5,30.2,70.2,0.43,6.2,20.6,0.301,15.0,22.1,0.678,13.6,25.3,38.9,16.6,11.5,3.8,16.6,18.4,2020,VTB-Youth-United-League
4,Khimki-2,40,40.1,81.0,29.5,66.8,0.442,6.2,21.6,0.286,15.8,22.0,0.719,12.8,24.4,37.2,18.7,9.7,3.8,19.0,23.6,2020,VTB-Youth-United-League
5,Avtodor-2,42,40.2,78.4,26.9,64.8,0.415,7.1,22.5,0.316,17.4,25.4,0.686,11.5,24.0,35.6,16.4,10.0,3.9,17.9,20.6,2020,VTB-Youth-United-League
6,Zenit-2,42,39.9,77.9,27.6,64.6,0.427,6.8,22.7,0.301,15.8,23.2,0.682,10.5,24.5,35.1,16.1,8.8,2.7,15.8,19.2,2020,VTB-Youth-United-League
7,UNICS-2,42,40.4,75.7,28.2,65.0,0.434,6.1,19.7,0.312,13.1,18.9,0.692,10.5,23.4,33.9,18.6,8.7,2.6,16.9,18.7,2020,VTB-Youth-United-League
8,Parma-2,38,40.0,73.3,27.7,66.0,0.419,5.6,20.2,0.279,12.3,18.2,0.68,10.2,22.7,32.9,16.9,7.8,2.6,19.1,20.5,2020,VTB-Youth-United-League
9,Nizhny Novgorod-2,42,40.1,73.2,25.2,62.0,0.407,5.7,20.4,0.278,17.1,24.5,0.697,10.0,24.7,34.6,14.4,9.4,3.3,18.9,18.4,2020,VTB-Youth-United-League
10,Spartak-2,42,40.2,72.8,25.4,63.7,0.399,6.0,19.7,0.305,16.0,21.8,0.731,10.4,24.1,34.4,14.5,7.5,3.5,20.9,20.6,2020,VTB-Youth-United-League
11,Yenisei-2,42,40.0,71.5,24.5,64.5,0.381,7.3,25.8,0.283,15.1,20.5,0.736,7.8,19.4,27.2,14.5,10.0,1.7,17.1,21.1,2020,VTB-Youth-United-League
12,MBA-2 Moscow,40,40.4,69.8,26.0,63.8,0.408,4.6,16.8,0.272,13.2,18.9,0.698,10.6,22.0,32.5,15.1,10.8,3.1,15.9,21.9,2020,VTB-Youth-United-League
