#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Gigantes,23,40.4,84.0,31.1,65.6,0.474,7.4,21.3,0.348,14.3,21.4,0.671,11.1,22.9,34.0,16.9,8.9,2.5,13.0,20.7,2023,Venezuelan-SLB
2,Heroes de Falcons,25,40.2,83.1,30.4,68.0,0.447,8.3,26.4,0.316,14.1,21.0,0.669,10.0,26.5,36.5,13.5,7.2,3.6,12.7,19.7,2023,Venezuelan-SLB
3,Piratas de La Guaira,25,40.7,82.8,29.4,61.2,0.479,8.2,22.6,0.365,15.8,22.6,0.701,8.1,26.4,34.5,18.7,7.7,3.1,17.3,20.1,2023,Venezuelan-SLB
4,Centauros de Portuguesa,34,40.1,82.6,29.2,64.0,0.456,9.7,27.9,0.349,14.4,19.6,0.737,9.1,26.8,35.9,15.0,5.9,2.5,12.7,18.2,2023,Venezuelan-SLB
5,Taurinos de Aragua,12,40.3,82.2,29.4,62.8,0.468,6.3,19.9,0.318,17.0,24.9,0.682,7.9,24.1,32.0,13.7,7.4,1.9,14.3,22.1,2023,Venezuelan-SLB
6,Gladiadores de Anzoategui,26,40.4,81.9,29.5,63.7,0.463,7.5,22.5,0.335,15.5,22.3,0.694,10.0,27.2,37.2,12.6,7.3,2.8,14.5,18.6,2023,Venezuelan-SLB
7,Brillantes de Maracaibo,30,40.3,81.3,29.4,66.8,0.44,8.4,25.4,0.329,14.2,20.3,0.698,9.8,26.6,36.4,16.2,8.2,2.8,14.4,21.0,2023,Venezuelan-SLB
8,Trotamundos,39,40.3,80.4,29.6,68.6,0.432,9.0,27.8,0.323,12.1,20.1,0.603,12.4,27.4,39.7,17.8,8.2,2.5,13.3,19.5,2023,Venezuelan-SLB
9,Cangrejeros de Monagas,22,40.2,79.3,27.0,64.3,0.42,7.7,25.1,0.306,17.6,24.5,0.718,8.6,22.2,30.9,10.7,9.2,1.7,13.8,18.7,2023,Venezuelan-SLB
10,Spartans de Districto Captital Caracas,18,40.4,78.8,28.4,63.5,0.447,8.6,25.9,0.332,13.4,20.0,0.669,8.8,26.3,35.2,18.8,6.8,3.3,12.7,17.4,2023,Venezuelan-SLB
11,Broncos de Caracas,30,40.7,78.5,27.2,64.2,0.424,7.0,24.5,0.287,17.1,26.5,0.646,12.0,24.9,36.9,15.6,9.2,3.1,15.1,20.8,2023,Venezuelan-SLB
12,Guaros,25,40.1,78.5,29.7,67.0,0.444,7.5,25.5,0.293,11.6,17.0,0.682,8.9,26.6,35.6,20.4,7.8,2.2,15.4,20.5,2023,Venezuelan-SLB
13,Guaiqueries,34,40.3,78.2,28.3,62.7,0.452,9.3,27.9,0.334,12.2,17.8,0.687,9.6,26.7,36.4,15.4,5.9,2.8,13.5,21.5,2023,Venezuelan-SLB
14,Cocodrilos,38,40.3,77.5,28.3,64.0,0.442,7.5,23.7,0.315,13.5,19.3,0.697,9.5,28.2,37.7,16.8,7.8,3.4,13.9,19.6,2023,Venezuelan-SLB
15,Llaneros Gaiteros,23,39.0,77.4,27.7,65.6,0.423,7.4,23.7,0.313,14.5,22.0,0.66,9.4,24.8,34.2,13.3,8.0,2.0,15.1,19.7,2023,Venezuelan-SLB
16,Supersonicos de Miranda,23,40.5,77.3,27.9,64.8,0.431,8.0,27.0,0.297,13.4,20.4,0.657,8.4,23.2,31.7,16.4,8.4,2.5,12.0,17.8,2023,Venezuelan-SLB
17,Marinos,23,40.1,75.5,27.3,65.8,0.414,7.0,24.6,0.285,14.0,20.0,0.699,10.5,22.6,33.0,11.7,6.7,2.0,14.9,19.8,2023,Venezuelan-SLB
18,Llaneros de Guarico,25,40.6,75.1,27.7,59.8,0.463,6.1,21.7,0.282,13.6,20.8,0.654,9.1,23.6,32.6,14.8,7.6,2.1,17.0,21.1,2023,Venezuelan-SLB
19,Toros,22,40.1,67.6,25.5,64.6,0.394,5.8,21.6,0.269,10.9,18.1,0.599,10.4,20.2,30.6,12.8,11.1,2.6,16.1,19.1,2023,Venezuelan-SLB
