#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Igokea U19,6,39.7,86.5,33.5,71.0,0.472,6.5,21.2,0.307,13.0,21.8,0.595,14.5,27.3,41.8,20.2,11.7,4.2,17.3,16.2,2023,Youth-Basketball-Champions-League,0
2,Tofas U18,6,40.7,81.8,32.5,79.5,0.409,7.5,29.7,0.253,9.3,15.8,0.589,15.8,30.3,46.2,20.5,10.7,3.0,14.0,14.3,2023,Youth-Basketball-Champions-League,0
3,Rytas Youth,6,40.8,76.3,27.8,70.7,0.394,9.2,28.3,0.324,11.5,17.2,0.67,13.2,27.7,40.8,20.8,7.8,4.7,15.0,14.7,2023,Youth-Basketball-Champions-League,0
4,Hapoel Jerusalem Youth,6,39.5,76.0,27.7,67.7,0.409,12.3,36.5,0.338,8.3,12.0,0.694,8.5,26.0,34.5,21.5,8.3,0.7,14.0,16.8,2023,Youth-Basketball-Champions-League,0
5,Telenet Oostende Basketball Academy,6,40.3,74.8,28.2,69.3,0.406,8.0,27.0,0.296,10.5,15.8,0.663,9.3,22.5,31.8,18.7,10.5,4.2,16.5,15.7,2023,Youth-Basketball-Champions-League,1
6,Bnei Herzelia Youth,5,40.0,73.6,26.8,74.4,0.36,10.8,36.8,0.293,9.2,13.0,0.708,10.0,25.8,35.8,18.8,10.2,3.6,15.4,19.0,2023,Youth-Basketball-Champions-League,0
7,Lenovo Tenerife Youth,6,39.5,70.7,27.0,65.8,0.41,6.2,22.8,0.27,10.5,18.5,0.568,14.8,25.2,40.0,19.2,11.0,4.3,20.3,17.2,2023,Youth-Basketball-Champions-League,0
8,Numburk Basketball Academy,5,39.8,70.2,23.6,67.8,0.348,5.6,25.6,0.219,17.4,24.6,0.707,11.0,28.0,39.0,16.8,8.2,2.4,19.6,18.8,2023,Youth-Basketball-Champions-League,0
9,UCAM Youth,6,40.7,67.3,24.8,68.0,0.365,5.7,25.8,0.219,12.0,20.5,0.585,13.5,30.8,44.3,16.8,8.5,3.5,18.8,17.5,2023,Youth-Basketball-Champions-League,0
10,Porsche BBA,6,39.5,66.8,25.2,65.3,0.385,8.5,28.2,0.302,8.0,11.3,0.706,12.7,24.7,37.3,16.2,10.8,4.3,22.7,14.8,2023,Youth-Basketball-Champions-League,0
