#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,KK Cedevita Olimpija Junior,4,40.0,89.3,30.5,61.5,0.496,9.3,23.8,0.389,19.0,25.8,0.738,13.0,24.3,37.3,20.8,9.5,2.5,19.3,24.0,2018,Adriatic-Junior-Liga-ABA,0.0
2,KK Mega Leks U18,6,40.0,85.5,30.5,66.7,0.458,5.8,19.0,0.307,18.7,27.2,0.687,13.3,29.5,42.8,16.3,9.0,6.0,15.8,18.3,2018,Adriatic-Junior-Liga-ABA,0.0
3,KK Cibona U18,4,40.0,84.8,33.3,66.0,0.504,7.3,18.8,0.387,11.0,14.3,0.772,10.5,20.0,30.5,22.8,11.8,3.5,18.0,19.8,2018,Adriatic-Junior-Liga-ABA,0.0
4,KK Crvena Zvezda Youth,6,40.0,83.2,32.3,73.2,0.442,4.7,19.2,0.243,13.8,21.7,0.638,16.2,26.0,42.2,17.2,11.2,5.7,14.7,20.2,2018,Adriatic-Junior-Liga-ABA,0.0
5,Igokea U19,6,40.0,79.3,29.8,65.2,0.458,6.0,19.8,0.303,13.7,22.2,0.617,12.7,24.0,36.7,20.2,10.3,1.8,19.2,22.0,2018,Adriatic-Junior-Liga-ABA,0.0
6,KK Partizan U18,4,40.0,78.3,27.8,65.0,0.427,6.0,17.0,0.353,16.8,21.0,0.798,11.3,25.3,36.5,17.3,6.3,3.0,17.5,19.3,2018,Adriatic-Junior-Liga-ABA,0.0
7,Union Olimpija U18,4,40.0,75.5,30.3,67.3,0.45,6.8,17.0,0.397,8.3,12.5,0.66,11.0,18.5,29.5,16.8,8.8,1.3,17.8,19.8,2018,Adriatic-Junior-Liga-ABA,0.0
8,Buducnost Voli Podgorica U18,6,40.0,74.8,25.2,57.5,0.438,6.0,20.2,0.298,18.5,24.8,0.745,8.2,18.3,26.5,15.3,9.7,1.2,17.8,23.0,2018,Adriatic-Junior-Liga-ABA,0.0
9,MZT Skopje Aerodrom U19,4,40.0,73.8,27.0,70.3,0.384,6.5,22.5,0.289,13.3,20.0,0.663,11.3,23.8,35.0,12.8,12.0,1.5,18.0,19.0,2018,Adriatic-Junior-Liga-ABA,1.0
10,Mornar U19,4,40.0,65.8,25.8,64.8,0.398,5.0,18.0,0.278,9.3,18.3,0.507,8.8,22.0,30.8,15.3,8.3,5.8,24.3,23.8,2018,Adriatic-Junior-Liga-ABA,0.0
1,KK Mega Leks U18,4,40.0,82.3,29.5,67.8,0.435,5.0,19.3,0.26,18.3,25.8,0.709,15.0,28.3,43.3,18.8,9.0,5.8,15.5,20.3,2019,Adriatic-Junior-Liga-ABA,0.0
2,Krka U19,4,40.0,81.8,30.3,69.0,0.438,6.0,22.3,0.27,15.3,19.5,0.782,8.8,19.5,28.3,17.8,11.3,1.5,16.8,23.3,2019,Adriatic-Junior-Liga-ABA,0.0
3,KK Cedevita Olimpija Junior,6,40.0,79.0,30.7,68.0,0.451,4.8,17.0,0.284,12.8,19.3,0.664,11.2,25.0,36.2,18.8,6.5,4.8,15.2,19.8,2019,Adriatic-Junior-Liga-ABA,0.0
4,Igokea U19,5,40.0,76.6,27.6,61.4,0.45,5.4,17.2,0.314,16.0,25.2,0.635,12.2,28.6,40.8,16.6,6.6,5.4,17.2,22.4,2019,Adriatic-Junior-Liga-ABA,0.0
5,Zadar U19,5,41.0,76.2,27.6,68.6,0.402,8.6,27.0,0.319,12.4,21.4,0.579,12.4,23.8,36.2,12.6,6.8,2.8,16.0,19.8,2019,Adriatic-Junior-Liga-ABA,0.0
6,Union Olimpija U18,5,40.0,75.6,25.8,57.0,0.453,7.8,21.2,0.368,16.2,24.0,0.675,6.2,23.4,29.6,11.6,10.4,0.6,20.2,24.2,2019,Adriatic-Junior-Liga-ABA,0.0
7,KK Crvena Zvezda Youth,7,40.0,75.3,28.9,60.4,0.478,6.3,17.9,0.352,11.3,17.9,0.632,9.3,24.3,33.6,16.1,8.6,2.3,15.0,20.6,2019,Adriatic-Junior-Liga-ABA,0.0
8,KK Partizan U18,5,40.0,74.8,28.0,72.8,0.385,4.6,18.8,0.245,14.2,18.6,0.763,13.2,24.0,37.2,10.8,11.8,2.6,15.6,19.0,2019,Adriatic-Junior-Liga-ABA,0.0
9,KK Cibona U18,7,40.0,73.6,28.3,63.6,0.445,6.7,23.1,0.29,10.3,15.3,0.673,8.7,28.1,36.9,15.4,6.6,4.1,18.9,19.7,2019,Adriatic-Junior-Liga-ABA,1.0
10,Buducnost Voli Podgorica U18,5,41.0,70.2,25.0,63.2,0.396,7.8,25.0,0.312,12.4,21.2,0.585,8.4,25.8,34.2,11.0,9.0,3.2,15.0,20.6,2019,Adriatic-Junior-Liga-ABA,0.0
11,Mornar U19,4,40.0,67.5,24.8,72.0,0.344,4.5,20.8,0.217,13.5,19.3,0.701,10.8,17.8,28.5,12.5,9.3,3.8,12.8,18.8,2019,Adriatic-Junior-Liga-ABA,0.0
1,KK Cibona U18,5,40.0,96.4,36.0,76.0,0.474,12.4,33.8,0.367,12.0,15.4,0.779,12.6,25.2,37.8,21.6,10.6,3.6,14.4,21.0,2020,Adriatic-Junior-Liga-ABA,0.0
2,KK Mega Leks U18,5,40.0,90.4,34.2,73.2,0.467,8.0,26.2,0.305,14.0,21.2,0.66,10.6,27.2,37.8,23.2,9.2,4.8,14.2,20.8,2020,Adriatic-Junior-Liga-ABA,0.0
3,Buducnost Voli Podgorica U18,5,40.0,86.8,31.8,71.2,0.447,9.6,25.2,0.381,13.6,20.2,0.673,10.6,22.2,32.8,17.4,7.8,4.2,13.8,23.8,2020,Adriatic-Junior-Liga-ABA,0.0
4,KK Partizan U18,5,40.0,85.6,30.6,67.2,0.455,5.4,22.0,0.245,19.0,26.8,0.709,12.0,25.4,37.4,17.0,6.6,4.4,18.4,17.2,2020,Adriatic-Junior-Liga-ABA,0.0
5,Krka U19,5,40.0,84.2,31.6,66.2,0.477,10.8,24.8,0.435,10.2,13.8,0.739,7.8,22.2,30.0,19.8,7.8,3.0,17.2,20.0,2020,Adriatic-Junior-Liga-ABA,0.0
6,KK Crvena Zvezda Youth,5,40.0,81.6,33.4,68.4,0.488,5.2,17.4,0.299,9.6,14.6,0.658,14.0,30.6,44.6,21.0,14.0,3.4,16.8,19.6,2020,Adriatic-Junior-Liga-ABA,0.0
7,Igokea U19,5,40.0,79.4,29.6,62.8,0.471,6.0,18.8,0.319,14.2,18.2,0.78,8.2,25.0,33.2,23.0,9.0,2.6,19.4,21.4,2020,Adriatic-Junior-Liga-ABA,0.0
8,MZT Skopje Aerodrom U19,5,41.0,77.4,28.2,70.8,0.398,8.8,28.0,0.314,12.2,16.0,0.763,9.6,24.8,34.4,14.6,9.4,4.0,12.8,20.2,2020,Adriatic-Junior-Liga-ABA,0.0
9,Koper Primorska U18,5,40.0,74.4,25.2,59.4,0.424,8.6,27.4,0.314,15.4,19.8,0.778,7.8,24.8,32.6,12.6,7.6,6.2,18.0,15.2,2020,Adriatic-Junior-Liga-ABA,0.0
10,KK Cedevita Olimpija Junior,5,40.0,72.0,24.8,63.4,0.391,9.2,27.4,0.336,13.2,20.4,0.647,10.8,29.0,39.8,12.6,7.6,3.8,19.0,19.4,2020,Adriatic-Junior-Liga-ABA,0.0
11,Mornar U19,5,41.0,65.8,25.4,64.0,0.397,6.8,23.4,0.291,8.2,13.0,0.631,9.8,22.6,32.4,10.6,7.8,3.4,13.8,20.0,2020,Adriatic-Junior-Liga-ABA,0.0
12,Zadar U19,5,40.0,65.6,25.6,72.8,0.352,4.6,20.4,0.225,9.8,17.2,0.57,15.0,24.6,39.6,11.0,9.2,2.8,17.2,20.2,2020,Adriatic-Junior-Liga-ABA,1.0
1,KK Mega Leks U18,3,40.0,93.3,32.3,70.3,0.46,4.3,20.7,0.21,24.3,35.0,0.695,16.3,31.3,47.7,20.0,8.7,6.3,15.0,21.3,2021,Adriatic-Junior-Liga-ABA,0.0
