GP,PPG,FGM,FGA,FG%,3PM,3P%,ORB,DRB,APG,SPG,TOV,is_Champion,league_num
4,89.3,30.5,61.5,0.496,9.3,0.389,13.0,24.3,20.8,9.5,19.3,0.0,0
6,85.5,30.5,66.7,0.458,5.8,0.307,13.3,29.5,16.3,9.0,15.8,0.0,0
4,84.8,33.3,66.0,0.504,7.3,0.387,10.5,20.0,22.8,11.8,18.0,0.0,0
6,83.2,32.3,73.2,0.442,4.7,0.243,16.2,26.0,17.2,11.2,14.7,0.0,0
6,79.3,29.8,65.2,0.458,6.0,0.303,12.7,24.0,20.2,10.3,19.2,0.0,0
4,78.3,27.8,65.0,0.427,6.0,0.353,11.3,25.3,17.3,6.3,17.5,0.0,0
4,75.5,30.3,67.3,0.45,6.8,0.397,11.0,18.5,16.8,8.8,17.8,0.0,0
6,74.8,25.2,57.5,0.438,6.0,0.298,8.2,18.3,15.3,9.7,17.8,0.0,0
4,73.8,27.0,70.3,0.384,6.5,0.289,11.3,23.8,12.8,12.0,18.0,1.0,0
4,65.8,25.8,64.8,0.398,5.0,0.278,8.8,22.0,15.3,8.3,24.3,0.0,0
4,82.3,29.5,67.8,0.435,5.0,0.26,15.0,28.3,18.8,9.0,15.5,0.0,0
4,81.8,30.3,69.0,0.438,6.0,0.27,8.8,19.5,17.8,11.3,16.8,0.0,0
6,79.0,30.7,68.0,0.451,4.8,0.284,11.2,25.0,18.8,6.5,15.2,0.0,0
5,76.6,27.6,61.4,0.45,5.4,0.314,12.2,28.6,16.6,6.6,17.2,0.0,0
5,76.2,27.6,68.6,0.402,8.6,0.319,12.4,23.8,12.6,6.8,16.0,0.0,0
5,75.6,25.8,57.0,0.453,7.8,0.368,6.2,23.4,11.6,10.4,20.2,0.0,0
7,75.3,28.9,60.4,0.478,6.3,0.352,9.3,24.3,16.1,8.6,15.0,0.0,0
5,74.8,28.0,72.8,0.385,4.6,0.245,13.2,24.0,10.8,11.8,15.6,0.0,0
7,73.6,28.3,63.6,0.445,6.7,0.29,8.7,28.1,15.4,6.6,18.9,1.0,0
5,70.2,25.0,63.2,0.396,7.8,0.312,8.4,25.8,11.0,9.0,15.0,0.0,0
4,67.5,24.8,72.0,0.344,4.5,0.217,10.8,17.8,12.5,9.3,12.8,0.0,0
5,96.4,36.0,76.0,0.474,12.4,0.367,12.6,25.2,21.6,10.6,14.4,0.0,0
5,90.4,34.2,73.2,0.467,8.0,0.305,10.6,27.2,23.2,9.2,14.2,0.0,0
5,86.8,31.8,71.2,0.447,9.6,0.381,10.6,22.2,17.4,7.8,13.8,0.0,0
5,85.6,30.6,67.2,0.455,5.4,0.245,12.0,25.4,17.0,6.6,18.4,0.0,0
5,84.2,31.6,66.2,0.477,10.8,0.435,7.8,22.2,19.8,7.8,17.2,0.0,0
5,81.6,33.4,68.4,0.488,5.2,0.299,14.0,30.6,21.0,14.0,16.8,0.0,0
5,79.4,29.6,62.8,0.471,6.0,0.319,8.2,25.0,23.0,9.0,19.4,0.0,0
5,77.4,28.2,70.8,0.398,8.8,0.314,9.6,24.8,14.6,9.4,12.8,0.0,0
5,74.4,25.2,59.4,0.424,8.6,0.314,7.8,24.8,12.6,7.6,18.0,0.0,0
5,72.0,24.8,63.4,0.391,9.2,0.336,10.8,29.0,12.6,7.6,19.0,0.0,0
5,65.8,25.4,64.0,0.397,6.8,0.291,9.8,22.6,10.6,7.8,13.8,0.0,0
5,65.6,25.6,72.8,0.352,4.6,0.225,15.0,24.6,11.0,9.2,17.2,1.0,0
3,93.3,32.3,70.3,0.46,4.3,0.21,16.3,31.3,20.0,8.7,15.0,0.0,0
3,89.3,32.7,68.3,0.478,12.7,0.418,8.7,27.7,17.3,9.3,12.7,0.0,0
1,81.0,31.0,83.0,0.373,6.0,0.207,16.0,21.0,8.0,7.0,9.0,0.0,0
3,79.0,30.0,61.0,0.492,6.7,0.328,12.3,26.3,16.7,13.7,22.7,1.0,0
1,74.0,29.0,69.0,0.42,4.0,0.174,12.0,19.0,16.0,11.0,18.0,0.0,0
3,74.0,24.7,64.3,0.383,4.7,0.241,9.7,19.3,15.0,12.0,17.0,0.0,0
1,69.0,23.0,55.0,0.418,8.0,0.308,6.0,19.0,14.0,14.0,27.0,0.0,0
1,61.0,24.0,66.0,0.364,3.0,0.158,7.0,24.0,9.0,4.0,11.0,0.0,0
7,97.9,37.1,75.4,0.492,6.3,0.282,15.9,26.7,20.9,12.6,15.6,0.0,0
6,91.7,32.7,64.0,0.51,7.2,0.406,10.8,25.5,17.8,8.5,17.8,1.0,0
5,89.4,32.6,75.4,0.432,9.8,0.293,12.2,22.8,16.4,10.8,12.4,0.0,0
7,87.7,32.7,68.7,0.476,9.3,0.351,12.7,28.1,18.4,7.7,14.9,0.0,0
